# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.08  8.728144641285992E-05  2.674025931251132E-07 1349391	   1       0.00       0.08  8.163771859431337E-05  2.507901751069836E-07 1349391	   1       0.00       0.08  9.335694996358030E-05  2.852164111234595E-07 1349391
   2       0.08       0.16  8.814394339254580E-05  2.671800454303438E-07 1351415	   2       0.08       0.16  8.245034589945332E-05  2.506183090045677E-07 1351415	   2       0.08       0.16  9.427096053609336E-05  2.849449541519012E-07 1351415
   3       0.16       0.24  8.946304320295988E-05  2.712945497541591E-07 1354272	   3       0.16       0.24  8.371532385160197E-05  2.548788110976750E-07 1354272	   3       0.16       0.24  9.563904872539625E-05  2.887629286583939E-07 1354272
   4       0.24       0.31  9.170693440021221E-05  2.795281430941397E-07 1360453	   4       0.24       0.31  8.580284394141940E-05  2.623882189087502E-07 1360453	   4       0.24       0.31  9.805526972602850E-05  2.978531931684679E-07 1360453
   5       0.31       0.39  9.331827503479139E-05  2.851509233612826E-07 1360742	   5       0.31       0.39  8.734204954207851E-05  2.677507947052408E-07 1360742	   5       0.31       0.39  9.973633474488614E-05  3.037524374963775E-07 1360742
   6       0.39       0.47  9.591073144918451E-05  2.960028491803119E-07 1367970	   6       0.39       0.47  8.977437974332579E-05  2.778075711839958E-07 1367970	   6       0.39       0.47  1.024993656288323E-04  3.154827218909968E-07 1367970
   7       0.47       0.55  1.002398844890331E-04  3.078600889282576E-07 1375411	   7       0.47       0.55  9.386921560391973E-05  2.892786215473399E-07 1375411	   7       0.47       0.55  1.070702574551816E-04  3.276677261943031E-07 1375411
   8       0.55       0.63  1.046028764625016E-04  3.220418722868859E-07 1384391	   8       0.55       0.63  9.798639790080088E-05  3.027578897535449E-07 1384391	   8       0.55       0.63  1.116881555464428E-04  3.425325743896540E-07 1384391
   9       0.63       0.71  1.084811531449333E-04  3.372323854331744E-07 1393768	   9       0.63       0.71  1.016693357087998E-04  3.172912877375091E-07 1393768	   9       0.63       0.71  1.157642498702570E-04  3.583655623944180E-07 1393768
  10       0.71       0.79  1.146642878583772E-04  3.527285960534711E-07 1406496	  10       0.71       0.79  1.075068201750217E-04  3.318265982961369E-07 1406496	  10       0.71       0.79  1.223047077390735E-04  3.748888580926293E-07 1406496
