# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  6.221251004952205E-03  5.183746735193028E-06 32617641	   1      -1.00      -0.90  5.844067311196497E-03  4.890722703523515E-06 32617641	   1      -1.00      -0.90  6.623215892862954E-03  5.492984980137303E-06 32617641
   2      -0.90      -0.80  1.762556834845347E-03  2.306068406614699E-06 10531363	   2      -0.90      -0.80  1.676164115805338E-03  2.204778090702866E-06 10531363	   2      -0.90      -0.80  1.848655365485368E-03  2.403880951976422E-06 10531363
   3      -0.80      -0.70  9.320125035964161E-04  1.570709224982301E-06 6410327	   3      -0.80      -0.70  8.872801605594564E-04  1.505513936456675E-06 6410327	   3      -0.80      -0.70  9.762556621854556E-04  1.632510420800038E-06 6410327
   4      -0.70      -0.60  5.851589211071424E-04  1.202479727988809E-06 4485042	   4      -0.70      -0.60  5.569379008989200E-04  1.152598590849401E-06 4485042	   4      -0.70      -0.60  6.130977875119392E-04  1.249709711830228E-06 4485042
   5      -0.60      -0.50  4.043048335630187E-04  9.655131290390599E-07 3363179	   5      -0.60      -0.50  3.846349285062557E-04  9.255010535301756E-07 3363179	   5      -0.60      -0.50  4.238291689867321E-04  1.003426825049200E-06 3363179
   6      -0.50      -0.40  2.924711141737269E-04  8.040070737904344E-07 2588863	   6      -0.50      -0.40  2.780316749508960E-04  7.702106944182664E-07 2588863	   6      -0.50      -0.40  3.068694213363713E-04  8.361845218374951E-07 2588863
   7      -0.40      -0.30  2.199115226886243E-04  6.692579619802637E-07 2047805	   7      -0.40      -0.30  2.089045412835351E-04  6.409144325144333E-07 2047805	   7      -0.40      -0.30  2.309367816948340E-04  6.963177279085946E-07 2047805
   8      -0.30      -0.20  1.717828794189338E-04  6.231866162396756E-07 1703100	   8      -0.30      -0.20  1.630811545271716E-04  5.993620403999238E-07 1703100	   8      -0.30      -0.20  1.805338773677024E-04  6.453584726053194E-07 1703100
   9      -0.20      -0.10  1.356889761583327E-04  4.949893959945292E-07 1457299	   9      -0.20      -0.10  1.286680324969335E-04  4.735542001598846E-07 1457299	   9      -0.20      -0.10  1.427927752721019E-04  5.156091553279291E-07 1457299
  10      -0.10       0.00  1.082195316338086E-04  4.215605578176989E-07 1271516	  10      -0.10       0.00  1.025251885291726E-04  4.031850017745564E-07 1271516	  10      -0.10       0.00  1.140116539775273E-04  4.393164267510355E-07 1271516
  11       0.00       0.10  8.754355004181729E-05  3.644528592228833E-07 1125562	  11       0.00       0.10  8.282734463637731E-05  3.479086160969135E-07 1125562	  11       0.00       0.10  9.237227135747991E-05  3.806381109881209E-07 1125562
  12       0.10       0.20  7.042146491339943E-05  3.027278866153839E-07 1010002	  12       0.10       0.20  6.654383241638951E-05  2.888955367656803E-07 1010002	  12       0.10       0.20  7.441724299675908E-05  3.162968868367411E-07 1010002
  13       0.20       0.30  5.560105648689147E-05  2.521860869423347E-07 910104	  13       0.20       0.30  5.244464228711753E-05  2.402268565243843E-07 910104	  13       0.20       0.30  5.888009112140860E-05  2.640369555998063E-07 910104
  14       0.30       0.40  4.390683246187758E-05  2.086010713790382E-07 828866	  14       0.30       0.40  4.134107389729679E-05  1.983852257650048E-07 828866	  14       0.30       0.40  4.659314992526250E-05  2.188138857108599E-07 828866
  15       0.40       0.50  3.320872343771696E-05  1.669222374837889E-07 754631	  15       0.40       0.50  3.119732498210609E-05  1.584624456457118E-07 754631	  15       0.40       0.50  3.533422245975484E-05  1.754613242415867E-07 754631
  16       0.50       0.60  2.391674412513125E-05  1.250916838289112E-07 685771	  16       0.50       0.60  2.240574354048419E-05  1.184070926081907E-07 685771	  16       0.50       0.60  2.553072710551902E-05  1.319330527650631E-07 685771
  17       0.60       0.70  1.576940070193384E-05  8.540796061754523E-08 617572	  17       0.60       0.70  1.471790355862586E-05  8.055434162474792E-08 617572	  17       0.60       0.70  1.690753474810857E-05  9.045064774257606E-08 617572
  18       0.70       0.80  8.673850319493342E-06  5.024770699780569E-08 535485	  18       0.70       0.80  8.052980441490182E-06  4.716492294790297E-08 535485	  18       0.70       0.80  9.357373090184635E-06  5.351159470692267E-08 535485
  19       0.80       0.90  3.035397124731332E-06  1.999920397298609E-08 408976	  19       0.80       0.90  2.793545421491366E-06  1.862150340775496E-08 408976	  19       0.80       0.90  3.308395687893870E-06  2.149979442739224E-08 408976
  20       0.90       1.00  2.457957518189768E-07  2.517705837097529E-09 125896	  20       0.90       1.00  2.222951991867253E-07  2.306414492677379E-09 125896	  20       0.90       1.00  2.734055188664836E-07  2.758802404374290E-09 125896
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.1175680937502367E-03  6.2709827099590647E-07 73479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
