# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  2.239400460496409E-02  3.113689299172423E-05 46696373	   1      -1.00      -0.90  2.099072266061315E-02  2.861175007211480E-05 46696373	   1      -1.00      -0.90  2.398168112793013E-02  3.419550368986917E-05 46696373
   2      -0.90      -0.80  2.405094982868746E-02  3.274263220086188E-05 44702077	   2      -0.90      -0.80  2.253419639112176E-02  3.004993178665850E-05 44702077	   2      -0.90      -0.80  2.576884081591478E-02  3.601577724055912E-05 44702077
   3      -0.80      -0.70  2.591723123011082E-02  3.418917760911420E-05 45488142	   3      -0.80      -0.70  2.427701259391166E-02  3.141579678314397E-05 45488142	   3      -0.80      -0.70  2.777578762406422E-02  3.754772547572423E-05 45488142
   4      -0.70      -0.60  2.806276372877625E-02  3.629263835425540E-05 47523543	   4      -0.70      -0.60  2.627307874218414E-02  3.327554111032351E-05 47523543	   4      -0.70      -0.60  3.009346085317872E-02  3.995865911548126E-05 47523543
   5      -0.60      -0.50  3.053497189551496E-02  3.757229465415796E-05 50543149	   5      -0.60      -0.50  2.857605847254682E-02  3.445873015343264E-05 50543149	   5      -0.60      -0.50  3.275996101720297E-02  4.135564568974616E-05 50543149
   6      -0.50      -0.40  3.349085942593678E-02  4.041126412957728E-05 54321729	   6      -0.50      -0.40  3.132256588362822E-02  3.701922299366081E-05 54321729	   6      -0.50      -0.40  3.595765638450639E-02  4.453670657578878E-05 54321729
   7      -0.40      -0.30  3.679329920062895E-02  4.280958144887242E-05 58826607	   7      -0.40      -0.30  3.439459565566003E-02  3.915294478088906E-05 58826607	   7      -0.40      -0.30  3.952550279517029E-02  4.730100783518602E-05 58826607
   8      -0.30      -0.20  4.051968129117899E-02  4.460240551874419E-05 64158773	   8      -0.30      -0.20  3.785476956096731E-02  4.087692063930164E-05 64158773	   8      -0.30      -0.20  4.355939193680669E-02  4.912956108821618E-05 64158773
   9      -0.20      -0.10  4.496668301494476E-02  4.716049852163195E-05 70420884	   9      -0.20      -0.10  4.198067143131254E-02  4.316659172058280E-05 70420884	   9      -0.20      -0.10  4.837820549308984E-02  5.202595937756191E-05 70420884
  10      -0.10       0.00  5.013979446158228E-02  5.107710837833766E-05 77862124	  10      -0.10       0.00  4.677549451596668E-02  4.672454265310430E-05 77862124	  10      -0.10       0.00  5.399011723592338E-02  5.638202105574612E-05 77862124
