# title = Distance Electron--anti-Muon
# xlabel = $\Delta R_{\text{e}^-\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^-\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.10       0.30  6.373034143754346E-03  7.224935456398647E-06 71975161	   1       0.10       0.30  5.876951036470387E-03  6.603313371992147E-06 71975161	   1       0.10       0.30  6.957730605722186E-03  7.984758302333334E-06 71975161
   2       0.30       0.50  1.275214967390911E-02  1.079465417848159E-05 103785123	   2       0.30       0.50  1.176284950783701E-02  9.857361147115709E-06 103785123	   2       0.30       0.50  1.391717669940838E-02  1.194071794996192E-05 103785123
   3       0.50       0.70  1.895047570070643E-02  1.392819519224134E-05 124003925	   3       0.50       0.70  1.749245828634096E-02  1.272231674087919E-05 124003925	   3       0.50       0.70  2.066415118583523E-02  1.540224773337808E-05 124003925
   4       0.70       0.90  2.481170636056024E-02  1.704730512770262E-05 140044501	   4       0.70       0.90  2.291912704032301E-02  1.555616403207617E-05 140044501	   4       0.70       0.90  2.703188229059586E-02  1.887185199726006E-05 140044501
   5       0.90       1.10  3.021415925207514E-02  2.025445773441323E-05 153967132	   5       0.90       1.10  2.793160103716797E-02  1.849434041960770E-05 153967132	   5       0.90       1.10  3.288639351517415E-02  2.240635651553781E-05 153967132
   6       1.10       1.30  3.519877055926712E-02  2.292804150359681E-05 166735926	   6       1.10       1.30  3.255632788014826E-02  2.092843155582536E-05 166735926	   6       1.10       1.30  3.828811781119902E-02  2.537670531546491E-05 166735926
   7       1.30       1.50  3.980794721354235E-02  2.665188447464876E-05 178878014	   7       1.30       1.50  3.683080503427957E-02  2.428434940564203E-05 178878014	   7       1.30       1.50  4.328551723775675E-02  2.956481161859739E-05 178878014
   8       1.50       1.70  4.395559928150129E-02  2.904819991505085E-05 190639883	   8       1.50       1.70  4.067517125516735E-02  2.648420652698276E-05 190639883	   8       1.50       1.70  4.778507315055397E-02  3.218697125965088E-05 190639883
   9       1.70       1.90  4.798626541010014E-02  3.146805667181446E-05 202306682	   9       1.70       1.90  4.440422530587489E-02  2.867325370242359E-05 202306682	   9       1.70       1.90  5.216753640890364E-02  3.489850226478590E-05 202306682
  10       1.90       2.10  5.174749141032980E-02  3.432316381966416E-05 213976702	  10       1.90       2.10  4.787404989612057E-02  3.126647598392986E-05 213976702	  10       1.90       2.10  5.627052467843736E-02  3.807595593234330E-05 213976702
  11       2.10       2.30  5.540562477524816E-02  3.641561130159248E-05 225822275	  11       2.10       2.30  5.124066054734172E-02  3.313947317110220E-05 225822275	  11       2.10       2.30  6.027206816583900E-02  4.044097287332602E-05 225822275
  12       2.30       2.50  5.888099538269128E-02  3.836341648902231E-05 237812922	  12       2.30       2.50  5.443238411363194E-02  3.491800702556051E-05 237812922	  12       2.30       2.50  6.408266470714725E-02  4.259777747214127E-05 237812922
  13       2.50       2.70  6.242579287298039E-02  4.091655883788490E-05 250098826	  13       2.50       2.70  5.767628250213502E-02  3.719948140583793E-05 250098826	  13       2.50       2.70  6.798556631230207E-02  4.548889562185411E-05 250098826
