# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  2.094291941260466E-04  1.121169387557143E-07 228436366	   1       0.00      40.00  1.952401993573443E-04  1.027626292911829E-07 228436366	   1       0.00      40.00  2.257000947836473E-04  1.234849613687805E-07 228436366
   2      40.00      80.00  6.368849517764425E-04  2.290296517199456E-07 622255569	   2      40.00      80.00  5.934638632487213E-04  2.095222604300033E-07 622255569	   2      40.00      80.00  6.867214797353616E-04  2.528651239145517E-07 622255569
   3      80.00     120.00  7.790462826210103E-04  2.879453375232710E-07 598177187	   3      80.00     120.00  7.243342975808449E-04  2.628720700821790E-07 598177187	   3      80.00     120.00  8.421657720478810E-04  3.186139245093677E-07 598177187
   4     120.00     160.00  6.383434271148486E-04  2.859929343047531E-07 411297175	   4     120.00     160.00  5.912755247356897E-04  2.605289231183731E-07 411297175	   4     120.00     160.00  6.930960374995226E-04  3.172367015180359E-07 411297175
   5     160.00     200.00  4.659099121592218E-04  2.647946497885526E-07 294453809	   5     160.00     200.00  4.298108799816455E-04  2.407531898706601E-07 294453809	   5     160.00     200.00  5.082524017288516E-04  2.943446914647844E-07 294453809
   6     200.00     240.00  3.312983034840516E-04  2.419019348725394E-07 220159212	   6     200.00     240.00  3.044106108090282E-04  2.188002101590443E-07 220159212	   6     200.00     240.00  3.630814274233950E-04  2.705068144687108E-07 220159212
   7     240.00     280.00  2.368941080455344E-04  2.104398591874717E-07 170233280	   7     240.00     280.00  2.168599954252711E-04  1.902122125779938E-07 170233280	   7     240.00     280.00  2.607372430865228E-04  2.355026101355769E-07 170233280
   8     280.00     320.00  1.706404804104714E-04  1.786169243926600E-07 134949016	   8     280.00     320.00  1.556502379097098E-04  1.612123045607060E-07 134949016	   8     280.00     320.00  1.885944500196938E-04  2.002056041907056E-07 134949016
   9     320.00     360.00  1.250084040989876E-04  1.546090759160915E-07 109124115	   9     320.00     360.00  1.136534948557280E-04  1.393563440885707E-07 109124115	   9     320.00     360.00  1.386827789206146E-04  1.735547684405983E-07 109124115
  10     360.00     400.00  9.298862019582366E-05  1.336239344928104E-07 89634505	  10     360.00     400.00  8.428222013183857E-05  1.201358717479273E-07 89634505	  10     360.00     400.00  1.035262195595081E-04  1.504139189885512E-07 89634505
