# title = Invariant Mass j-j-electron System
# xlabel = $M_{\text{j}_1\text{j}_2\text{e}^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2\text{e}^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     480.00     520.00  2.185364882302203E-10  2.805867291046828E-11 428	  13     480.00     520.00  2.157769048557151E-10  2.787863947279885E-11 428	  13     480.00     520.00  2.193945916551141E-10  2.797600243941726E-11 428
  14     520.00     560.00  1.804846116468944E-07  1.047321700794407E-09 298541	  14     520.00     560.00  1.788632077802427E-07  1.039052679750668E-09 298541	  14     520.00     560.00  1.804358045891996E-07  1.045914393104674E-09 298541
