# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  8.991507324129439E-08  2.673278597755816E-10 2986838	   7     600.00     700.00  8.978764235053112E-08  2.660723001347506E-10 2986838	   7     600.00     700.00  8.929457342736460E-08  2.669856208944886E-10 2986838
   8     700.00     800.00  1.011745493178163E-05  6.794648027649877E-09 46599088	   8     700.00     800.00  1.003163413137478E-05  6.709454585312421E-09 46599088	   8     700.00     800.00  1.013133928338017E-05  6.848642571403513E-09 46599088
   9     800.00     900.00  3.591944814242100E-05  1.732465776464145E-08 88348723	   9     800.00     900.00  3.534447813158760E-05  1.698280967302712E-08 88348723	   9     800.00     900.00  3.628983714901155E-05  1.761164798737114E-08 88348723
  10     900.00    1000.00  5.894449460224182E-05  2.617577297840215E-08 113055594	  10     900.00    1000.00  5.755373630524725E-05  2.547524448219197E-08 113055594	  10     900.00    1000.00  6.009171022835871E-05  2.683259449186869E-08 113055594
  11    1000.00    1100.00  7.460637773970677E-05  3.366474980243263E-08 125610325	  11    1000.00    1100.00  7.231675073119976E-05  3.254322049913865E-08 125610325	  11    1000.00    1100.00  7.670693963676540E-05  3.478101965479320E-08 125610325
  12    1100.00    1200.00  8.383558173524102E-05  3.983038439421413E-08 130469430	  12    1100.00    1200.00  8.070895890474018E-05  3.826350626570985E-08 130469430	  12    1100.00    1200.00  8.688427936778661E-05  4.144952796635477E-08 130469430
  13    1200.00    1300.00  8.832534508049748E-05  4.479079450973338E-08 130731198	  13    1200.00    1300.00  8.448700121212149E-05  4.278031894989337E-08 130731198	  13    1200.00    1300.00  9.222296582322867E-05  4.692433680012862E-08 130731198
  14    1300.00    1400.00  8.953075296581899E-05  4.948147749445393E-08 128348491	  14    1300.00    1400.00  8.512174438709152E-05  4.700317710032448E-08 128348491	  14    1300.00    1400.00  9.414321175804611E-05  5.216628965310530E-08 128348491
  15    1400.00    1500.00  8.832011361759402E-05  5.251761284402058E-08 124396092	  15    1400.00    1500.00  8.348874134691564E-05  4.962508115436033E-08 124396092	  15    1400.00    1500.00  9.349290850166884E-05  5.570401560500710E-08 124396092
  16    1500.00    1600.00  8.572297165855641E-05  5.646934454355361E-08 119663577	  16    1500.00    1600.00  8.059026623308389E-05  5.310253175183986E-08 119663577	  16    1500.00    1600.00  9.132306727842118E-05  6.022909847745527E-08 119663577
  17    1600.00    1700.00  8.204745441977722E-05  5.865307987351161E-08 114489688	  17    1600.00    1700.00  7.673154774879093E-05  5.489560108502423E-08 114489688	  17    1600.00    1700.00  8.794042680542733E-05  6.289895621821615E-08 114489688
