# title = Rapidity Electron
# xlabel = $y_{\text{e}^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.607731916350230E-02  1.862886416054329E-05 101922885	   1      -2.50      -2.25  1.467755758587808E-02  1.676051304100269E-05 101922885	   1      -2.50      -2.25  1.775010940924380E-02  2.095851827031404E-05 101922885
   2      -2.25      -2.00  2.060957889479000E-02  2.248143042514743E-05 119112009	   2      -2.25      -2.00  1.887118396839551E-02  2.029403671953137E-05 119112009	   2      -2.25      -2.00  2.267743778443250E-02  2.519493212790157E-05 119112009
   3      -2.00      -1.75  2.516395505214905E-02  2.476748269375414E-05 136901017	   3      -2.00      -1.75  2.310023043703352E-02  2.239103942240912E-05 136901017	   3      -2.00      -1.75  2.760881054571323E-02  2.770943087290958E-05 136901017
   4      -1.75      -1.50  2.955475114419145E-02  2.658051092636339E-05 154575284	   4      -1.75      -1.50  2.718955770776939E-02  2.406673131625438E-05 154575284	   4      -1.75      -1.50  3.234703509712780E-02  2.968908498326712E-05 154575284
   5      -1.50      -1.25  3.350981428251456E-02  2.814371210053871E-05 171329498	   5      -1.50      -1.25  3.088469879235341E-02  2.551398532074453E-05 171329498	   5      -1.50      -1.25  3.659936297040949E-02  3.138721032314256E-05 171329498
   6      -1.25      -1.00  3.692827390850444E-02  2.761508438869998E-05 186610883	   6      -1.25      -1.00  3.408586181133685E-02  2.510419141588654E-05 186610883	   6      -1.25      -1.00  4.026496362920633E-02  3.070208679381661E-05 186610883
   7      -1.00      -0.75  3.967359691166220E-02  2.655646392713396E-05 199845401	   7      -1.00      -0.75  3.665874066269312E-02  2.416617832896235E-05 199845401	   7      -1.00      -0.75  4.320614235033857E-02  2.949531685993354E-05 199845401
   8      -0.75      -0.50  4.165117229277244E-02  2.619465978868383E-05 210600960	   8      -0.75      -0.50  3.851810952050082E-02  2.385993482970474E-05 210600960	   8      -0.75      -0.50  4.531652169602666E-02  2.905971721899969E-05 210600960
   9      -0.50      -0.25  4.300060688195111E-02  2.561385947184294E-05 218562311	   9      -0.50      -0.25  3.978711996815848E-02  2.334935877093867E-05 218562311	   9      -0.50      -0.25  4.675626235801095E-02  2.838901953461957E-05 218562311
  10      -0.25       0.00  4.344297604190413E-02  2.557724485257027E-05 223415833	  10      -0.25       0.00  4.020463287928199E-02  2.329464255525381E-05 223415833	  10      -0.25       0.00  4.722634680954714E-02  2.837970830223468E-05 223415833
  11       0.00       0.25  4.304720661170387E-02  2.532777883328454E-05 224957360	  11       0.00       0.25  3.984026398395192E-02  2.307684452102064E-05 224957360	  11       0.00       0.25  4.679342209261304E-02  2.808925751171668E-05 224957360
  12       0.25       0.50  4.203511147594863E-02  2.607110958907682E-05 222947776	  12       0.25       0.50  3.889234289148569E-02  2.374857881908068E-05 222947776	  12       0.25       0.50  4.570853218526204E-02  2.892366727891341E-05 222947776
  13       0.50       0.75  4.031429998997001E-02  2.776786121487334E-05 217361062	  13       0.50       0.75  3.727841671511407E-02  2.525455987993312E-05 217361062	  13       0.50       0.75  4.386663961576101E-02  3.085830942365062E-05 217361062
  14       0.75       1.00  3.789744288226764E-02  2.848983142198070E-05 208104656	  14       0.75       1.00  3.501524115686453E-02  2.591182079883846E-05 208104656	  14       0.75       1.00  4.127507218154814E-02  3.166345669812407E-05 208104656
  15       1.00       1.25  3.476750712201492E-02  3.068853590121662E-05 195267900	  15       1.00       1.25  3.208636711722073E-02  2.778209509794601E-05 195267900	  15       1.00       1.25  3.791593933678971E-02  3.428594520945121E-05 195267900
  16       1.25       1.50  3.124679180058449E-02  2.964166684242982E-05 179120749	  16       1.25       1.50  2.879304710906109E-02  2.685831900267531E-05 179120749	  16       1.25       1.50  3.413611495781437E-02  3.308767306696124E-05 179120749
  17       1.50       1.75  2.724351725408423E-02  2.838906316626185E-05 160270936	  17       1.50       1.75  2.506053760374174E-02  2.566915943341595E-05 160270936	  17       1.50       1.75  2.982144778247073E-02  3.176400905960902E-05 160270936
  18       1.75       2.00  2.303994271521081E-02  2.661914514771844E-05 139478809	  18       1.75       2.00  2.114666185879970E-02  2.402439741268582E-05 139478809	  18       1.75       2.00  2.528389847877630E-02  2.984470606346217E-05 139478809
  19       2.00       2.25  1.876151350458169E-02  2.391009926289047E-05 117943316	  19       2.00       2.25  1.717423004901365E-02  2.154996124531052E-05 117943316	  19       2.00       2.25  2.065086017322460E-02  2.684764394542734E-05 117943316
  20       2.25       2.50  1.460264507823339E-02  2.035726256877087E-05 97100355	  20       2.25       2.50  1.332911356342220E-02  1.830388254409582E-05 97100355	  20       2.25       2.50  1.612534745270773E-02  2.292140837687969E-05 97100355
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.6710655924343296E-06  2.1304807699567899E-09 20479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
