# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  6.380127105637282E-05  1.006400306270169E-07 26616689	   2      30.00      50.00  6.035770550635446E-05  9.316344163606128E-08 26616689	   2      30.00      50.00  6.755855787757779E-05  1.095218432649808E-07 26616689
   3      50.00      70.00  2.421302857668900E-04  2.064931699711539E-07 91511354	   3      50.00      70.00  2.280924608981548E-04  1.905087689731405E-07 91511354	   3      50.00      70.00  2.577028205069637E-04  2.256918748782960E-07 91511354
   4      70.00      90.00  4.344618502000590E-04  3.264717792690496E-07 148066838	   4      70.00      90.00  4.081328752129068E-04  2.979943686301216E-07 148066838	   4      70.00      90.00  4.639666759664867E-04  3.614659230535708E-07 148066838
   5      90.00     110.00  5.818491297536922E-04  3.672332391676839E-07 184656305	   5      90.00     110.00  5.454556899906280E-04  3.371795762286111E-07 184656305	   5      90.00     110.00  6.229016757884485E-04  4.036557203267739E-07 184656305
   6     110.00     130.00  6.671449623568724E-04  4.099651333386291E-07 201629453	   6     110.00     130.00  6.242281799490844E-04  3.752764345416629E-07 201629453	   6     110.00     130.00  7.158233509957455E-04  4.522405993266382E-07 201629453
   7     130.00     150.00  6.940413384405810E-04  4.256992254750760E-07 203791655	   7     130.00     150.00  6.481933104910930E-04  3.894405522570018E-07 203791655	   7     130.00     150.00  7.462964442807447E-04  4.699168027770832E-07 203791655
   8     150.00     170.00  6.747369327706097E-04  4.351535167824218E-07 195507683	   8     150.00     170.00  6.285529208497635E-04  3.970758070984515E-07 195507683	   8     150.00     170.00  7.276997704501418E-04  4.817118479215463E-07 195507683
   9     170.00     190.00  6.226105076835774E-04  4.227811697358341E-07 181496801	   9     170.00     190.00  5.783019904470031E-04  3.848336105853618E-07 181496801	   9     170.00     190.00  6.737511565927281E-04  4.693896178834173E-07 181496801
  10     190.00     210.00  5.571545850977701E-04  4.097156296164744E-07 165927613	  10     190.00     210.00  5.158768110024833E-04  3.720565739370863E-07 165927613	  10     190.00     210.00  6.051071626967873E-04  4.560135440577778E-07 165927613
  11     210.00     230.00  4.892083228899359E-04  3.798787333239300E-07 150721287	  11     210.00     230.00  4.515117459266217E-04  3.445782921343736E-07 150721287	  11     210.00     230.00  5.332837341713235E-04  4.234091495095338E-07 150721287
  12     230.00     250.00  4.247282251550864E-04  3.586660508604280E-07 136630465	  12     230.00     250.00  3.907729602384757E-04  3.245892367872755E-07 136630465	  12     230.00     250.00  4.646649907032714E-04  4.007466223586632E-07 136630465
  13     250.00     270.00  3.655762329060341E-04  3.344532926952367E-07 123858797	  13     250.00     270.00  3.353052445892527E-04  3.018923267572695E-07 123858797	  13     250.00     270.00  4.013825189400847E-04  3.747835336260608E-07 123858797
  14     270.00     290.00  3.130047486984195E-04  3.029768754595678E-07 112472743	  14     270.00     290.00  2.862191879680537E-04  2.732628082985239E-07 112472743	  14     270.00     290.00  3.448578036559970E-04  3.398219134266186E-07 112472743
  15     290.00     310.00  2.678665024959077E-04  2.804766136206562E-07 102341393	  15     290.00     310.00  2.442157408146124E-04  2.521549847042322E-07 102341393	  15     290.00     310.00  2.961352138752154E-04  3.157771143605024E-07 102341393
  16     310.00     330.00  2.283499302119141E-04  2.544092052301681E-07 93316986	  16     310.00     330.00  2.076031328951905E-04  2.287327099710366E-07 93316986	  16     310.00     330.00  2.532654837937551E-04  2.863653438529352E-07 93316986
  17     330.00     350.00  1.950408567700511E-04  2.416184902746044E-07 85288718	  17     330.00     350.00  1.768217237502869E-04  2.167362097229774E-07 85288718	  17     330.00     350.00  2.170213017347828E-04  2.726365662063509E-07 85288718
  18     350.00     370.00  1.664486103402445E-04  2.136669670232801E-07 78170805	  18     350.00     370.00  1.504817148132478E-04  1.914185297107766E-07 78170805	  18     350.00     370.00  1.857973346211504E-04  2.414758981589828E-07 78170805
