# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.440889175865145E-04  2.236375659263978E-07 69690540	   1       0.00      20.00  1.351847103787028E-04  2.047399652383214E-07 69690540	   1       0.00      20.00  1.541206840428891E-04  2.466590253991974E-07 69690540
   2      20.00      40.00  3.930047682064317E-04  3.708322928293744E-07 134821741	   2      20.00      40.00  3.683682716348678E-04  3.387395618500282E-07 134821741	   2      20.00      40.00  4.208364626443973E-04  4.101881580352519E-07 134821741
   3      40.00      60.00  5.661281966604847E-04  4.414306303679208E-07 161746334	   3      40.00      60.00  5.299553960451572E-04  4.034488056647963E-07 161746334	   3      40.00      60.00  6.071325731637772E-04  4.878679051164582E-07 161746334
   4      60.00      80.00  6.658432210777359E-04  4.898042810329349E-07 176107462	   4      60.00      80.00  6.222553924621908E-04  4.456198064890459E-07 176107462	   4      60.00      80.00  7.154645232821982E-04  5.441470801116339E-07 176107462
   5      80.00     100.00  6.966450537686829E-04  4.763455373943083E-07 182027187	   5      80.00     100.00  6.497179658109267E-04  4.340811289534415E-07 182027187	   5      80.00     100.00  7.503337769882228E-04  5.281658813758976E-07 182027187
   6     100.00     120.00  6.794170230751863E-04  4.592894428913790E-07 180298545	   6     100.00     120.00  6.322191974886364E-04  4.177072092700464E-07 180298545	   6     100.00     120.00  7.337050462698759E-04  5.103928138997270E-07 180298545
   7     120.00     140.00  6.315114244173318E-04  4.272650943727955E-07 173501201	   7     120.00     140.00  5.863080349365101E-04  3.884074719401011E-07 173501201	   7     120.00     140.00  6.837677718484455E-04  4.750491429141492E-07 173501201
   8     140.00     160.00  5.702399078844370E-04  4.029681796847591E-07 163677414	   8     140.00     160.00  5.281092180580394E-04  3.651999100372321E-07 163677414	   8     140.00     160.00  6.192065558294929E-04  4.495522551727798E-07 163677414
   9     160.00     180.00  5.061320211696218E-04  3.636884422070200E-07 152440609	   9     160.00     180.00  4.676063081762039E-04  3.294243090779065E-07 152440609	   9     160.00     180.00  5.511301357148172E-04  4.060204739880305E-07 152440609
  10     180.00     200.00  4.432146089394703E-04  3.373965060140695E-07 140964750	  10     180.00     200.00  4.084717455867947E-04  3.049671294764058E-07 140964750	  10     180.00     200.00  4.839938948135593E-04  3.775173755388262E-07 140964750
  11     200.00     220.00  3.843868484645159E-04  2.985822261023535E-07 129835330	  11     200.00     220.00  3.533937342284224E-04  2.696046624941126E-07 129835330	  11     200.00     220.00  4.209343082297734E-04  3.345101762909306E-07 129835330
