# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  2.111549298143162E-03  8.213354362479832E-07 664529984	   1      10.00      30.00  1.956210642252351E-03  7.464079229316635E-07 664529984	   1      10.00      30.00  2.292482103292559E-03  9.136436821188414E-07 664529984
   2      30.00      50.00  1.934825072285138E-03  7.428318960565329E-07 707301828	   2      30.00      50.00  1.793967341480095E-03  6.749993128739909E-07 707301828	   2      30.00      50.00  2.098527111877746E-03  8.264150196884360E-07 707301828
   3      50.00      70.00  1.267847492821540E-03  5.804118989601762E-07 456377078	   3      50.00      70.00  1.172631113545895E-03  5.266822573144687E-07 456377078	   3      50.00      70.00  1.379041278655810E-03  6.466936084293808E-07 456377078
   4      70.00      90.00  7.587941040625895E-04  4.335450054171090E-07 298147297	   4      70.00      90.00  6.991636843312253E-04  3.925168950851701E-07 298147297	   4      70.00      90.00  8.289378561875654E-04  4.842484344836433E-07 298147297
   5      90.00     110.00  4.623953007203456E-04  3.164742218024041E-07 207799735	   5      90.00     110.00  4.242782457592384E-04  2.858316978522175E-07 207799735	   5      90.00     110.00  5.075753374356905E-04  3.544827582482757E-07 207799735
   6     110.00     130.00  3.058126772831327E-04  2.451560477227787E-07 156194650	   6     110.00     130.00  2.795808545285280E-04  2.208204549234174E-07 156194650	   6     110.00     130.00  3.371021707980856E-04  2.754031223631045E-07 156194650
   7     130.00     150.00  2.105958387387885E-04  1.891204233884207E-07 121892527	   7     130.00     150.00  1.918900772185838E-04  1.698707718776998E-07 121892527	   7     130.00     150.00  2.330312140110124E-04  2.131413998819874E-07 121892527
   8     150.00     170.00  1.494578218216673E-04  1.543827568437412E-07 97596113	   8     150.00     170.00  1.357548925262558E-04  1.381713408000493E-07 97596113	   8     150.00     170.00  1.659759215655893E-04  1.747086637452087E-07 97596113
   9     170.00     190.00  1.084915794007569E-04  1.236042724784443E-07 79687977	   9     170.00     190.00  9.822852958664734E-05  1.104604293212662E-07 79687977	   9     170.00     190.00  1.209261311700985E-04  1.401051810628058E-07 79687977
  10     190.00     210.00  7.970661902270145E-05  1.015414921490265E-07 66070370	  10     190.00     210.00  7.194505978114775E-05  9.051801489629547E-08 66070370	  10     190.00     210.00  8.915467423464666E-05  1.154183553511347E-07 66070370
  11     210.00     230.00  5.952591494046682E-05  8.192213623964578E-08 55539184	  11     210.00     230.00  5.357907831451685E-05  7.289194017877636E-08 55539184	  11     210.00     230.00  6.679555480368834E-05  9.331997108662908E-08 55539184
  12     230.00     250.00  4.489936935344672E-05  6.799005429441350E-08 47208704	  12     230.00     250.00  4.030053837640478E-05  6.040391291314715E-08 47208704	  12     230.00     250.00  5.054408533340760E-05  7.756673743939496E-08 47208704
  13     250.00     270.00  3.433451652807023E-05  5.690512630182912E-08 40519638	  13     250.00     270.00  3.073314344474823E-05  5.047650045849714E-08 40519638	  13     250.00     270.00  3.877259014471930E-05  6.503962015057383E-08 40519638
  14     270.00     290.00  2.651777052510954E-05  4.797587666391562E-08 35069942	  14     270.00     290.00  2.366883801680887E-05  4.243735116988608E-08 35069942	  14     270.00     290.00  3.004302879286142E-05  5.500672048622331E-08 35069942
  15     290.00     310.00  2.046591152877010E-05  3.989555401482896E-08 30573801	  15     290.00     310.00  1.822144041012562E-05  3.524129872740386E-08 30573801	  15     290.00     310.00  2.325268223715078E-05  4.580881114994162E-08 30573801
  16     310.00     330.00  1.604081835574207E-05  3.418400189253521E-08 26825843	  16     310.00     330.00  1.424461937190112E-05  3.013596604024481E-08 26825843	  16     310.00     330.00  1.827917550046247E-05  3.933778429547969E-08 26825843
  17     330.00     350.00  1.264266118632211E-05  2.983160807279518E-08 23669149	  17     330.00     350.00  1.119888359473568E-05  2.616829337458105E-08 23669149	  17     330.00     350.00  1.444806096751772E-05  3.453233976557645E-08 23669149
  18     350.00     370.00  1.000417124015263E-05  2.497750353357168E-08 20998008	  18     350.00     370.00  8.839948350924679E-06  2.193106118298752E-08 20998008	  18     350.00     370.00  1.146501294336133E-05  2.887395476361342E-08 20998008
  19     370.00     390.00  7.983600022326434E-06  2.128428609145159E-08 18716394	  19     370.00     390.00  7.036556303282741E-06  1.865425918664253E-08 18716394	  19     370.00     390.00  9.175909415540252E-06  2.465723980865171E-08 18716394
  20     390.00     410.00  6.384540868281684E-06  1.887375555478583E-08 16754800	  20     390.00     410.00  5.613504395064929E-06  1.648974766278453E-08 16754800	  20     390.00     410.00  7.358521917377405E-06  2.194493634890893E-08 16754800
