# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  2.895270281027705E-04  3.206982942380057E-07 112148033	   1      10.00      30.00  2.714991082023273E-04  2.933920887568431E-07 112148033	   1      10.00      30.00  3.098702502157238E-04  3.541125364780551E-07 112148033
   2      30.00      50.00  5.119084017551530E-04  4.286408640036276E-07 153839995	   2      30.00      50.00  4.794849614436939E-04  3.918050854172486E-07 153839995	   2      30.00      50.00  5.486104679332198E-04  4.736318065284345E-07 153839995
   3      50.00      70.00  6.528490310111464E-04  4.748630146852811E-07 173391089	   3      50.00      70.00  6.106105240059532E-04  4.337656287474720E-07 173391089	   3      50.00      70.00  7.008416932474486E-04  5.251161878905625E-07 173391089
   4      70.00      90.00  7.200775921289029E-04  5.058165754217556E-07 184274996	   4      70.00      90.00  6.722401049992860E-04  4.603581602022641E-07 184274996	   4      70.00      90.00  7.746812333838122E-04  5.616398053631704E-07 184274996
   5      90.00     110.00  7.224414295228512E-04  4.768668298805300E-07 186240767	   5      90.00     110.00  6.729907426755040E-04  4.344458222872943E-07 186240767	   5      90.00     110.00  7.791797062516994E-04  5.289005379132038E-07 186240767
   6     110.00     130.00  6.869002392823672E-04  4.558366355264558E-07 181667434	   6     110.00     130.00  6.384064138754873E-04  4.145845452648951E-07 181667434	   6     110.00     130.00  7.428349846310717E-04  5.064946041085287E-07 181667434
   7     130.00     150.00  6.273032386866229E-04  4.216205446424939E-07 173003258	   7     130.00     150.00  5.816521023353529E-04  3.829082494318404E-07 173003258	   7     130.00     150.00  6.802257904217459E-04  4.692366687040226E-07 173003258
   8     150.00     170.00  5.605259792417031E-04  3.919970896709080E-07 162058631	   8     150.00     170.00  5.184485244553396E-04  3.552035627715417E-07 162058631	   8     150.00     170.00  6.095620452543536E-04  4.373914700151410E-07 162058631
   9     170.00     190.00  4.937372961340467E-04  3.565660442468595E-07 150327298	   9     170.00     190.00  4.555588685096714E-04  3.224918816792856E-07 150327298	   9     170.00     190.00  5.384474934696680E-04  3.987035060213504E-07 150327298
  10     190.00     210.00  4.296374768728671E-04  3.222940291182257E-07 138708256	  10     190.00     210.00  3.954564710645927E-04  2.914811142589584E-07 138708256	  10     190.00     210.00  4.698548881674441E-04  3.603812683476871E-07 138708256
  11     210.00     230.00  3.714665799731930E-04  2.899777209157403E-07 127608261	  11     210.00     230.00  3.410699479384528E-04  2.612359685825424E-07 127608261	  11     210.00     230.00  4.073977729656052E-04  3.257703425493120E-07 127608261
  12     230.00     250.00  3.200411068793762E-04  2.583670054165062E-07 117345190	  12     230.00     250.00  2.931275568112456E-04  2.328070451973817E-07 117345190	  12     230.00     250.00  3.519995401244888E-04  2.901261585659036E-07 117345190
  13     250.00     270.00  2.745095645441162E-04  2.380264738448556E-07 107875262	  13     250.00     270.00  2.508240315153474E-04  2.140511001449088E-07 107875262	  13     250.00     270.00  3.027518873772259E-04  2.678630793141846E-07 107875262
  14     270.00     290.00  2.347484373112883E-04  2.093838459252496E-07 99222227	  14     270.00     290.00  2.139777688775039E-04  1.880231100450031E-07 99222227	  14     270.00     290.00  2.596189445600919E-04  2.360369968076731E-07 99222227
  15     290.00     310.00  2.004283606486892E-04  1.904895895867252E-07 91292989	  15     290.00     310.00  1.822654604300400E-04  1.709885856980982E-07 91292989	  15     290.00     310.00  2.222620538055599E-04  2.148296258319857E-07 91292989
  16     310.00     330.00  1.708961450300440E-04  1.723135043311850E-07 84025207	  16     310.00     330.00  1.550373550754839E-04  1.543555929648659E-07 84025207	  16     310.00     330.00  1.900338649285523E-04  1.947546043983347E-07 84025207
  17     330.00     350.00  1.456967849136347E-04  1.537540563308799E-07 77363141	  17     330.00     350.00  1.318622512970963E-04  1.376592677668561E-07 77363141	  17     330.00     350.00  1.624543221341052E-04  1.738628630640256E-07 77363141
  18     350.00     370.00  1.245306735190417E-04  1.370758901485861E-07 71325311	  18     350.00     370.00  1.124306927387820E-04  1.224638279630466E-07 71325311	  18     350.00     370.00  1.392437021171587E-04  1.553992324502490E-07 71325311
  19     370.00     390.00  1.061805310495482E-04  1.245570357139245E-07 65880420	  19     370.00     390.00  9.564104440306555E-05  1.111425229594595E-07 65880420	  19     370.00     390.00  1.190418153447445E-04  1.413953816141620E-07 65880420
  20     390.00     410.00  9.070683618874830E-05  1.111925514062496E-07 60966284	  20     390.00     410.00  8.151879253441809E-05  9.903765174080436E-08 60966284	  20     390.00     410.00  1.019571079914005E-04  1.264819446357944E-07 60966284
  21     410.00     430.00  7.768824638372665E-05  1.009350059456369E-07 56521092	  21     410.00     430.00  6.965834412726342E-05  8.975128485441837E-08 56521092	  21     410.00     430.00  8.755413341161857E-05  1.150235323522882E-07 56521092
  22     430.00     450.00  6.669246431809601E-05  9.081729436534341E-08 52479165	  22     430.00     450.00  5.966497366923254E-05  8.067685206504233E-08 52479165	  22     430.00     450.00  7.535532834090171E-05  1.036037514305553E-07 52479165
  23     450.00     470.00  5.723638421269177E-05  8.305008199586584E-08 48807522	  23     450.00     470.00  5.110008047788683E-05  7.367557759253002E-08 48807522	  23     450.00     470.00  6.482302183496831E-05  9.488963714045559E-08 48807522
  24     470.00     490.00  4.921742160523103E-05  7.536755964333255E-08 45483762	  24     470.00     490.00  4.384507995234203E-05  6.670650020745133E-08 45483762	  24     470.00     490.00  5.588091197232990E-05  8.634990205409600E-08 45483762
  25     490.00     510.00  4.243745636093226E-05  6.766722405006916E-08 42439707	  25     490.00     510.00  3.772477674568196E-05  5.990725562333629E-08 42439707	  25     490.00     510.00  4.830034024426824E-05  7.749010165341012E-08 42439707
  26     510.00     530.00  3.663148166215882E-05  6.143751701064615E-08 39671126	  26     510.00     530.00  3.249901109993120E-05  5.423882876779164E-08 39671126	  26     510.00     530.00  4.178653626906341E-05  7.057645413377780E-08 39671126
  27     530.00     550.00  3.169609741359913E-05  5.556599484505696E-08 37124812	  27     530.00     550.00  2.806337382022004E-05  4.900143985701135E-08 37124812	  27     530.00     550.00  3.624066681876316E-05  6.391313914774793E-08 37124812
  28     550.00     570.00  2.754644849669791E-05  5.070758337101501E-08 34787703	  28     550.00     570.00  2.434391361296937E-05  4.468488796640055E-08 34787703	  28     550.00     570.00  3.156316866665846E-05  5.836744958815341E-08 34787703
  29     570.00     590.00  2.387348149558452E-05  4.602131711961070E-08 32635456	  29     570.00     590.00  2.105658924527002E-05  4.045888197381993E-08 32635456	  29     570.00     590.00  2.741595147306375E-05  5.311699512271032E-08 32635456
  30     590.00     610.00  2.078139995888951E-05  4.218114301061764E-08 30654480	  30     590.00     610.00  1.829527741371130E-05  3.703769961905510E-08 30654480	  30     590.00     610.00  2.391585679745732E-05  4.875112356970270E-08 30654480
  31     610.00     630.00  1.799423627507298E-05  3.766371455413296E-08 28835783	  31     610.00     630.00  1.581215661269747E-05  3.306131437812084E-08 28835783	  31     610.00     630.00  2.075223746560967E-05  4.354273403197331E-08 28835783
  32     630.00     650.00  1.578095598357739E-05  3.484681713486325E-08 27145684	  32     630.00     650.00  1.383971594149286E-05  3.052270351758804E-08 27145684	  32     630.00     650.00  1.824133111780221E-05  4.038631742451994E-08 27145684
  33     650.00     670.00  1.374831022075415E-05  3.159511689763185E-08 25585694	  33     650.00     670.00  1.203861752230920E-05  2.764825866981335E-08 25585694	  33     650.00     670.00  1.591950433939091E-05  3.665562121945005E-08 25585694
  34     670.00     690.00  1.203124339246906E-05  2.861547212768891E-08 24140563	  34     670.00     690.00  1.051607287901164E-05  2.502781891977794E-08 24140563	  34     670.00     690.00  1.396003916640434E-05  3.321594775440672E-08 24140563
  35     690.00     710.00  1.055557556932895E-05  2.685420472509990E-08 22788132	  35     690.00     710.00  9.211290099864722E-06  2.346559805921049E-08 22788132	  35     690.00     710.00  1.227037777200729E-05  3.120152127132654E-08 22788132
  36     710.00     730.00  9.250133430417825E-06  2.432774278476840E-08 21533824	  36     710.00     730.00  8.057640760518947E-06  2.122314006336489E-08 21533824	  36     710.00     730.00  1.077496903398520E-05  2.831743747977375E-08 21533824
  37     730.00     750.00  8.137898282121482E-06  2.180313557583774E-08 20378981	  37     730.00     750.00  7.078033911568092E-06  1.900390529640854E-08 20378981	  37     730.00     750.00  9.495687394699356E-06  2.540410648066792E-08 20378981
  38     750.00     770.00  7.232278363988903E-06  2.065017247627689E-08 19281350	  38     750.00     770.00  6.279758989237650E-06  1.795806268366139E-08 19281350	  38     750.00     770.00  8.455245363291940E-06  2.412230426926150E-08 19281350
  39     770.00     790.00  6.340056913164631E-06  1.871966555479423E-08 18266123	  39     770.00     790.00  5.496629127756433E-06  1.628037125591608E-08 18266123	  39     770.00     790.00  7.425123711159412E-06  2.186634501170854E-08 18266123
  40     790.00     810.00  5.580227548875154E-06  1.710425644956630E-08 17312735	  40     790.00     810.00  4.828827322513106E-06  1.482308899670956E-08 17312735	  40     790.00     810.00  6.549245790993176E-06  2.005833296193168E-08 17312735
  41     810.00     830.00  4.945578612716202E-06  1.587108506655367E-08 16428310	  41     810.00     830.00  4.273872457068833E-06  1.375551899812842E-08 16428310	  41     810.00     830.00  5.813271321199945E-06  1.861034992664460E-08 16428310
  42     830.00     850.00  4.372694130530336E-06  1.436735116938949E-08 15593067	  42     830.00     850.00  3.772519233546307E-06  1.242248814578400E-08 15593067	  42     830.00     850.00  5.149621061079643E-06  1.689172304689496E-08 15593067
  43     850.00     870.00  3.879506621713642E-06  1.327320299206069E-08 14813283	  43     850.00     870.00  3.342341958699283E-06  1.146981666512319E-08 14813283	  43     850.00     870.00  4.576119543525336E-06  1.561746828378162E-08 14813283
  44     870.00     890.00  3.439077056995295E-06  1.256246412261397E-08 14081581	  44     870.00     890.00  2.958069352765221E-06  1.082179852859439E-08 14081581	  44     870.00     890.00  4.064147764898013E-06  1.483525650434659E-08 14081581
  45     890.00     910.00  3.069506541722422E-06  1.132641958329646E-08 13390104	  45     890.00     910.00  2.636488763393293E-06  9.764036336890127E-09 13390104	  45     890.00     910.00  3.633245521242357E-06  1.336210067253920E-08 13390104
  46     910.00     930.00  2.699443225359555E-06  1.006933953070890E-08 12737850	  46     910.00     930.00  2.314694215801868E-06  8.662093513686097E-09 12737850	  46     910.00     930.00  3.201378146775686E-06  1.190717823162125E-08 12737850
  47     930.00     950.00  2.421550349553356E-06  9.581037374935089E-09 12129561	  47     930.00     950.00  2.073869482141010E-06  8.243339680426710E-09 12129561	  47     930.00     950.00  2.875808496620929E-06  1.132692768750814E-08 12129561
  48     950.00     970.00  2.166064656653869E-06  8.776666300662227E-09 11554378	  48     950.00     970.00  1.852282036204576E-06  7.530062506294195E-09 11554378	  48     950.00     970.00  2.576829773595365E-06  1.040957862308692E-08 11554378
  49     970.00     990.00  1.922126905744854E-06  8.142583234398556E-09 11009738	  49     970.00     990.00  1.641206561929168E-06  6.979756877788623E-09 11009738	  49     970.00     990.00  2.290537652367935E-06  9.666755046368492E-09 11009738
  50     990.00    1010.00  1.712704560615260E-06  7.403380923818761E-09 10500910	  50     990.00    1010.00  1.460459505418786E-06  6.339070046729658E-09 10500910	  50     990.00    1010.00  2.044039326724012E-06  8.800792006760994E-09 10500910
  51    1010.00    1030.00  1.524610633117680E-06  6.920615880241874E-09 10014454	  51    1010.00    1030.00  1.298321594368629E-06  5.928432669450940E-09 10014454	  51    1010.00    1030.00  1.822345007106888E-06  8.220992364852544E-09 10014454
  52    1030.00    1050.00  1.373198583404809E-06  6.415110424253294E-09 9561949	  52    1030.00    1050.00  1.167840965548887E-06  5.487163615368903E-09 9561949	  52    1030.00    1050.00  1.643833028197131E-06  7.633542226534530E-09 9561949
  53    1050.00    1070.00  1.219579202238530E-06  5.678274108631789E-09 9131900	  53    1050.00    1070.00  1.035738017123429E-06  4.851668995463753E-09 9131900	  53    1050.00    1070.00  1.462275630961340E-06  6.765546590424061E-09 9131900
  54    1070.00    1090.00  1.097908310507855E-06  5.321146874756936E-09 8719067	  54    1070.00    1090.00  9.311628548331855E-07  4.533787571350730E-09 8719067	  54    1070.00    1090.00  1.318394380783347E-06  6.359739449048577E-09 8719067
  55    1090.00    1110.00  9.913248767731365E-07  5.236052018177686E-09 8331252	  55    1090.00    1110.00  8.396224793436109E-07  4.458419368224495E-09 8331252	  55    1090.00    1110.00  1.192257225859212E-06  6.262606920768618E-09 8331252
  56    1110.00    1130.00  8.847521069204012E-07  4.513248734633478E-09 7967506	  56    1110.00    1130.00  7.485641690054762E-07  3.842252989666767E-09 7967506	  56    1110.00    1130.00  1.065359281169058E-06  5.399359086128498E-09 7967506
  57    1130.00    1150.00  7.907127918223642E-07  4.279639331174804E-09 7615297	  57    1130.00    1150.00  6.680956099331807E-07  3.638910281366792E-09 7615297	  57    1130.00    1150.00  9.536040135774807E-07  5.127699933066611E-09 7615297
  58    1150.00    1170.00  7.130324028521033E-07  3.978812579511426E-09 7289193	  58    1150.00    1170.00  6.015474529674934E-07  3.366860693417256E-09 7289193	  58    1150.00    1170.00  8.613980906976100E-07  4.794894926672863E-09 7289193
  59    1170.00    1190.00  6.398047293353970E-07  3.598460718526781E-09 6973503	  59    1170.00    1190.00  5.391751080544782E-07  3.051357814268426E-09 6973503	  59    1170.00    1190.00  7.739115386094668E-07  4.324270331777446E-09 6973503
  60    1190.00    1210.00  5.753669025704039E-07  3.349191641590610E-09 6679890	  60    1190.00    1210.00  4.842253414357438E-07  2.839213190869878E-09 6679890	  60    1190.00    1210.00  6.970156823198590E-07  4.025523310432922E-09 6679890
  61    1210.00    1230.00  5.221804353205447E-07  3.186918970874810E-09 6397812	  61    1210.00    1230.00  4.390360057746472E-07  2.697948041273103E-09 6397812	  61    1210.00    1230.00  6.332842179166331E-07  3.836546428789417E-09 6397812
  62    1230.00    1250.00  4.738721755763182E-07  3.053758305096265E-09 6127856	  62    1230.00    1250.00  3.978230114549910E-07  2.578262047518721E-09 6127856	  62    1230.00    1250.00  5.756788027039885E-07  3.687447888155622E-09 6127856
