# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  1.191524107842486E-04  6.186500911154525E-08 104538849
  14     540.00     580.00  1.230253574264247E-04  6.625820440889957E-08 102275198
  15     580.00     620.00  1.252014680121392E-04  7.094911735759126E-08 99627985
  16     620.00     660.00  1.261325213687029E-04  7.391795072756807E-08 96771558
  17     660.00     700.00  1.259772566684877E-04  7.791539727474276E-08 93755728
  18     700.00     740.00  1.250127249999259E-04  8.022152769687668E-08 90699925
  19     740.00     780.00  1.235504444203952E-04  8.272830307121574E-08 87631776
  20     780.00     820.00  1.215589736748914E-04  8.664121446534455E-08 84589613
  21     820.00     860.00  1.190918131817320E-04  8.769388079936056E-08 81634177
  22     860.00     900.00  1.162838974725869E-04  9.114884525275398E-08 78702583
  23     900.00     940.00  1.132961248910195E-04  9.306322523699692E-08 75893875
  24     940.00     980.00  1.099338233917069E-04  9.616101355105112E-08 73159895
  25     980.00    1020.00  1.066789905335394E-04  9.497842258021495E-08 70547898
  26    1020.00    1060.00  1.031963926147919E-04  9.724211307468410E-08 68008910
  27    1060.00    1100.00  9.974177839998750E-05  9.924835185610138E-08 65574511
  28    1100.00    1140.00  9.622165864081860E-05  9.861538465587770E-08 63246425
