# title = Rapidity Electron
# xlabel = $y_{\text{e}^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  4.308599309134008E-05  1.317820754690234E-07 1973806
   2      -2.25      -2.00  6.615058452160582E-05  1.796260207983634E-07 2394629
   3      -2.00      -1.75  9.685028961183267E-05  2.280758790673846E-07 2836425
   4      -1.75      -1.50  1.365342307954900E-04  2.916235335761091E-07 3258793
   5      -1.50      -1.25  1.824204778175251E-04  3.686238375729813E-07 3645837
   6      -1.25      -1.00  2.325525884522785E-04  4.491345303104248E-07 3980051
   7      -1.00      -0.75  2.822655970328567E-04  5.477240793532859E-07 4247296
   8      -0.75      -0.50  3.265235618561021E-04  6.275662253854247E-07 4448425
   9      -0.50      -0.25  3.625263841531135E-04  7.175292428596621E-07 4575661
  10      -0.25       0.00  3.840839232599424E-04  7.660076491710506E-07 4633748
  11       0.00       0.25  3.916907230176912E-04  8.266064008203870E-07 4627000
  12       0.25       0.50  3.798482294390244E-04  8.316308940322434E-07 4554410
  13       0.50       0.75  3.531264843711190E-04  8.062143114908694E-07 4432425
  14       0.75       1.00  3.150179354559788E-04  7.625038809581761E-07 4263968
  15       1.00       1.25  2.670942649706449E-04  6.923006013349448E-07 4039482
  16       1.25       1.50  2.173226904052285E-04  5.977446361424972E-07 3771818
  17       1.50       1.75  1.674668821564923E-04  4.855806679071520E-07 3468781
  18       1.75       2.00  1.227749728274214E-04  3.996515058854082E-07 3128841
  19       2.00       2.25  8.589304890490671E-05  2.995524724468832E-07 2775083
  20       2.25       2.50  5.704351285940406E-05  2.207743658445610E-07 2422521
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1175680937499995E-03  6.2732570789003097E-07 73479000
#=====================================================================================
