# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.928242579956593E-09  7.954580538773966E-11 5080
   7      -3.00      -2.75  1.296349132146424E-07  1.715959186788637E-09 61299
   8      -2.75      -2.50  1.318745919992374E-06  9.354689117874970E-09 215607
   9      -2.50      -2.25  7.140621730799430E-06  3.261373253808510E-08 514708
  10      -2.25      -2.00  2.610964775837431E-05  8.601992584091369E-08 998220
  11      -2.00      -1.75  7.086427763080937E-05  1.844035232757065E-07 1674808
  12      -1.75      -1.50  1.516096042515498E-04  3.264880160985442E-07 2510249
  13      -1.50      -1.25  2.669318005172603E-04  5.147812178208942E-07 3437834
  14      -1.25      -1.00  4.023461238772947E-04  7.217981157905057E-07 4396565
  15      -1.00      -0.75  5.341284652036697E-04  9.282269509234823E-07 5328636
  16      -0.75      -0.50  6.182483458128891E-04  1.045564576482390E-06 6170000
  17      -0.50      -0.25  6.317671120398657E-04  1.077697896382316E-06 6838124
  18      -0.25       0.00  5.699172657003134E-04  1.002213489632777E-06 7218349
  19       0.00       0.25  4.479661607953849E-04  8.140468027573974E-07 7065818
  20       0.25       0.50  3.145239909208223E-04  5.847374143564473E-07 6401046
  21       0.50       0.75  2.002491910967877E-04  3.919000298754476E-07 5524498
  22       0.75       1.00  1.156149338477986E-04  2.371461853041809E-07 4568701
  23       1.00       1.25  6.051790879989081E-05  1.355013320697598E-07 3608025
  24       1.25       1.50  2.907932703911016E-05  7.434302207716524E-08 2703089
  25       1.50       1.75  1.271882867367041E-05  3.786954200213200E-08 1878786
  26       1.75       2.00  5.340822270873647E-06  1.831234289948409E-08 1194930
  27       2.00       2.25  2.251791636152150E-06  9.112988886942555E-09 673359
  28       2.25       2.50  1.031169410321756E-06  5.326261518342533E-09 326861
  29       2.50       2.75  3.881103157939978E-07  2.889525858043884E-09 128322
  30       2.75       3.00  7.456443028128875E-08  1.124885380311607E-09 33487
  31       3.00       3.25  2.002164578513708E-09  1.171492089497215E-10 2599
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1175680937500197E-03  6.2729638194028525E-07 73479000
#=====================================================================================
