# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  4.911810358764927E-05  9.847812240892859E-07 1038311
   2      -8.75      -8.50  1.212402077994178E-04  1.845435761786063E-06 1974036
   3      -8.50      -8.25  2.470514738321700E-04  2.700407821867938E-06 3295745
   4      -8.25      -8.00  4.590539000633188E-04  3.655230056122534E-06 5083735
   5      -8.00      -7.75  7.964921121071905E-04  5.122396836292668E-06 7456146
   6      -7.75      -7.50  1.277723432764450E-03  6.293816756412658E-06 10489421
   7      -7.50      -7.25  1.990079395864581E-03  8.012948544956342E-06 14328229
   8      -7.25      -7.00  2.920934973749557E-03  9.878374124345874E-06 19047092
   9      -7.00      -6.75  4.132735618844258E-03  1.177231798299592E-05 24755119
  10      -6.75      -6.50  5.604777080775590E-03  1.366440436722686E-05 31542338
  11      -6.50      -6.25  7.382255576480384E-03  1.552435180789773E-05 39471955
  12      -6.25      -6.00  9.499205735911542E-03  1.794245439835717E-05 48592656
  13      -6.00      -5.75  1.175968972433483E-02  1.968962378479824E-05 58859156
  14      -5.75      -5.50  1.424384855717539E-02  2.062649353416591E-05 70190254
  15      -5.50      -5.25  1.682734450946997E-02  2.130856259081068E-05 82325631
  16      -5.25      -5.00  1.939743302865800E-02  2.342998560426405E-05 94700814
  17      -5.00      -4.75  2.171072573081393E-02  2.249223306609543E-05 106722127
  18      -4.75      -4.50  2.363617255661445E-02  2.280690903100649E-05 117697421
  19      -4.50      -4.25  2.506053403181329E-02  2.183828024714876E-05 126962353
  20      -4.25      -4.00  2.579499443444685E-02  2.067538885306680E-05 133934940
  21      -4.00      -3.75  2.576876529476306E-02  2.007251809448855E-05 138086740
  22      -3.75      -3.50  2.493224286797352E-02  1.869369720685664E-05 139293044
  23      -3.50      -3.25  2.333662596585925E-02  1.700387680714042E-05 137535345
  24      -3.25      -3.00  2.120366932668338E-02  1.543167926019594E-05 133178816
  25      -3.00      -2.75  1.859346510356745E-02  1.378063544443635E-05 126883680
  26      -2.75      -2.50  1.583606709958607E-02  1.211315466465212E-05 119562696
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
