# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  9.065180272240623E-08  4.861245794871473E-09 26248
   2      -8.75      -8.50  2.269015463303141E-07  8.346936896038983E-09 49121
   3      -8.50      -8.25  4.717029921978624E-07  1.278849220790028E-08 80184
   4      -8.25      -8.00  9.450140223293764E-07  2.058860396555158E-08 119842
   5      -8.00      -7.75  1.783434267751613E-06  3.105185902523875E-08 170701
   6      -7.75      -7.50  3.187299345925993E-06  4.894831067729630E-08 233404
   7      -7.50      -7.25  5.489365303676397E-06  6.890113122230402E-08 311219
   8      -7.25      -7.00  8.785868084319820E-06  9.002450618909972E-08 402871
   9      -7.00      -6.75  1.393432977737254E-05  1.236096716243895E-07 511619
  10      -6.75      -6.50  2.066217888610579E-05  1.687623807653057E-07 639333
  11      -6.50      -6.25  2.962582590318781E-05  2.022474742539381E-07 784789
  12      -6.25      -6.00  4.180813692511564E-05  2.518959333598686E-07 953602
  13      -6.00      -5.75  5.623437055953582E-05  3.047082489669877E-07 1142283
  14      -5.75      -5.50  7.368435096042944E-05  3.607252028273336E-07 1350145
  15      -5.50      -5.25  9.315277194487303E-05  3.988191529859134E-07 1575113
  16      -5.25      -5.00  1.140002777556592E-04  4.477912336609218E-07 1799032
  17      -5.00      -4.75  1.362537823851822E-04  4.860766148377600E-07 2020078
  18      -4.75      -4.50  1.577501515899154E-04  5.234805186572224E-07 2216135
  19      -4.50      -4.25  1.747593644150446E-04  5.378453665116641E-07 2384152
  20      -4.25      -4.00  1.871806468707808E-04  5.390928455848764E-07 2506567
  21      -4.00      -3.75  1.922695702289509E-04  5.336419974707746E-07 2575526
  22      -3.75      -3.50  1.894935553688192E-04  5.043113385831598E-07 2597119
  23      -3.50      -3.25  1.787734327785488E-04  4.664096124209026E-07 2560861
  24      -3.25      -3.00  1.626590840476454E-04  4.339493237799557E-07 2468215
  25      -3.00      -2.75  1.402597918753920E-04  3.658431337642688E-07 2330851
  26      -2.75      -2.50  1.167905931917027E-04  3.121961322988349E-07 2154185
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
