# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^-\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^-\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.658717962713169E-07  1.939420097557306E-08 10990
   2      -4.75      -4.50  9.026981142328735E-07  3.015958932599399E-08 42740
   3      -4.50      -4.25  1.919717498795284E-06  4.944016295876943E-08 92370
   4      -4.25      -4.00  3.546828724519346E-06  6.421846593942657E-08 164017
   5      -4.00      -3.75  5.673690939421374E-06  8.184365698514509E-08 261731
   6      -3.75      -3.50  8.267533887267102E-06  9.660390728561414E-08 389496
   7      -3.50      -3.25  1.147944920627400E-05  1.087583856125046E-07 550470
   8      -3.25      -3.00  1.536773539682413E-05  1.178922567182784E-07 744282
   9      -3.00      -2.75  1.980033788726416E-05  1.288806182917670E-07 978783
  10      -2.75      -2.50  2.499780870429285E-05  1.341073687894537E-07 1250909
  11      -2.50      -2.25  3.117338298682794E-05  1.367376840325876E-07 1564257
  12      -2.25      -2.00  3.865526612340633E-05  1.404538021864824E-07 1920500
  13      -2.00      -1.75  4.799491809155154E-05  1.404804604816537E-07 2315698
  14      -1.75      -1.50  6.037601298595319E-05  1.452120176319153E-07 2753795
  15      -1.50      -1.25  7.764565173103110E-05  1.520143475825553E-07 3227455
  16      -1.25      -1.00  1.004423357410515E-04  1.727459200754440E-07 3722062
  17      -1.00      -0.75  1.303871811053114E-04  1.965971052040862E-07 4223542
  18      -0.75      -0.50  1.671634696809425E-04  2.393740310639180E-07 4716938
  19      -0.50      -0.25  2.098072396707986E-04  2.953543914504268E-07 5165116
  20      -0.25       0.00  2.559128720623065E-04  3.673391421277951E-07 5541687
  21       0.00       0.25  2.995835761857661E-04  4.487078617018978E-07 5367979
  22       0.25       0.50  3.340943613156556E-04  5.334511098389427E-07 4677324
  23       0.50       0.75  3.551264342211714E-04  6.221150108613003E-07 3984447
  24       0.75       1.00  3.598197409018494E-04  6.965086758036648E-07 3338120
  25       1.00       1.25  3.488226975254847E-04  7.640789906697772E-07 2777426
  26       1.25       1.50  3.232881890448112E-04  8.049924229978980E-07 2315976
  27       1.50       1.75  2.849426470954729E-04  8.111050741375546E-07 1948519
  28       1.75       2.00  2.416373715106459E-04  7.851467123962450E-07 1665431
  29       2.00       2.25  1.966399885198052E-04  7.284935522192355E-07 1445458
  30       2.25       2.50  1.560736002681969E-04  6.725169377422551E-07 1266584
  31       2.50       2.75  1.182843795585708E-04  5.884287094503469E-07 1108483
  32       2.75       3.00  8.523643263756134E-05  4.854786117882322E-07 959649
  33       3.00       3.25  5.987472426481451E-05  3.836272122467691E-07 817457
  34       3.25       3.50  3.991427729856311E-05  3.004851200700545E-07 673411
  35       3.50       3.75  2.543459912363585E-05  2.257073740451406E-07 533730
  36       3.75       4.00  1.521279927062920E-05  1.595634205465767E-07 400287
  37       4.00       4.25  8.250648594776352E-06  1.036177460700778E-07 278002
  38       4.25       4.50  4.138436022108221E-06  6.537014954069806E-08 173010
  39       4.50       4.75  1.757823024988910E-06  6.302585460424797E-08 86664
  40       4.75       5.00  3.596462812465377E-07  1.493545658916361E-08 24205
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1175680937500242E-03  6.2733322344917642E-07 73479000
#=====================================================================================
