# title = Transverse Momentum anti--Muon-Muon
# xlabel = $p_{\text{T},\mu^+\mu^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.258547908926498E-06  6.565246758555386E-09 3014343
   2      20.00      40.00  5.695146721285996E-06  1.099417625143944E-08 5227262
   3      40.00      60.00  7.080495173224174E-06  1.227619247236861E-08 5807271
   4      60.00      80.00  6.891557712587938E-06  1.214343852693836E-08 5649066
   5      80.00     100.00  5.785523497181770E-06  1.080673539788218E-08 5039562
   6     100.00     120.00  4.830492851676667E-06  9.519434814559840E-09 4484418
   7     120.00     140.00  4.065337629788050E-06  8.503132071191107E-09 3999064
   8     140.00     160.00  3.388608799263632E-06  7.583891884093440E-09 3553304
   9     160.00     180.00  2.810968404322642E-06  6.626247803385492E-09 3139514
  10     180.00     200.00  2.313376100962734E-06  5.805599219018851E-09 2774704
  11     200.00     220.00  1.896859340436943E-06  5.043242762142437E-09 2458431
  12     220.00     240.00  1.561120953915095E-06  4.384458428742560E-09 2179080
  13     240.00     260.00  1.283570429590573E-06  3.839016743653984E-09 1947659
  14     260.00     280.00  1.052684421820712E-06  3.333533202024524E-09 1741388
  15     280.00     300.00  8.615264600881820E-07  2.921937085037389E-09 1565649
  16     300.00     320.00  7.137036398380328E-07  2.603664593439096E-09 1411103
  17     320.00     340.00  5.806768040564567E-07  2.271592765213178E-09 1279846
  18     340.00     360.00  4.732362503634922E-07  1.949085711291690E-09 1163901
  19     360.00     380.00  3.914838923048454E-07  1.686126652510378E-09 1063586
  20     380.00     400.00  3.220052458784165E-07  1.475292546069091E-09 974064
  21     400.00     420.00  2.655063458531779E-07  1.289343212007111E-09 891110
  22     420.00     440.00  2.189470058099056E-07  1.119030755218252E-09 822783
  23     440.00     460.00  1.821666679503930E-07  9.885331998850059E-10 757880
  24     460.00     480.00  1.501896081063722E-07  8.543851160282336E-10 701030
  25     480.00     500.00  1.259804606105701E-07  7.364226038674542E-10 650852
  26     500.00     520.00  1.053375889487918E-07  6.602120351462573E-10 602492
  27     520.00     540.00  8.720280203616048E-08  5.627684351304875E-10 562011
  28     540.00     560.00  7.276813734464754E-08  4.980134351181689E-10 523634
  29     560.00     580.00  6.094068904984930E-08  4.292341034746018E-10 488246
  30     580.00     600.00  5.197009855726345E-08  3.896639950850303E-10 454872
  31     600.00     620.00  4.366554798364408E-08  3.523300002860576E-10 427789
  32     620.00     640.00  3.717141324323140E-08  2.984203081410693E-10 400379
  33     640.00     660.00  3.112028872909086E-08  2.618406627549310E-10 375702
  34     660.00     680.00  2.626422264648729E-08  2.252673362869894E-10 353093
  35     680.00     700.00  2.254678688899121E-08  2.035702640941885E-10 332995
  36     700.00     720.00  1.934465264435254E-08  1.837541176316150E-10 312591
  37     720.00     740.00  1.660573560167126E-08  1.601810978362491E-10 294315
  38     740.00     760.00  1.402623704831656E-08  1.399652689198714E-10 278155
  39     760.00     780.00  1.183425390703709E-08  1.209166565421541E-10 261097
  40     780.00     800.00  1.012077349242711E-08  1.033396933976904E-10 248734
  41     800.00     820.00  8.655451774147208E-09  9.808588167332674E-11 233954
  42     820.00     840.00  7.585144877294362E-09  8.891955500450075E-11 221533
  43     840.00     860.00  6.561247347473817E-09  8.017691021731644E-11 209864
  44     860.00     880.00  5.487894550872498E-09  6.491209644635111E-11 198351
  45     880.00     900.00  4.862580944182514E-09  5.861311490441596E-11 188571
  46     900.00     920.00  4.303437787073831E-09  5.919028529686520E-11 178736
  47     920.00     940.00  3.631191848233477E-09  4.660810414478860E-11 168683
  48     940.00     960.00  3.140743183607939E-09  4.229196727591509E-11 161388
  49     960.00     980.00  2.817060096679780E-09  3.919545743317735E-11 153258
  50     980.00    1000.00  2.490720928408323E-09  3.793320832660010E-11 145856
  51    1000.00    1020.00  2.095416300074322E-09  3.064786202956904E-11 138232
  52    1020.00    1040.00  1.895088023750498E-09  2.978959885693151E-11 131279
  53    1040.00    1060.00  1.659621677385560E-09  2.783956001879010E-11 125523
  54    1060.00    1080.00  1.383832531249131E-09  2.099584721257762E-11 119624
  55    1080.00    1100.00  1.187544397089664E-09  1.792739267249375E-11 114579
  56    1100.00    1120.00  1.119623324920779E-09  1.849094678153561E-11 108419
  57    1120.00    1140.00  9.653062103741031E-10  1.619399017340718E-11 103833
  58    1140.00    1160.00  8.596882003313029E-10  1.400734905986861E-11 99267
  59    1160.00    1180.00  7.425352942728985E-10  1.244890201954183E-11 95070
  60    1180.00    1200.00  6.927334920072441E-10  1.310617083660135E-11 90360
  61    1200.00    1220.00  5.912614836317007E-10  1.071438461623883E-11 86582
  62    1220.00    1240.00  5.156182019970233E-10  8.969265396126953E-12 82687
  63    1240.00    1260.00  4.582521540738790E-10  8.268924713876283E-12 78712
  64    1260.00    1280.00  4.240503038156841E-10  8.119480717347539E-12 76107
  65    1280.00    1300.00  3.685799711003636E-10  7.354225588714753E-12 72551
  66    1300.00    1320.00  3.245082187432365E-10  6.580202119500249E-12 69128
  67    1320.00    1340.00  3.018589241018764E-10  6.199622200021990E-12 66741
  68    1340.00    1360.00  2.629814871372769E-10  5.419943441889387E-12 63915
  69    1360.00    1380.00  2.285110942348911E-10  4.884980427207274E-12 61523
  70    1380.00    1400.00  2.090981307849988E-10  4.440871344104484E-12 58864
  71    1400.00    1420.00  1.899727758544359E-10  4.275653424005021E-12 56155
  72    1420.00    1440.00  1.656016451225704E-10  3.354811618146656E-12 53999
  73    1440.00    1460.00  1.442489956077913E-10  3.235779991295263E-12 51759
  74    1460.00    1480.00  1.346902474200885E-10  3.131485818100601E-12 49661
  75    1480.00    1500.00  1.200694026306054E-10  2.823427812418420E-12 47870
  76    1500.00    1520.00  1.096210645515599E-10  2.657758566732291E-12 46082
  77    1520.00    1540.00  9.773818614995345E-11  2.329312770199962E-12 44177
  78    1540.00    1560.00  8.751595400463840E-11  2.031264816081808E-12 42284
  79    1560.00    1580.00  8.201213262661722E-11  2.194925412073484E-12 41291
  80    1580.00    1600.00  7.411989874568212E-11  1.963785186953847E-12 39513
  81    1600.00    1620.00  6.461860426188731E-11  1.639547039471384E-12 37830
  82    1620.00    1640.00  5.897149478622925E-11  1.648333335316720E-12 36556
  83    1640.00    1660.00  5.309012462647012E-11  1.621704724341412E-12 34981
  84    1660.00    1680.00  5.116520494816946E-11  1.506016923300542E-12 33860
  85    1680.00    1700.00  4.569105931745491E-11  1.336572931841295E-12 32750
  86    1700.00    1720.00  3.910354094647391E-11  1.169467898167151E-12 31306
  87    1720.00    1740.00  3.791494195424216E-11  1.130603515576237E-12 30109
  88    1740.00    1760.00  3.088494865852247E-11  8.801131354379953E-13 29030
  89    1760.00    1780.00  3.141730670570742E-11  1.186842416982124E-12 28250
  90    1780.00    1800.00  2.794062264755333E-11  9.817551308391244E-13 26978
  91    1800.00    1820.00  2.599511539985932E-11  9.005552884040766E-13 26169
  92    1820.00    1840.00  2.296084055063975E-11  7.934146653022901E-13 25068
  93    1840.00    1860.00  2.026708807084006E-11  6.526579141210098E-13 24230
  94    1860.00    1880.00  1.873376166095910E-11  6.305440994654196E-13 23457
  95    1880.00    1900.00  1.784198580644459E-11  6.129789351461898E-13 22585
  96    1900.00    1920.00  1.582736414759267E-11  5.934428183940942E-13 21828
  97    1920.00    1940.00  1.473503344951583E-11  5.369282065798163E-13 20922
  98    1940.00    1960.00  1.362064852000346E-11  5.096011331940039E-13 20185
  99    1960.00    1980.00  1.310706269315287E-11  6.576792602157930E-13 19540
 100    1980.00    2000.00  1.120892092592907E-11  4.931307566211678E-13 18974
 101    2000.00    2020.00  1.075035347303870E-11  5.050830537713056E-13 18141
 102    2020.00    2040.00  9.765250685213373E-12  4.341296866654366E-13 17362
 103    2040.00    2060.00  8.222078610962154E-12  3.119059151187085E-13 17142
 104    2060.00    2080.00  7.659967951320751E-12  3.267134936129634E-13 16307
 105    2080.00    2100.00  8.459026949515913E-12  5.504665759321317E-13 15719
 106    2100.00    2120.00  7.362465109688205E-12  3.103191376567554E-13 15252
 107    2120.00    2140.00  5.806000997136196E-12  2.394175997760689E-13 14784
 108    2140.00    2160.00  5.425121414771677E-12  2.300502031142443E-13 14089
 109    2160.00    2180.00  5.030033614621736E-12  2.501101092573081E-13 13923
 110    2180.00    2200.00  4.890656604294701E-12  2.289570473401837E-13 13469
 111    2200.00    2220.00  4.699938589311822E-12  2.337263235633151E-13 13119
 112    2220.00    2240.00  3.964739573489095E-12  1.850588973107474E-13 12502
 113    2240.00    2260.00  3.531210763635839E-12  1.628459984136727E-13 12044
 114    2260.00    2280.00  3.838402601207155E-12  2.500455216956861E-13 11426
 115    2280.00    2300.00  3.207842742079595E-12  1.886310923420400E-13 11139
 116    2300.00    2320.00  2.794689482031698E-12  1.559884205649644E-13 11046
 117    2320.00    2340.00  2.590367622261072E-12  1.370297912861261E-13 10439
 118    2340.00    2360.00  2.350148417709700E-12  1.143306737241917E-13 10271
 119    2360.00    2380.00  2.384156734614931E-12  1.298652988016237E-13 9814
 120    2380.00    2400.00  2.025387422125997E-12  1.144292436485344E-13 9386
 121    2400.00    2420.00  1.894102559299371E-12  1.057203929945091E-13 9102
 122    2420.00    2440.00  1.786270060745487E-12  9.710779121545413E-14 8931
 123    2440.00    2460.00  1.544815201586365E-12  7.861120202695201E-14 8508
 124    2460.00    2480.00  1.526949091059187E-12  8.734130608061823E-14 8473
 125    2480.00    2500.00  1.462242308146013E-12  8.063676319571235E-14 8079
 126    2500.00    2520.00  1.586402009536881E-12  1.587711539896153E-13 7744
 127    2520.00    2540.00  1.258884940892302E-12  8.286583461331827E-14 7588
 128    2540.00    2560.00  1.166142533059675E-12  7.033791152247108E-14 7378
 129    2560.00    2580.00  1.065636276581663E-12  6.465387868963928E-14 6979
 130    2580.00    2600.00  1.028179704284666E-12  6.935481827950260E-14 6752
 131    2600.00    2620.00  8.859164268403911E-13  5.793073928868971E-14 6662
 132    2620.00    2640.00  8.261841215340026E-13  5.069536081965158E-14 6449
 133    2640.00    2660.00  8.952911987324522E-13  6.843833740842043E-14 6233
 134    2660.00    2680.00  7.144117758521477E-13  6.123300153417194E-14 6046
