# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  2.111549298143162E-03  8.213354362479832E-07 664529984
   2      30.00      50.00  1.934825072285138E-03  7.428318960565329E-07 707301828
   3      50.00      70.00  1.267847492821540E-03  5.804118989601762E-07 456377078
   4      70.00      90.00  7.587941040625895E-04  4.335450054171090E-07 298147297
   5      90.00     110.00  4.623953007203456E-04  3.164742218024041E-07 207799735
   6     110.00     130.00  3.058126772831327E-04  2.451560477227787E-07 156194650
   7     130.00     150.00  2.105958387387885E-04  1.891204233884207E-07 121892527
   8     150.00     170.00  1.494578218216673E-04  1.543827568437412E-07 97596113
   9     170.00     190.00  1.084915794007569E-04  1.236042724784443E-07 79687977
  10     190.00     210.00  7.970661902270145E-05  1.015414921490265E-07 66070370
  11     210.00     230.00  5.952591494046682E-05  8.192213623964578E-08 55539184
  12     230.00     250.00  4.489936935344672E-05  6.799005429441350E-08 47208704
  13     250.00     270.00  3.433451652807023E-05  5.690512630182912E-08 40519638
  14     270.00     290.00  2.651777052510954E-05  4.797587666391562E-08 35069942
  15     290.00     310.00  2.046591152877010E-05  3.989555401482896E-08 30573801
  16     310.00     330.00  1.604081835574207E-05  3.418400189253521E-08 26825843
  17     330.00     350.00  1.264266118632211E-05  2.983160807279518E-08 23669149
  18     350.00     370.00  1.000417124015263E-05  2.497750353357168E-08 20998008
  19     370.00     390.00  7.983600022326434E-06  2.128428609145159E-08 18716394
  20     390.00     410.00  6.384540868281684E-06  1.887375555478583E-08 16754800
  21     410.00     430.00  5.104384611818399E-06  1.586949090827905E-08 15041377
  22     430.00     450.00  4.137382171486312E-06  1.318033377965651E-08 13573148
  23     450.00     470.00  3.385834288771197E-06  1.415475097439416E-08 12271790
  24     470.00     490.00  2.766520154198736E-06  1.061428330785881E-08 11132423
  25     490.00     510.00  2.254495890080682E-06  8.848606264029220E-09 10129028
  26     510.00     530.00  1.870551458848724E-06  7.858367953866812E-09 9234801
  27     530.00     550.00  1.533059927461437E-06  7.041039064130851E-09 8443853
  28     550.00     570.00  1.262570579649971E-06  5.988638507661677E-09 7735081
  29     570.00     590.00  1.053678760575246E-06  4.964669474354183E-09 7099982
  30     590.00     610.00  8.721948980244385E-07  4.538772484863876E-09 6527121
  31     610.00     630.00  7.339993020710808E-07  3.930478193149004E-09 6013997
  32     630.00     650.00  6.151622167857232E-07  3.517369272091707E-09 5554787
  33     650.00     670.00  5.169198337435086E-07  2.997785695474970E-09 5134276
  34     670.00     690.00  4.360805570037888E-07  5.608199742409776E-09 4752399
  35     690.00     710.00  3.678765133941825E-07  2.441599116789410E-09 4403447
