# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  8.893959542369114E-01  2.385656626966714E-04 1568789362
   2      -0.90      -0.80  2.192912984086794E-01  7.940436808454589E-05 502944665
   3      -0.80      -0.70  1.132227961397593E-01  5.150431083671549E-05 304462743
   4      -0.70      -0.60  7.003225962251763E-02  3.802837951807475E-05 212488420
   5      -0.60      -0.50  4.741055728130534E-02  2.974480377911244E-05 158754511
   6      -0.50      -0.40  3.356722286714248E-02  2.382533409577439E-05 121917710
   7      -0.40      -0.30  2.473158268281364E-02  1.947720567876340E-05 96147842
   8      -0.30      -0.20  1.900588075106344E-02  1.654589784906583E-05 79670707
   9      -0.20      -0.10  1.492454395523144E-02  1.404556840187362E-05 67885834
  10      -0.10       0.00  1.186696016019750E-02  1.204767536134622E-05 58963398
  11       0.00       0.10  9.537940351694483E-03  1.036202698381537E-05 51964516
  12       0.10       0.20  7.654270968961007E-03  8.754376517096745E-06 46282768
  13       0.20       0.30  6.107391392260109E-03  7.398217625070975E-06 41520721
  14       0.30       0.40  4.827396296403506E-03  6.280462272386383E-06 37458117
  15       0.40       0.50  3.721280596177016E-03  5.297685689851508E-06 33810020
  16       0.50       0.60  2.743132961437200E-03  3.927612260752017E-06 30392086
  17       0.60       0.70  1.878888223018250E-03  2.968893751696480E-06 26932478
  18       0.70       0.80  1.095092646255471E-03  1.902854038288410E-06 22947621
  19       0.80       0.90  4.306780447248417E-04  9.030236648236095E-07 17057247
  20       0.90       1.00  3.966086842799841E-05  1.726557902099054E-07 5038234
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5554476617683219E-06  2.0091036370512906E-09 20479000
#=====================================================================================
