# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  5.084414701720244E-08  1.480297198235686E-09 233260
   4     190.00     250.00  7.584395909864484E-06  1.617777451978376E-08 18422014
   5     250.00     310.00  7.205086860853262E-05  5.890774321770993E-08 109561155
   6     310.00     370.00  1.767131933256969E-04  1.043680533950833E-07 203128429
   7     370.00     430.00  2.526193185933171E-04  1.406610304696751E-07 248275996
   8     430.00     490.00  2.823590371054993E-04  1.509206014737008E-07 253979080
   9     490.00     550.00  2.736852447927886E-04  1.537574883161575E-07 237701225
  10     550.00     610.00  2.450089845948579E-04  1.474625305104769E-07 215021207
  11     610.00     670.00  2.101226844016310E-04  1.379436839309274E-07 191997777
  12     670.00     730.00  1.753106961890882E-04  1.257382307844431E-07 170682169
  13     730.00     790.00  1.441611534455385E-04  1.149299599048824E-07 151568698
  14     790.00     850.00  1.173263795261095E-04  1.003818635570862E-07 134951428
  15     850.00     910.00  9.516500921118526E-05  9.060640130707334E-08 120557528
  16     910.00     970.00  7.696747017130452E-05  7.785491762350752E-08 108113449
  17     970.00    1030.00  6.234997746818567E-05  6.896085023236073E-08 97309523
  18    1030.00    1090.00  5.041836070616773E-05  6.042415391784651E-08 87933287
  19    1090.00    1150.00  4.082428835614097E-05  5.203458102935151E-08 79732881
  20    1150.00    1210.00  3.317584718642250E-05  4.545046849317987E-08 72554617
  21    1210.00    1270.00  2.688879621757472E-05  3.998854365358000E-08 66196780
