# title = W boson Transverse Momentum
# xlabel = $p_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.272356146423768E-06  6.626237203411792E-09 3048404
   2      20.00      40.00  5.761510058593388E-06  1.090302760264210E-08 5642955
   3      40.00      60.00  7.081843182436223E-06  1.213871159248632E-08 6341368
   4      60.00      80.00  6.681866633836630E-06  1.153326794274046E-08 6085128
   5      80.00     100.00  5.862191106578749E-06  1.054449334407726E-08 5577752
   6     100.00     120.00  4.917891491610230E-06  9.324317468185024E-09 4963093
   7     120.00     140.00  4.040598630068045E-06  8.135524686081576E-09 4339086
   8     140.00     160.00  3.234775239640072E-06  6.957462646867436E-09 3755140
   9     160.00     180.00  2.584297098540082E-06  5.945779538432388E-09 3246018
  10     180.00     200.00  2.054482738277148E-06  5.063137839804119E-09 2813554
  11     200.00     220.00  1.620879896424352E-06  4.245370693473495E-09 2442985
  12     220.00     240.00  1.293109671025100E-06  3.619281275387703E-09 2134494
  13     240.00     260.00  1.031026745312249E-06  3.126356876428785E-09 1874279
  14     260.00     280.00  8.208987791601829E-07  2.612383677003728E-09 1653623
  15     280.00     300.00  6.578886417108486E-07  2.281099421482106E-09 1470745
  16     300.00     320.00  5.258672462008746E-07  1.907999693701654E-09 1312908
  17     320.00     340.00  4.227989995322011E-07  1.614295789508327E-09 1177965
  18     340.00     360.00  3.400377839877778E-07  1.387841772137374E-09 1059918
  19     360.00     380.00  2.773405551475395E-07  1.224087504820438E-09 958517
  20     380.00     400.00  2.248387373924711E-07  1.105730935463225E-09 873016
  21     400.00     420.00  1.820731058578868E-07  8.783347454939918E-10 794152
  22     420.00     440.00  1.497448123794192E-07  7.753813259580934E-10 725963
  23     440.00     460.00  1.210007119029292E-07  6.594446029404970E-10 666675
  24     460.00     480.00  9.884485951682425E-08  5.694209827125098E-10 613504
  25     480.00     500.00  8.234843867352793E-08  4.991973377835101E-10 564115
  26     500.00     520.00  6.805558889416687E-08  4.439485710832165E-10 523037
  27     520.00     540.00  5.600345218820424E-08  3.910518249184442E-10 482556
  28     540.00     560.00  4.655952824774369E-08  3.276841182610671E-10 449022
  29     560.00     580.00  3.900215110062628E-08  2.886865069740439E-10 417447
