# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  6.623215892862954E-03  5.492984980137303E-06 32617641
   2      -0.90      -0.80  1.848655365485368E-03  2.403880951976422E-06 10531363
   3      -0.80      -0.70  9.762556621854556E-04  1.632510420800038E-06 6410327
   4      -0.70      -0.60  6.130977875119392E-04  1.249709711830228E-06 4485042
   5      -0.60      -0.50  4.238291689867321E-04  1.003426825049200E-06 3363179
   6      -0.50      -0.40  3.068694213363713E-04  8.361845218374951E-07 2588863
   7      -0.40      -0.30  2.309367816948340E-04  6.963177279085946E-07 2047805
   8      -0.30      -0.20  1.805338773677024E-04  6.453584726053194E-07 1703100
   9      -0.20      -0.10  1.427927752721019E-04  5.156091553279291E-07 1457299
  10      -0.10       0.00  1.140116539775273E-04  4.393164267510355E-07 1271516
  11       0.00       0.10  9.237227135747991E-05  3.806381109881209E-07 1125562
  12       0.10       0.20  7.441724299675908E-05  3.162968868367411E-07 1010002
  13       0.20       0.30  5.888009112140860E-05  2.640369555998063E-07 910104
  14       0.30       0.40  4.659314992526250E-05  2.188138857108599E-07 828866
  15       0.40       0.50  3.533422245975484E-05  1.754613242415867E-07 754631
  16       0.50       0.60  2.553072710551902E-05  1.319330527650631E-07 685771
  17       0.60       0.70  1.690753474810857E-05  9.045064774257606E-08 617572
  18       0.70       0.80  9.357373090184635E-06  5.351159470692267E-08 535485
  19       0.80       0.90  3.308395687893870E-06  2.149979442739224E-08 408976
  20       0.90       1.00  2.734055188664836E-07  2.758802404374290E-09 125896
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1823172800692226E-03  6.6080928913832875E-07 73479000
#=====================================================================================
