# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  1.202515097882165E-06  2.408502536334858E-09 2335142
  14     540.00     580.00  1.221768877595893E-06  2.540993472073424E-09 2280627
  15     580.00     620.00  1.223667968244310E-06  2.696897379993592E-09 2213121
  16     620.00     660.00  1.211356061619664E-06  2.718415634935704E-09 2147346
  17     660.00     700.00  1.201863299003740E-06  2.839287373297977E-09 2073861
  18     700.00     740.00  1.173490102563608E-06  2.915255401292748E-09 2002344
  19     740.00     780.00  1.141991443382440E-06  2.949802174319693E-09 1932083
  20     780.00     820.00  1.103479206771649E-06  2.960689513289621E-09 1862430
  21     820.00     860.00  1.068579967286926E-06  3.016802598408459E-09 1792233
  22     860.00     900.00  1.025956055428884E-06  3.005253100726504E-09 1725512
  23     900.00     940.00  9.853648584411491E-07  3.007045786191904E-09 1659687
  24     940.00     980.00  9.404767722813225E-07  2.999046371204786E-09 1594395
  25     980.00    1020.00  8.973693179485638E-07  3.002570297259080E-09 1535560
  26    1020.00    1060.00  8.514426117514563E-07  2.934738048912535E-09 1475688
  27    1060.00    1100.00  8.102833892775540E-07  2.894248036272356E-09 1422967
  28    1100.00    1140.00  7.711289286942191E-07  2.878219441974692E-09 1367748
