# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.139905411824115E-02  1.876023375397192E-05 61700113
   2      -2.25      -2.00  1.593971636923222E-02  2.179655429410474E-05 84497168
   3      -2.00      -1.75  2.149901240768175E-02  2.628037566719450E-05 110207118
   4      -1.75      -1.50  2.761708919514785E-02  3.184205957219272E-05 135976068
   5      -1.50      -1.25  3.389796686648511E-02  3.226204914529718E-05 160420227
   6      -1.25      -1.00  3.984520359074400E-02  3.385863685663338E-05 182775940
   7      -1.00      -0.75  4.492587494992915E-02  3.469175508951920E-05 202469136
   8      -0.75      -0.50  4.903179675002892E-02  3.469398229875152E-05 219088902
   9      -0.50      -0.25  5.187632533066690E-02  3.421990393758581E-05 232265175
  10      -0.25       0.00  5.338029056175917E-02  3.408033856596036E-05 241452097
  11       0.00       0.25  5.345355956559018E-02  3.320336867258652E-05 246261082
  12       0.25       0.50  5.209705311542531E-02  3.244571981467963E-05 246251181
  13       0.50       0.75  4.936533874592987E-02  3.160678872781279E-05 240988712
  14       0.75       1.00  4.527023824861229E-02  3.061381753766499E-05 230238646
  15       1.00       1.25  4.017364721302853E-02  2.947557693630022E-05 213878807
  16       1.25       1.50  3.422157056599308E-02  2.855835609742626E-05 192037967
  17       1.50       1.75  2.794848267343092E-02  2.528163990893672E-05 165577028
  18       1.75       2.00  2.170249228070071E-02  2.222629947065321E-05 135814229
  19       2.00       2.25  1.616270619468815E-02  1.911192683752367E-05 105371693
  20       2.25       2.50  1.152284816370935E-02  1.551626520684893E-05 78157711
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.8035878976326820E-06  2.2658104640805411E-09 20479000
#=====================================================================================
