# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1240551489
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.817290535821131E-04  6.859796729284304E-07 1295689
   2      -2.25      -2.00  2.443814131028309E-04  7.983636195920728E-07 1773924
   3      -2.00      -1.75  3.061243114487828E-04  8.698230415795464E-07 2302600
   4      -1.75      -1.50  3.641888794993077E-04  9.166644203525352E-07 2813677
   5      -1.50      -1.25  4.074661458554831E-04  9.177232992746849E-07 3290920
   6      -1.25      -1.00  4.294143962152279E-04  8.940756033915761E-07 3724522
   7      -1.00      -0.75  4.290722846431647E-04  8.220827363368383E-07 4120173
   8      -0.75      -0.50  4.077275988532263E-04  7.326549151604166E-07 4464463
   9      -0.50      -0.25  3.741781510439558E-04  6.476105858527897E-07 4754265
  10      -0.25       0.00  3.301568680913189E-04  5.527237634150026E-07 4972688
  11       0.00       0.25  2.828664495972806E-04  4.524760215188892E-07 5122653
  12       0.25       0.50  2.351398796689330E-04  3.739777742832313E-07 5172598
  13       0.50       0.75  1.916562303568003E-04  3.128998873942378E-07 5113222
  14       0.75       1.00  1.521384603932896E-04  2.627730487184589E-07 4933362
  15       1.00       1.25  1.188959919390211E-04  2.280935564630012E-07 4630890
  16       1.25       1.50  9.102681468476256E-05  2.039256793683406E-07 4192972
  17       1.50       1.75  6.847063963214342E-05  1.831725505021085E-07 3644323
  18       1.75       2.00  5.108429710274565E-05  1.687428827152562E-07 3019900
  19       2.00       2.25  3.710005447372788E-05  1.509910555794545E-07 2365667
  20       2.25       2.50  2.645120009210093E-05  1.338712286510716E-07 1770492
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1823172800690543E-03  6.6105126145051557E-07 73479000
#=====================================================================================
