# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  1.240609256622510E-03  3.553408438688523E-06 24626004
   2      -4.25      -4.00  2.653718539870871E-03  6.938124868540307E-06 34385280
   3      -4.00      -3.75  5.016828194196552E-03  9.625669702817596E-06 45559646
   4      -3.75      -3.50  8.584349013766627E-03  1.395240123784879E-05 57933808
   5      -3.50      -3.25  1.336032678939662E-02  1.891393140886069E-05 71067923
   6      -3.25      -3.00  1.901707722255913E-02  2.693075816750826E-05 84274844
   7      -3.00      -2.75  2.483104839086234E-02  2.913504425585853E-05 96851500
   8      -2.75      -2.50  2.986803127421731E-02  3.160639125078130E-05 107819895
   9      -2.50      -2.25  3.342927348439922E-02  3.335592328185780E-05 116483744
  10      -2.25      -2.00  3.503123731421939E-02  3.289269605522067E-05 122459533
  11      -2.00      -1.75  3.460825446177579E-02  3.099796225491200E-05 125666756
  12      -1.75      -1.50  3.227037143543680E-02  2.775962040061709E-05 126072910
  13      -1.50      -1.25  2.847612732266001E-02  2.419946663216650E-05 123943106
  14      -1.25      -1.00  2.395705104089622E-02  2.084636267070827E-05 119889929
  15      -1.00      -0.75  1.926202508051874E-02  1.702372958795639E-05 114869603
  16      -0.75      -0.50  1.513775719027627E-02  1.341125455475727E-05 109989599
  17      -0.50      -0.25  1.212315055829648E-02  1.035327194105182E-05 106361720
  18      -0.25       0.00  1.064856626743219E-02  8.504431619828383E-06 104609842
  19       0.00       0.25  1.082106031621531E-02  8.257547774647423E-06 105107447
  20       0.25       0.50  1.267579185317195E-02  9.646956496358497E-06 107993559
  21       0.50       0.75  1.595918199866302E-02  1.227843694557055E-05 112982224
  22       0.75       1.00  2.024082557463229E-02  1.522326099021269E-05 119477577
  23       1.00       1.25  2.498209615691992E-02  1.878900958586142E-05 126406241
  24       1.25       1.50  2.947173267874576E-02  2.238441031609420E-05 132501227
  25       1.50       1.75  3.299210333317050E-02  2.542783564172994E-05 136461424
  26       1.75       2.00  3.499831160732293E-02  2.852884148688902E-05 137421658
  27       2.00       2.25  3.505012603709721E-02  3.107382170164831E-05 134815318
  28       2.25       2.50  3.302868224730408E-02  3.136576720347486E-05 128526757
  29       2.50       2.75  2.932203286433351E-02  3.127049166891380E-05 118494025
  30       2.75       3.00  2.408559156073582E-02  2.927220823934568E-05 105235644
  31       3.00       3.25  1.819745821259377E-02  2.487068165121279E-05 89555545
  32       3.25       3.50  1.269833028816577E-02  2.046461180558773E-05 72773454
  33       3.50       3.75  8.096703441504373E-03  1.506802065071359E-05 56159228
  34       3.75       4.00  4.702071893494145E-03  1.066376039453634E-05 40894918
  35       4.00       4.25  2.477731266363336E-03  7.053650520480691E-06 27875462
  36       4.25       4.50  1.155251890682477E-03  4.622296977705817E-06 17594922
# Underflow:                 4.1918592023689465E-10  3.1880014778439879E-11 4653
# Overflow:                  1.3812851679728653E-10  9.1728246648792614E-12 4373
#-------------------------------------------------------------------------------------
# Sum:                       1.8035878976326843E-06  2.2658174982480616E-09 20479000
#=====================================================================================
