# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  7.735913879460305E-03  1.162265638411785E-05 80503173
   2      -4.25      -4.00  1.166606471601991E-02  1.493467871429535E-05 94717340
   3      -4.00      -3.75  1.627584424529447E-02  1.858077729006679E-05 107166757
   4      -3.75      -3.50  2.120895293366818E-02  2.227663318354829E-05 117559027
   5      -3.50      -3.25  2.600089803231417E-02  2.659224628068129E-05 125518865
   6      -3.25      -3.00  3.006865743755703E-02  2.901148766063098E-05 130834827
   7      -3.00      -2.75  3.291302938868802E-02  3.066925202838180E-05 133208330
   8      -2.75      -2.50  3.393182943139388E-02  3.066811846880592E-05 132212392
   9      -2.50      -2.25  3.296198955607425E-02  3.012841620287824E-05 128019213
  10      -2.25      -2.00  3.046707696496999E-02  2.787349222567484E-05 121114651
  11      -2.00      -1.75  2.694009132567682E-02  2.408793009094316E-05 111881051
  12      -1.75      -1.50  2.262415242259169E-02  2.057357892119209E-05 100417460
  13      -1.50      -1.25  1.800969214484168E-02  1.670585346223208E-05 87462421
  14      -1.25      -1.00  1.360092123361102E-02  1.423536875678789E-05 74088249
  15      -1.00      -0.75  9.669111047647991E-03  1.071377919182856E-05 61466635
  16      -0.75      -0.50  6.529356628664464E-03  7.870585118470274E-06 50708317
  17      -0.50      -0.25  4.387619293687040E-03  5.801155804675916E-06 42825248
  18      -0.25       0.00  3.328507925825240E-03  4.486541224547850E-06 38524795
  19       0.00       0.25  3.424278669057120E-03  4.678482866822687E-06 38137844
  20       0.25       0.50  4.656671248020539E-03  6.137082390233361E-06 41703527
  21       0.50       0.75  6.996559956502552E-03  8.475012721386918E-06 48979318
  22       0.75       1.00  1.025546013364043E-02  1.113715838853408E-05 59335747
  23       1.00       1.25  1.428904223215969E-02  1.439796723640939E-05 71861195
  24       1.25       1.50  1.875825967824557E-02  1.800552859766092E-05 85411792
  25       1.50       1.75  2.325481321054236E-02  2.090591329582629E-05 98783549
  26       1.75       2.00  2.740131477969324E-02  2.487148897792570E-05 110797455
  27       2.00       2.25  3.072034255923966E-02  2.835584581678140E-05 120540834
  28       2.25       2.50  3.284497581527689E-02  2.985378665509863E-05 127605917
  29       2.50       2.75  3.340570083678837E-02  3.124645192131909E-05 131379110
  30       2.75       3.00  3.215289247737488E-02  3.212637880122384E-05 131205480
  31       3.00       3.25  2.910285549716593E-02  2.992633412225235E-05 126793350
  32       3.25       3.50  2.495380436266809E-02  2.750631733500821E-05 118727092
  33       3.50       3.75  2.007647281166501E-02  2.367309020664535E-05 107600292
  34       3.75       4.00  1.526702700133287E-02  2.055505763216467E-05 93988494
  35       4.00       4.25  1.084071826351241E-02  2.055729781908574E-05 78809146
  36       4.25       4.50  7.093015159303561E-03  1.373412873294745E-05 62995412
# Underflow:                 6.1928145734410669E-09  1.5603117303386979E-10 43728
# Overflow:                  2.2353646988108926E-09  6.4607742907992965E-11 44341
#-------------------------------------------------------------------------------------
# Sum:                       1.8035878976326801E-06  2.2658192991376796E-09 20479000
#=====================================================================================
