# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.210463553103858E-02  1.899021492584102E-05 63459446
   2      -2.25      -2.00  1.685351312323357E-02  2.381568374808996E-05 86921123
   3      -2.00      -1.75  2.260194896404165E-02  2.996322814372108E-05 113363968
   4      -1.75      -1.50  2.890579673937822E-02  3.082366753553069E-05 139797470
   5      -1.50      -1.25  3.533162859182073E-02  3.260133519100131E-05 164813130
   6      -1.25      -1.00  4.153806400286011E-02  3.450161845357873E-05 187707759
   7      -1.00      -0.75  4.688238497329753E-02  3.608159835939570E-05 207802337
   8      -0.75      -0.50  5.108237618151014E-02  3.528407209472177E-05 224756374
   9      -0.50      -0.25  5.402136027972423E-02  3.523170430141645E-05 238152127
  10      -0.25       0.00  5.551646562563042E-02  3.394088982973340E-05 247497627
  11       0.00       0.25  5.543492502448529E-02  3.295505796802526E-05 252360569
  12       0.25       0.50  5.404235294043225E-02  3.298967194414289E-05 252266670
  13       0.50       0.75  5.118324671943256E-02  3.201249335695984E-05 246778623
  14       0.75       1.00  4.691450303032245E-02  3.085550462585789E-05 235715666
  15       1.00       1.25  4.156236893320172E-02  2.979283520386163E-05 218909629
  16       1.25       1.50  3.545715769624084E-02  2.818925678110522E-05 196573375
  17       1.50       1.75  2.891760336493655E-02  2.669414134602762E-05 169429156
  18       1.75       2.00  2.261447279505543E-02  2.292377191647392E-05 139003181
  19       2.00       2.25  1.682821452161121E-02  1.917240733694526E-05 107815545
  20       2.25       2.50  1.209349186422002E-02  1.610937449660614E-05 79954225
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.8035878976326775E-06  2.2658104227100888E-09 20479000
#=====================================================================================
