# title = Transverse Mass of W-Z
# xlabel = $M_{\text{T},\text{W}\text{Z}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}\text{Z}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.482572617725523E-07  2.958437430183040E-09 416111
   2      20.00      40.00  1.937490552402784E-06  9.614023640072995E-09 2876939
   3      40.00      60.00  6.144442833887139E-06  1.794813171104780E-08 8131591
   4      60.00      80.00  1.563351989739693E-05  2.960342542145361E-08 17925394
   5      80.00     100.00  4.008271321439869E-05  5.348895389973166E-08 39244547
   6     100.00     120.00  1.149900484933946E-04  1.075771145392314E-07 93023994
   7     120.00     140.00  3.145898341032104E-04  2.173351028513667E-07 196591930
   8     140.00     160.00  7.403847203617061E-04  4.132705209618597E-07 337865199
   9     160.00     180.00  1.328733303692266E-03  6.306538416639631E-07 447058844
  10     180.00     200.00  1.184662106176716E-03  6.191435315479653E-07 327742670
  11     200.00     220.00  9.011014441552341E-04  5.811522600370891E-07 242633458
  12     220.00     240.00  6.994919120961824E-04  4.891682576556820E-07 192443676
  13     240.00     260.00  5.515300654984769E-04  4.383508936135137E-07 158081087
  14     260.00     280.00  4.423200705696786E-04  3.919414121444885E-07 132851828
  15     280.00     300.00  3.593432616107398E-04  3.496229464557604E-07 113471777
  16     300.00     320.00  2.947982140271246E-04  3.136870914779139E-07 98160655
  17     320.00     340.00  2.443609934152270E-04  2.833828047940599E-07 85775272
  18     340.00     360.00  2.038334838473862E-04  2.524955280387729E-07 75580882
  19     360.00     380.00  1.715567157894198E-04  2.330112495373470E-07 67099331
  20     380.00     400.00  1.456979245154153E-04  2.250383268551358E-07 59900659
  21     400.00     420.00  1.240425430451790E-04  1.913017776409340E-07 53771157
  22     420.00     440.00  1.063088914782545E-04  1.765569883697101E-07 48489205
  23     440.00     460.00  9.145332468584897E-05  1.601745857970346E-07 43910926
  24     460.00     480.00  7.889975170366256E-05  1.473229231162471E-07 39918296
  25     480.00     500.00  6.879705988398377E-05  1.370393701501879E-07 36417833
  26     500.00     520.00  5.976266116937861E-05  1.249071493059324E-07 33315926
  27     520.00     540.00  5.228050597953098E-05  1.147977755901604E-07 30575509
  28     540.00     560.00  4.570094624984966E-05  1.061876002500127E-07 28136301
  29     560.00     580.00  4.015014508634400E-05  9.763668425978987E-08 25956503
  30     580.00     600.00  3.545245010839170E-05  9.659209658557231E-08 23989381
  31     600.00     620.00  3.114282818103996E-05  8.264235180071841E-08 22231840
  32     620.00     640.00  2.744125113487875E-05  7.548044619455853E-08 20636595
  33     640.00     660.00  2.414147958593759E-05  6.891918430625253E-08 19185376
  34     660.00     680.00  2.171955451241664E-05  6.588189616540161E-08 17880455
  35     680.00     700.00  1.928657901857282E-05  6.160604779843104E-08 16682782
  36     700.00     720.00  1.722235288349456E-05  6.003583075970769E-08 15591503
  37     720.00     740.00  1.529656036895254E-05  5.324531994717171E-08 14605498
  38     740.00     760.00  1.368612637475067E-05  4.964796311097895E-08 13684538
  39     760.00     780.00  1.227765605213666E-05  4.654532950496078E-08 12841886
  40     780.00     800.00  1.100890664492981E-05  4.341111943323839E-08 12070759
  41     800.00     820.00  9.882410809929759E-06  4.041892781881146E-08 11346230
  42     820.00     840.00  8.885448469818736E-06  3.735137328973489E-08 10700509
  43     840.00     860.00  8.017297744466560E-06  3.531545600346577E-08 10088395
  44     860.00     880.00  7.216000121598853E-06  3.314674344821468E-08 9524198
  45     880.00     900.00  6.535607312583540E-06  3.071513920284799E-08 8998352
  46     900.00     920.00  5.857463323009583E-06  2.828993562509506E-08 8508990
  47     920.00     940.00  5.357319786276469E-06  2.792241218906261E-08 8056039
  48     940.00     960.00  4.811304209586958E-06  2.506804361479804E-08 7638374
  49     960.00     980.00  4.363060061827713E-06  2.352295958301694E-08 7240222
  50     980.00    1000.00  3.926763293674899E-06  2.200207416834517E-08 6873840
  51    1000.00    1020.00  3.601039253017170E-06  2.103803341994579E-08 6525234
  52    1020.00    1040.00  3.304513141512037E-06  2.061907913919508E-08 6206378
  53    1040.00    1060.00  2.987817274965298E-06  1.871723956213579E-08 5901069
  54    1060.00    1080.00  2.716889626064567E-06  1.688177044261071E-08 5617621
  55    1080.00    1100.00  2.488051123601788E-06  1.617060035390999E-08 5345408
  56    1100.00    1120.00  2.268412741067122E-06  1.531440980764133E-08 5098331
  57    1120.00    1140.00  2.091211531087607E-06  1.508998524808338E-08 4864410
  58    1140.00    1160.00  1.878013694702274E-06  1.351202253286295E-08 4639843
  59    1160.00    1180.00  1.737466763124507E-06  1.252752028497106E-08 4429912
  60    1180.00    1200.00  1.569905602093701E-06  1.168920652799352E-08 4233886
  61    1200.00    1220.00  1.467045550881993E-06  1.158814597121910E-08 4043057
  62    1220.00    1240.00  1.335331150083964E-06  1.041151506814855E-08 3871885
  63    1240.00    1260.00  1.225927760116613E-06  9.751230359895154E-09 3703228
  64    1260.00    1280.00  1.140974295784476E-06  9.534347669045104E-09 3541397
  65    1280.00    1300.00  1.046546032544522E-06  9.298464952948882E-09 3393927
  66    1300.00    1320.00  9.433129493829004E-07  8.061015723079577E-09 3251388
  67    1320.00    1340.00  8.823929300304674E-07  8.279704121347002E-09 3117964
  68    1340.00    1360.00  8.145759726655775E-07  7.719643400641855E-09 2992243
  69    1360.00    1380.00  7.615400650464726E-07  7.562837385632421E-09 2869509
  70    1380.00    1400.00  7.037957679910928E-07  7.027027645192422E-09 2753303
  71    1400.00    1420.00  6.351373768786699E-07  6.281926715092962E-09 2644561
  72    1420.00    1440.00  6.076676144240908E-07  6.271579318280881E-09 2540930
  73    1440.00    1460.00  5.455684633496413E-07  6.319341826353130E-09 2438095
  74    1460.00    1480.00  5.052877065848863E-07  5.279265938606937E-09 2345949
  75    1480.00    1500.00  4.744740705617786E-07  5.384659851230347E-09 2255898
  76    1500.00    1520.00  4.392139662932330E-07  5.734380553077874E-09 2171410
  77    1520.00    1540.00  4.038163578562727E-07  4.812882411174253E-09 2087196
  78    1540.00    1560.00  3.760055523981764E-07  4.387371084759996E-09 2012986
  79    1560.00    1580.00  3.442366921073075E-07  4.164982448497027E-09 1934534
  80    1580.00    1600.00  3.256298671860780E-07  4.264913871172166E-09 1864124
  81    1600.00    1620.00  2.950441529634577E-07  3.853197089669536E-09 1796132
  82    1620.00    1640.00  2.760139863141298E-07  3.665926017717738E-09 1730995
  83    1640.00    1660.00  2.578539538066530E-07  3.791129438421159E-09 1668445
  84    1660.00    1680.00  2.435282997390459E-07  3.440391145272548E-09 1608894
  85    1680.00    1700.00  2.250335924266175E-07  3.140351280928400E-09 1554536
  86    1700.00    1720.00  2.148065051719743E-07  3.282804944675056E-09 1498689
  87    1720.00    1740.00  1.992019907966048E-07  3.029001864402073E-09 1444475
  88    1740.00    1760.00  1.798551891207203E-07  2.617499298060909E-09 1395395
  89    1760.00    1780.00  1.721809146941272E-07  2.617384916417693E-09 1346874
  90    1780.00    1800.00  1.587061697902548E-07  2.500735874093884E-09 1301023
  91    1800.00    1820.00  1.494649003489525E-07  2.501842538219268E-09 1256325
  92    1820.00    1840.00  1.362725527468613E-07  2.217888310275762E-09 1216516
  93    1840.00    1860.00  1.286554520309997E-07  2.198893860175179E-09 1173966
  94    1860.00    1880.00  1.225405863679892E-07  2.044452421258695E-09 1135032
  95    1880.00    1900.00  1.115513206970815E-07  1.791553829145363E-09 1098360
  96    1900.00    1920.00  1.068583538190256E-07  1.890119203228066E-09 1061993
  97    1920.00    1940.00  9.868044255427096E-08  1.729031453093694E-09 1028977
  98    1940.00    1960.00  9.293699980645883E-08  1.727890646624699E-09 995808
  99    1960.00    1980.00  8.524204912598053E-08  1.529388198660049E-09 963980
 100    1980.00    2000.00  8.170082654811567E-08  1.543442916100267E-09 934981
 101    2000.00    2020.00  7.930479996145196E-08  1.692199036249706E-09 902506
 102    2020.00    2040.00  7.069137423323919E-08  1.336631374237702E-09 873841
 103    2040.00    2060.00  6.898063085090101E-08  1.533823452481299E-09 847554
 104    2060.00    2080.00  6.338274525960168E-08  1.287599259195132E-09 821535
 105    2080.00    2100.00  5.888183260715995E-08  1.156408614111319E-09 798460
 106    2100.00    2120.00  5.591403545901919E-08  1.246016851430027E-09 773200
 107    2120.00    2140.00  5.259859502487622E-08  1.122027079221756E-09 748003
 108    2140.00    2160.00  5.072586544542211E-08  1.268617345730274E-09 726022
 109    2160.00    2180.00  4.714848707103615E-08  1.087308487374277E-09 704333
 110    2180.00    2200.00  4.231036339510071E-08  9.666680984183340E-10 683232
 111    2200.00    2220.00  4.019314332261492E-08  9.798416797404492E-10 664348
 112    2220.00    2240.00  3.675999614460812E-08  7.623012959891964E-10 643502
 113    2240.00    2260.00  3.579090868810303E-08  9.557780297356456E-10 623957
 114    2260.00    2280.00  3.324904568736458E-08  8.540663807352863E-10 606388
 115    2280.00    2300.00  3.220751732032802E-08  8.467651039762031E-10 588952
 116    2300.00    2320.00  2.964429452835113E-08  7.525358072243040E-10 571680
 117    2320.00    2340.00  2.803578360832634E-08  6.999690718030415E-10 555067
 118    2340.00    2360.00  2.626151941264750E-08  6.577987497594163E-10 539155
 119    2360.00    2380.00  2.453839113964965E-08  6.080572598776139E-10 525010
 120    2380.00    2400.00  2.375158243282237E-08  6.583060861536400E-10 508806
 121    2400.00    2420.00  2.216833519427805E-08  5.633137865036491E-10 496600
 122    2420.00    2440.00  2.045965680098211E-08  5.352924764672686E-10 483429
 123    2440.00    2460.00  1.937325604480028E-08  5.501437387919723E-10 469449
 124    2460.00    2480.00  1.847951747627109E-08  4.984961057339755E-10 456702
 125    2480.00    2500.00  1.708388889814971E-08  4.965630964896540E-10 442954
 126    2500.00    2520.00  1.577118354518487E-08  4.033685175518968E-10 432778
 127    2520.00    2540.00  1.546544847661722E-08  4.575592908200972E-10 420670
 128    2540.00    2560.00  1.507105653449714E-08  4.894244586148425E-10 408644
 129    2560.00    2580.00  1.392353653303309E-08  4.474348539279602E-10 397818
 130    2580.00    2600.00  1.271327001831575E-08  3.985279027959747E-10 387272
 131    2600.00    2620.00  1.270645221526708E-08  4.069655549795626E-10 376352
 132    2620.00    2640.00  1.096286054269557E-08  3.467870284130451E-10 367075
 133    2640.00    2660.00  1.150759087490267E-08  4.167014788463927E-10 357717
 134    2660.00    2680.00  1.028081288449358E-08  3.290514110042573E-10 348635
 135    2680.00    2700.00  9.196828291030481E-09  3.155415544234821E-10 339581
 136    2700.00    2720.00  9.058157223924035E-09  3.114045839739139E-10 331206
 137    2720.00    2740.00  8.789990017053736E-09  3.187331192771675E-10 322523
 138    2740.00    2760.00  8.377897003434678E-09  3.086979328811126E-10 314305
 139    2760.00    2780.00  7.810262832955032E-09  2.651109321940003E-10 306066
 140    2780.00    2800.00  7.446644026940999E-09  2.719408020431493E-10 297939
 141    2800.00    2820.00  7.366048581506335E-09  2.951169875862576E-10 291610
 142    2820.00    2840.00  6.565039435416337E-09  2.677575147365363E-10 284293
