# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.790074066419280E+00  1.271849817191030E-03 392218378	   1      -1.00      -0.90  1.637856233143217E+00  1.150687476337020E-03 391299370	   1      -1.00      -0.90  1.973110176601901E+00  1.422255568220181E-03 391116385
   2      -0.90      -0.80  4.029304792779032E-01  3.801339650985554E-04 128848066	   2      -0.90      -0.80  3.752256633891452E-01  3.510143969987465E-04 128557307	   2      -0.90      -0.80  4.348706848084508E-01  4.151037667636891E-04 128492629
   3      -0.80      -0.70  2.069394880329021E-01  2.475517920437670E-04 78720409	   3      -0.80      -0.70  1.931620618745167E-01  2.293619555757440E-04 78547719	   3      -0.80      -0.70  2.226889556964067E-01  2.691649670449337E-04 78507981
   4      -0.70      -0.60  1.286762855668069E-01  1.946168622964307E-04 55287914	   4      -0.70      -0.60  1.201978765492952E-01  1.801266757795902E-04 55168554	   4      -0.70      -0.60  1.383383062468038E-01  2.118494746871766E-04 55140453
   5      -0.60      -0.50  8.724062822192245E-02  1.473939293059822E-04 41519430	   5      -0.60      -0.50  8.151806882080188E-02  1.369237809179822E-04 41430782	   5      -0.60      -0.50  9.374022165122126E-02  1.597706712774318E-04 41409671
   6      -0.50      -0.40  6.242802374405693E-02  1.240877873426605E-04 32010382	   6      -0.50      -0.40  5.832729619803137E-02  1.152006282028273E-04 31942514	   6      -0.50      -0.40  6.707678282203258E-02  1.345526742157314E-04 31926113
   7      -0.40      -0.30  4.619449741229874E-02  9.609060599135177E-05 25295963	   7      -0.40      -0.30  4.315985285742183E-02  8.910437809918943E-05 25242318	   7      -0.40      -0.30  4.963052049628913E-02  1.043562917548307E-04 25229153
   8      -0.30      -0.20  3.552674259008782E-02  8.518639334845677E-05 21039240	   8      -0.30      -0.20  3.318039987692536E-02  7.887396417239371E-05 20994880	   8      -0.30      -0.20  3.818340419691418E-02  9.266206134475152E-05 20983545
   9      -0.20      -0.10  2.809473144763283E-02  7.057691035847369E-05 18006055	   9      -0.20      -0.10  2.622817161839897E-02  6.533760910724431E-05 17968165	   9      -0.20      -0.10  3.020527456796893E-02  7.681297892541146E-05 17958690
  10      -0.10       0.00  2.252875097129064E-02  6.017268340366532E-05 15705675	  10      -0.10       0.00  2.101927301785917E-02  5.578206401067047E-05 15673013	  10      -0.10       0.00  2.423765772568140E-02  6.536045926639523E-05 15664616
  11       0.00       0.10  1.824503383928680E-02  5.454836824826868E-05 13897741	  11       0.00       0.10  1.700899288293587E-02  5.043267930726165E-05 13868545	  11       0.00       0.10  1.964466204656423E-02  5.944202749212283E-05 13861032
  12       0.10       0.20  1.474925412104726E-02  4.861842602174905E-05 12436960	  12       0.10       0.20  1.373887497255473E-02  4.493776286895564E-05 12411441	  12       0.10       0.20  1.589474028570557E-02  5.297113990423001E-05 12404559
  13       0.20       0.30  1.184984480705767E-02  4.021115700380388E-05 11223125	  13       0.20       0.30  1.102570748302653E-02  3.715203657886177E-05 11200243	  13       0.20       0.30  1.278631832395496E-02  4.383753109713104E-05 11194121
  14       0.30       0.40  9.499224079984504E-03  3.856346456915860E-05 10176225	  14       0.30       0.40  8.822444395400026E-03  3.547420725528748E-05 10155693	  14       0.30       0.40  1.026918603304834E-02  4.223150599582827E-05 10149912
  15       0.40       0.50  7.334564391972726E-03  2.674343546740199E-05 9252437	  15       0.40       0.50  6.800358161061876E-03  2.466233129205450E-05 9233847	  15       0.40       0.50  7.944986397890761E-03  2.921386523657469E-05 9228492
  16       0.50       0.60  5.458999486763366E-03  2.346780353273309E-05 8393257	  16       0.50       0.60  5.046248177251769E-03  2.156469654237806E-05 8376251	  16       0.50       0.60  5.931988107166387E-03  2.573285565047119E-05 8371389
  17       0.60       0.70  3.781992833183838E-03  1.644889243986747E-05 7524709	  17       0.60       0.70  3.483090287112032E-03  1.504147562880599E-05 7509959	  17       0.60       0.70  4.126482186401680E-03  1.813617589123637E-05 7505326
  18       0.70       0.80  2.216727898036416E-03  1.064118786755777E-05 6501062	  18       0.70       0.80  2.029903647249264E-03  9.696191984668758E-06 6488547	  18       0.70       0.80  2.434518685694618E-03  1.177944278538779E-05 6484464
  19       0.80       0.90  8.604482329489150E-04  5.557273911427214E-06 4937639	  19       0.80       0.90  7.798372903874569E-04  5.037716591358390E-06 4928307	  19       0.80       0.90  9.559376224460855E-04  6.186207799111447E-06 4924937
  20       0.90       1.00  7.479655751413888E-05  8.249129109815882E-07 1503333	  20       0.90       1.00  6.641289065189695E-05  7.312202405626722E-07 1500545	  20       0.90       1.00  8.503014969489156E-05  9.419938606804178E-07 1499532
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807611777E-02  4.4026390302219467E-05 9526000
#=====================================================================================	#=====================================================================================	#=====================================================================================
# Number of generated events: 341028053
