# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  4.735208871204995E-10  3.861870801704096E-12 111930	   7     600.00     700.00  4.737408046205691E-10  3.885554830852238E-12 111930	   7     600.00     700.00  4.678184892913563E-10  3.790034597940113E-12 111930
   8     700.00     800.00  5.079622445907048E-08  9.411326148351101E-11 1555218	   8     700.00     800.00  5.048063442754158E-08  9.378379324711690E-11 1555218	   8     700.00     800.00  5.056412432119353E-08  9.338928501808521E-11 1555218
   9     800.00     900.00  1.678835364853751E-07  2.486011892233394E-10 2625790	   9     800.00     900.00  1.656156331852092E-07  2.460351291580199E-10 2625790	   9     800.00     900.00  1.685073610171486E-07  2.485871718135234E-10 2625790
  10     900.00    1000.00  2.526396595613347E-07  3.487061550896221E-10 3123857	  10     900.00    1000.00  2.473012151686649E-07  3.428017391115816E-10 3123857	  10     900.00    1000.00  2.558055561097216E-07  3.512939516252477E-10 3123857
  11    1000.00    1100.00  2.903405133826414E-07  4.062813954726456E-10 3316273	  11    1000.00    1100.00  2.820485449760884E-07  3.964540300330144E-10 3316273	  11    1000.00    1100.00  2.965216362110541E-07  4.127200110836001E-10 3316273
  12    1100.00    1200.00  2.957921326329418E-07  4.290323448572281E-10 3335368	  12    1100.00    1200.00  2.852149750994806E-07  4.154676725468499E-10 3335368	  12    1100.00    1200.00  3.046478934788466E-07  4.396108306704394E-10 3335368
  13    1200.00    1300.00  2.814149021059759E-07  4.310855846625584E-10 3270564	  13    1200.00    1300.00  2.693940884808554E-07  4.147490914834158E-10 3270564	  13    1200.00    1300.00  2.922376185967925E-07  4.449698329050931E-10 3270564
  14    1300.00    1400.00  2.565769514907669E-07  4.029439668818335E-10 3154829	  14    1300.00    1400.00  2.438739458956159E-07  3.849821622802969E-10 3154829	  14    1300.00    1400.00  2.686184719225899E-07  4.192312942076361E-10 3154829
  15    1400.00    1500.00  2.280226389898674E-07  3.772919220252822E-10 3023453	  15    1400.00    1500.00  2.152103348872365E-07  3.579009833403540E-10 3023453	  15    1400.00    1500.00  2.406581315328515E-07  3.957624905100324E-10 3023453
  16    1500.00    1600.00  1.997009969602703E-07  3.536394291742667E-10 2878944	  16    1500.00    1600.00  1.871763613260003E-07  3.332155601414326E-10 2878944	  16    1500.00    1600.00  2.124523140967824E-07  3.738205659220035E-10 2878944
  17    1600.00    1700.00  1.719080778394711E-07  3.154503370689799E-10 2733598	  17    1600.00    1700.00  1.600170157337655E-07  2.949748449425406E-10 2733598	  17    1600.00    1700.00  1.843445550211452E-07  3.363772914994579E-10 2733598
