# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.083754956440458E-02  1.021565261638572E-04 15788488	   1      -2.50      -2.25  1.905946967553493E-02  9.075761120077891E-05 15781553	   1      -2.50      -2.25  2.296540240780898E-02  1.164892107842628E-04 15775329
   2      -2.25      -2.00  2.872126814882632E-02  9.176372392174748E-05 21694173	   2      -2.25      -2.00  2.631504414165272E-02  8.267001131068179E-05 21683662	   2      -2.25      -2.00  3.159311874595883E-02  1.031515516270361E-04 21674997
   3      -2.00      -1.75  3.772303286469024E-02  1.117424637038579E-04 28355908	   3      -2.00      -1.75  3.460569559310090E-02  1.007081265605824E-04 28340567	   3      -2.00      -1.75  4.143841078185519E-02  1.254761046736034E-04 28328672
   4      -1.75      -1.50  4.770081492437901E-02  1.163149748722137E-04 35006438	   4      -1.75      -1.50  4.383571746476743E-02  1.057777813591470E-04 34985318	   4      -1.75      -1.50  5.229535757623720E-02  1.292969501293652E-04 34970455
   5      -1.50      -1.25  5.757357629701625E-02  1.398693883526017E-04 41297390	   5      -1.50      -1.25  5.298324233044785E-02  1.273387159518357E-04 41269566	   5      -1.50      -1.25  6.301705175336760E-02  1.552490608582175E-04 41251751
   6      -1.25      -1.00  6.623251746563449E-02  1.448773660389611E-04 47056263	   6      -1.25      -1.00  6.105145983356081E-02  1.324765155320788E-04 47020752	   6      -1.25      -1.00  7.236068432461067E-02  1.599986518181515E-04 46999907
   7      -1.00      -0.75  7.330035457692889E-02  1.452459229830995E-04 52104096	   7      -1.00      -0.75  6.763273303949774E-02  1.313539147102477E-04 52060266	   7      -1.00      -0.75  7.999207614470485E-02  1.625270460417088E-04 52036309
   8      -0.75      -0.50  7.875511960820997E-02  1.391866574968094E-04 56359802	   8      -0.75      -0.50  7.273610846094873E-02  1.269533559581574E-04 56307466	   8      -0.75      -0.50  8.585216821145951E-02  1.541424829594693E-04 56281149
   9      -0.50      -0.25  8.201607942347806E-02  1.346461066271244E-04 59692664	   9      -0.50      -0.25  7.579910605508305E-02  1.229370528440890E-04 59632386	   9      -0.50      -0.25  8.933843737227631E-02  1.489639578120462E-04 59603851
  10      -0.25       0.00  8.403195167391823E-02  1.498059054519045E-04 62014480	  10      -0.25       0.00  7.768782664804461E-02  1.365612662344184E-04 61946568	  10      -0.25       0.00  9.150118378171967E-02  1.660045414828401E-04 61916318
  11       0.00       0.25  8.384774899552121E-02  1.351014081786556E-04 63207915	  11       0.00       0.25  7.751831637480604E-02  1.236317646779636E-04 63133805	  11       0.00       0.25  9.129774239131072E-02  1.491298892334885E-04 63102243
  12       0.25       0.50  8.237203156476855E-02  1.394407220697341E-04 63129177	  12       0.25       0.50  7.611877516554393E-02  1.264038434406558E-04 63049920	  12       0.25       0.50  8.973764806558851E-02  1.557035884106432E-04 63017756
  13       0.50       0.75  7.882015361217345E-02  1.413012006058184E-04 61725258	  13       0.50       0.75  7.279089944747774E-02  1.281160405615333E-04 61644025	  13       0.50       0.75  8.592886232648383E-02  1.576783138775914E-04 61611403
  14       0.75       1.00  7.343062584337329E-02  1.352068151965237E-04 58918533	  14       0.75       1.00  6.774995663738741E-02  1.231669853372627E-04 58837730	  14       0.75       1.00  8.014111612277901E-02  1.499734830694665E-04 58806638
  15       1.00       1.25  6.591204380802232E-02  1.304780348600739E-04 54675942	  15       1.00       1.25  6.074232572430636E-02  1.183919480694113E-04 54597627	  15       1.00       1.25  7.202904390676897E-02  1.453596613586779E-04 54567720
  16       1.25       1.50  5.745195843171013E-02  1.147228816760361E-04 49061402	  16       1.25       1.50  5.286827601111708E-02  1.043065872803001E-04 48988799	  16       1.25       1.50  6.289105444443653E-02  1.276968159620831E-04 48961262
  17       1.50       1.75  4.768105772433237E-02  1.192924189738484E-04 42235167	  17       1.50       1.75  4.380872403768423E-02  1.077421997382935E-04 42171610	  17       1.50       1.75  5.228691026676884E-02  1.337082649144880E-04 42147496
  18       1.75       2.00  3.801614043305191E-02  1.023099030492754E-04 34606935	  18       1.75       2.00  3.487134323343519E-02  9.285372573720341E-05 34553278	  18       1.75       2.00  4.176530141556507E-02  1.139983724492087E-04 34533363
  19       2.00       2.25  2.868079906787621E-02  8.642258899810834E-05 26770427	  19       2.00       2.25  2.628280161646611E-02  7.803964618695200E-05 26727887	  19       2.00       2.25  3.154272077457768E-02  9.687007987472160E-05 26712575
  20       2.25       2.50  2.077763274442928E-02  7.101398593048873E-05 19797542	  20       2.25       2.50  1.901288552245999E-02  6.412036208650919E-05 19765215	  20       2.25       2.50  2.288804304661753E-02  7.963904367852143E-05 19753806
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807612214E-02  4.4043483471645637E-05 9526000
#=====================================================================================	#=====================================================================================	#=====================================================================================
# Number of generated events: 341028053
