# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1219030012
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.697841242283975E-04  3.096130130634193E-06 758661	   1      -5.00      -4.75  1.517715139861583E-04  2.767270231587322E-06 758661	   1      -5.00      -4.75  1.921369436505934E-04  3.510826545503165E-06 758661
   2      -4.75      -4.50  7.054970694184810E-04  9.972522290686059E-06 2821342	   2      -4.75      -4.50  6.319121370123860E-04  8.980693453272554E-06 2821342	   2      -4.75      -4.50  7.966082561754569E-04  1.120915059957135E-05 2821342
   3      -4.50      -4.25  1.547801200068430E-03  1.186872953582189E-05 5877805	   3      -4.50      -4.25  1.391375159783901E-03  1.061336042990060E-05 5877805	   3      -4.50      -4.25  1.740454674353714E-03  1.343972468063153E-05 5877805
   4      -4.25      -4.00  2.840054730943376E-03  1.615819919220572E-05 10083960	   4      -4.25      -4.00  2.561608807491684E-03  1.454706659931539E-05 10083960	   4      -4.25      -4.00  3.181378811101285E-03  1.816353278585681E-05 10083960
   5      -4.00      -3.75  4.554379423071394E-03  1.901513384230292E-05 15535431	   5      -4.00      -3.75  4.117020081751154E-03  1.708222979096387E-05 15535431	   5      -4.00      -3.75  5.088681071904063E-03  2.143063126620127E-05 15535431
   6      -3.75      -3.50  7.000338660833491E-03  2.471969079438303E-05 22253743	   6      -3.75      -3.50  6.346849332730997E-03  2.226625208919577E-05 22253743	   6      -3.75      -3.50  7.795112785977693E-03  2.777521174513676E-05 22253743
   7      -3.50      -3.25  1.008806808088694E-02  3.190367091732363E-05 30242133	   7      -3.50      -3.25  9.171527856665234E-03  2.859413578920997E-05 30242133	   7      -3.50      -3.25  1.119792852717252E-02  3.608432173976502E-05 30242133
   8      -3.25      -3.00  1.384850976234943E-02  3.780360121364909E-05 39449159	   8      -3.25      -3.00  1.262350834984472E-02  3.375358587757462E-05 39449159	   8      -3.25      -3.00  1.532556284522951E-02  4.303049088958512E-05 39449159
   9      -3.00      -2.75  1.811130683843452E-02  3.741686960645828E-05 49801368	   9      -3.00      -2.75  1.655585201414372E-02  3.385681925983613E-05 49801368	   9      -3.00      -2.75  1.997770981264819E-02  4.183195723874710E-05 49801368
  10      -2.75      -2.50  2.323732425348818E-02  4.365454835662503E-05 61232456	  10      -2.75      -2.50  2.128857932968391E-02  3.949101957341149E-05 61232456	  10      -2.75      -2.50  2.556668007816714E-02  4.881648541875722E-05 61232456
