# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.303793028324041E-07  6.908594885774694E-09 30977	   1      -5.00      -4.75  2.090267270806688E-07  6.399709840834625E-09 30977	   1      -5.00      -4.75  2.550852505764313E-07  7.466626144975917E-09 30977
   2      -4.75      -4.50  9.598112760664084E-07  1.496656897127192E-08 116437	   2      -4.75      -4.50  8.752317178687245E-07  1.390152481115008E-08 116437	   2      -4.75      -4.50  1.056584422421735E-06  1.612388556187423E-08 116437
   3      -4.50      -4.25  2.267662948437228E-06  2.239812527482963E-08 247558	   3      -4.50      -4.25  2.073641365914318E-06  2.082649514699313E-08 247558	   3      -4.50      -4.25  2.487984746318977E-06  2.410313393087431E-08 247558
   4      -4.25      -4.00  4.300315755610484E-06  3.292022112078898E-08 431986	   4      -4.25      -4.00  3.948053324783617E-06  3.072887046514160E-08 431986	   4      -4.25      -4.00  4.696355696007919E-06  3.526563450269383E-08 431986
   5      -4.00      -3.75  7.415734788205117E-06  4.469352176959132E-08 679849	   5      -4.00      -3.75  6.833238161705935E-06  4.181798131966143E-08 679849	   5      -4.00      -3.75  8.064084581663675E-06  4.774094918283059E-08 679849
   6      -3.75      -3.50  1.188365320112395E-05  5.834898600270670E-08 990236	   6      -3.75      -3.50  1.098837770637051E-05  5.474123236167561E-08 990236	   6      -3.75      -3.50  1.286991938129921E-05  6.213041970023934E-08 990236
   7      -3.50      -3.25  1.778598798751794E-05  7.587843318141389E-08 1364720	   7      -3.50      -3.25  1.649697404223464E-05  7.129374085578989E-08 1364720	   7      -3.50      -3.25  1.919281132365544E-05  8.067789084983544E-08 1364720
   8      -3.25      -3.00  2.530226735224802E-05  9.236608091523667E-08 1806107	   8      -3.25      -3.00  2.354261868727229E-05  8.653119108459401E-08 1806107	   8      -3.25      -3.00  2.720360734901731E-05  9.855641264546737E-08 1806107
   9      -3.00      -2.75  3.457976079392782E-05  1.017327895307709E-07 2303172	   9      -3.00      -2.75  3.226421430076883E-05  9.623642645021670E-08 2303172	   9      -3.00      -2.75  3.705849997242720E-05  1.072890492393114E-07 2303172
  10      -2.75      -2.50  4.533419205606556E-05  1.230594433697015E-07 2840826	  10      -2.75      -2.50  4.239947771230650E-05  1.161787333054258E-07 2840826	  10      -2.75      -2.50  4.844890044907112E-05  1.300801926503508E-07 2840826
  11      -2.50      -2.25  5.738320170368319E-05  1.293174015760073E-07 3412823	  11      -2.50      -2.25  5.379268045724870E-05  1.230504559567963E-07 3412823	  11      -2.50      -2.25  6.116159666462764E-05  1.354632111872183E-07 3412823
  12      -2.25      -2.00  7.002343555663467E-05  1.364075080323364E-07 3995872	  12      -2.25      -2.00  6.576342624048896E-05  1.296496016159632E-07 3995872	  12      -2.25      -2.00  7.447417698902514E-05  1.430626625968211E-07 3995872
  13      -2.00      -1.75  8.227312647432742E-05  1.510091257533104E-07 4557874	  13      -2.00      -1.75  7.739799732395323E-05  1.439365551628224E-07 4557874	  13      -2.00      -1.75  8.733223093595169E-05  1.578493884714690E-07 4557874
  14      -1.75      -1.50  9.273703874769637E-05  1.495891493005031E-07 5075922	  14      -1.75      -1.50  8.735865580087804E-05  1.425176571486160E-07 5075922	  14      -1.75      -1.50  9.828900674320480E-05  1.564664334815830E-07 5075922
  15      -1.50      -1.25  1.005721845214340E-04  1.515023803480690E-07 5511893	  15      -1.50      -1.25  9.484326002226807E-05  1.443483991233010E-07 5511893	  15      -1.50      -1.25  1.064595943425183E-04  1.584600315713200E-07 5511893
  16      -1.25      -1.00  1.038395180542700E-04  1.464758083052962E-07 5835371	  16      -1.25      -1.00  9.801645450068780E-05  1.397537022529444E-07 5835371	  16      -1.25      -1.00  1.098026588348505E-04  1.529588322615174E-07 5835371
  17      -1.00      -0.75  1.025598862516185E-04  1.377635136304497E-07 6015597	  17      -1.00      -0.75  9.684687762894744E-05  1.315091921134363E-07 6015597	  17      -1.00      -0.75  1.084022934495506E-04  1.437771014031867E-07 6015597
  18      -0.75      -0.50  9.630930322790903E-05  1.257054867033792E-07 6034952	  18      -0.75      -0.50  9.099358676890563E-05  1.201386870286853E-07 6034952	  18      -0.75      -0.50  1.017357521918041E-04  1.310287068349060E-07 6034952
  19      -0.50      -0.25  8.516005246510037E-05  1.095964717716889E-07 5893319	  19      -0.50      -0.25  8.046852844329957E-05  1.045554630916682E-07 5893319	  19      -0.50      -0.25  8.994947579502658E-05  1.144695478853681E-07 5893319
  20      -0.25       0.00  7.112547380145767E-05  9.148556836733328E-08 5596574	  20      -0.25       0.00  6.722572993649110E-05  8.737673604274759E-08 5596574	  20      -0.25       0.00  7.510424592131587E-05  9.543175202918885E-08 5596574
  21       0.00       0.25  5.657945951596319E-05  7.610313913924994E-08 4994299	  21       0.00       0.25  5.349158755652080E-05  7.269606322008957E-08 4994299	  21       0.00       0.25  5.972628610285709E-05  7.937410446017572E-08 4994299
  22       0.25       0.50  4.319951060444623E-05  6.221759141326013E-08 4139552	  22       0.25       0.50  4.084213353938784E-05  5.940260478976399E-08 4139552	  22       0.25       0.50  4.560176031686674E-05  6.493321632060716E-08 4139552
  23       0.50       0.75  3.207625368781088E-05  5.134049846993345E-08 3309528	  23       0.50       0.75  3.031939931452872E-05  4.898589610513348E-08 3309528	  23       0.50       0.75  3.386798090338276E-05  5.361983066557816E-08 3309528
  24       0.75       1.00  2.364838932524401E-05  4.522204184478343E-08 2556340	  24       0.75       1.00  2.234802319553944E-05  4.312368627457106E-08 2556340	  24       0.75       1.00  2.497532809061768E-05  4.725950727117195E-08 2556340
  25       1.00       1.25  1.734998829175472E-05  4.138654719291113E-08 1915090	  25       1.00       1.25  1.638641181829200E-05  3.937558349508181E-08 1915090	  25       1.00       1.25  1.833540048498054E-05  4.336415620004109E-08 1915090
  26       1.25       1.50  1.285041962024138E-05  4.017647070458669E-08 1395556	  26       1.25       1.50  1.212872323413876E-05  3.817549723262457E-08 1395556	  26       1.25       1.50  1.359052130813617E-05  4.216302968885106E-08 1395556
  27       1.50       1.75  9.641339357252151E-06  3.991187298243939E-08 996630	  27       1.50       1.75  9.091841651901771E-06  3.793496614124739E-08 996630	  27       1.50       1.75  1.020685796354579E-05  4.186065671406575E-08 996630
  28       1.75       2.00  7.394621847809622E-06  4.025408270343681E-08 705646	  28       1.75       2.00  6.961509697476478E-06  3.819247685213775E-08 705646	  28       1.75       2.00  7.843620417897935E-06  4.230171188274314E-08 705646
  29       2.00       2.25  5.859705368307182E-06  4.076423512131060E-08 501936	  29       2.00       2.25  5.509179698633856E-06  3.869468488923474E-08 501936	  29       2.00       2.25  6.225417340510394E-06  4.281647155447896E-08 501936
  30       2.25       2.50  4.706831974572348E-06  4.193486757311077E-08 359256	  30       2.25       2.50  4.416144852035135E-06  3.980868406243148E-08 359256	  30       2.25       2.50  5.012791333638564E-06  4.404571247578969E-08 359256
  31       2.50       2.75  3.722664159737073E-06  4.013234004565021E-08 259854	  31       2.50       2.75  3.481292339738915E-06  3.795707878501622E-08 259854	  31       2.50       2.75  3.979873866410208E-06  4.233183031543935E-08 259854
  32       2.75       3.00  2.950473668488056E-06  3.832420764612799E-08 189498	  32       2.75       3.00  2.752804330886102E-06  3.617597122943513E-08 189498	  32       2.75       3.00  3.162929167240984E-06  4.051661736855269E-08 189498
  33       3.00       3.25  2.273829155788705E-06  3.898511743707631E-08 138829	  33       3.00       3.25  2.116800414318115E-06  3.685105701525901E-08 138829	  33       3.00       3.25  2.443945990387729E-06  4.114521128269670E-08 138829
  34       3.25       3.50  1.634878143841163E-06  3.066142579886627E-08 100032	  34       3.25       3.50  1.516231886345621E-06  2.887185167317837E-08 100032	  34       3.25       3.50  1.765175254157764E-06  3.251504323726823E-08 100032
  35       3.50       3.75  1.164192447020570E-06  2.598127552724199E-08 70419	  35       3.50       3.75  1.076070785450608E-06  2.434709527432241E-08 70419	  35       3.50       3.75  1.261929631417522E-06  2.771184966465243E-08 70419
  36       3.75       4.00  7.749761201033585E-07  2.021412505078053E-08 47283	  36       3.75       4.00  7.138406782744547E-07  1.892158827399785E-08 47283	  36       3.75       4.00  8.435539370986844E-07  2.158669372480646E-08 47283
  37       4.00       4.25  4.486936872818754E-07  1.612808688574250E-08 30024	  37       4.00       4.25  4.120570550544320E-07  1.514897045089713E-08 30024	  37       4.00       4.25  4.901545529289067E-07  1.715705857033653E-08 30024
  38       4.25       4.50  2.317059040120501E-07  9.352293230102250E-09 17070	  38       4.25       4.50  2.118520525776013E-07  8.688365046184273E-09 17070	  38       4.25       4.50  2.544257467077195E-07  1.007495637284924E-08 17070
  39       4.50       4.75  1.241012903200218E-07  8.158583413837997E-09 8032	  39       4.50       4.75  1.132624262709404E-07  7.603161605414364E-09 8032	  39       4.50       4.75  1.365491245712213E-07  8.756976367673399E-09 8032
  40       4.75       5.00  3.394298694422476E-08  5.020165248583850E-09 2061	  40       4.75       5.00  3.069941483117710E-08  4.586378026419892E-09 2061	  40       4.75       5.00  3.774098254495663E-08  5.508315695841029E-09 2061
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       3.0967724085577609E-04  1.2710439094747788E-07 84479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
