# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  1.117302953157746E-10  4.590501722505750E-12 6759	   3     130.00     190.00  1.083919258963167E-10  4.455582606726600E-12 6759	   3     130.00     190.00  1.143460017283085E-10  4.696506338686355E-12 6759
   4     190.00     250.00  1.847259211500972E-08  8.226748512749926E-11 497710	   4     190.00     250.00  1.786070650359101E-08  7.977643879689927E-11 497710	   4     190.00     250.00  1.898035196833887E-08  8.426583305286416E-11 497710
   5     250.00     310.00  1.853036113380876E-07  3.352157825607341E-10 2812899	   5     250.00     310.00  1.784947731795581E-07  3.237804532141803E-10 2812899	   5     250.00     310.00  1.912557777817378E-07  3.449692963679060E-10 2812899
   6     310.00     370.00  4.681656148330445E-07  6.305454251238534E-10 5189837	   6     310.00     370.00  4.494750113027904E-07  6.079056358525967E-10 5189837	   6     310.00     370.00  4.851166520285329E-07  6.503204024071231E-10 5189837
   7     370.00     430.00  6.762375702127818E-07  8.101567029959061E-10 6445524	   7     370.00     430.00  6.471287256426017E-07  7.785572261566463E-10 6445524	   7     370.00     430.00  7.034281571459322E-07  8.386630438433318E-10 6445524
   8     430.00     490.00  7.438625276267816E-07  8.765244072114224E-10 6648039	   8     430.00     490.00  7.092573978799069E-07  8.396705458457275E-10 6648039	   8     430.00     490.00  7.770743605555660E-07  9.107769803064314E-10 6648039
   9     490.00     550.00  6.839801632413223E-07  8.684817461508999E-10 6194041	   9     490.00     550.00  6.487447677807399E-07  8.269959459124669E-10 6194041	   9     490.00     550.00  7.188677266863847E-07  9.088826685417829E-10 6194041
  10     550.00     610.00  5.673394374649799E-07  7.402774357073435E-10 5554450	  10     550.00     610.00  5.348432104332588E-07  7.025752974897212E-10 5554450	  10     550.00     610.00  6.004890547561908E-07  7.775961866942257E-10 5554450
  11     610.00     670.00  4.468136527879320E-07  6.314522937574028E-10 4913634	  11     610.00     670.00  4.186131390594080E-07  5.966294346479318E-10 4913634	  11     610.00     670.00  4.763295647408756E-07  6.665845908322695E-10 4913634
  12     670.00     730.00  3.412757485117241E-07  5.238577776255086E-10 4330084	  12     670.00     730.00  3.177532984328949E-07  4.921171476490704E-10 4330084	  12     670.00     730.00  3.664508179282950E-07  5.567243752540292E-10 4330084
  13     730.00     790.00  2.578668247471865E-07  4.501008029435061E-10 3809075	  13     730.00     790.00  2.386483189353617E-07  4.206812557413768E-10 3809075	  13     730.00     790.00  2.788371039666692E-07  4.810880929983758E-10 3809075
  14     790.00     850.00  1.919769054687961E-07  3.547920422775017E-10 3362893	  14     790.00     850.00  1.766095448071168E-07  3.299701664034737E-10 3362893	  14     790.00     850.00  2.090397570311218E-07  3.814066479707688E-10 3362893
  15     850.00     910.00  1.424351958156985E-07  2.885503979198778E-10 2975124	  15     850.00     910.00  1.302749015065365E-07  2.662513229834243E-10 2975124	  15     850.00     910.00  1.561503070565549E-07  3.131189313745713E-10 2975124
  16     910.00     970.00  1.065705588400203E-07  2.331177693991449E-10 2644453	  16     910.00     970.00  9.692873145976623E-08  2.145132544227424E-10 2644453	  16     910.00     970.00  1.175980314781077E-07  2.537128494201103E-10 2644453
  17     970.00    1030.00  7.908071877956098E-08  1.897361184757344E-10 2357972	  17     970.00    1030.00  7.152956579258362E-08  1.735916242219657E-10 2357972	  17     970.00    1030.00  8.782995802587295E-08  2.078644099415613E-10 2357972
  18    1030.00    1090.00  5.921063470101772E-08  1.519488936902322E-10 2113155	  18    1030.00    1090.00  5.328834117509140E-08  1.384481860083885E-10 2113155	  18    1030.00    1090.00  6.615214313542541E-08  1.672635948755113E-10 2113155
  19    1090.00    1150.00  4.442251580570200E-08  1.222379273440157E-10 1903372	  19    1090.00    1150.00  3.977477806269026E-08  1.108223761655772E-10 1903372	  19    1090.00    1150.00  4.993186442610847E-08  1.353458764458128E-10 1903372
  20    1150.00    1210.00  3.353509897775130E-08  9.942137456784779E-11 1715811	  20    1150.00    1210.00  2.988000849782073E-08  8.977352321663979E-11 1715811	  20    1150.00    1210.00  3.791244259813716E-08  1.105903662150090E-10 1715811
  21    1210.00    1270.00  2.550399939614188E-08  8.247691296071128E-11 1553317	  21    1210.00    1270.00  2.261730824844058E-08  7.406492692543637E-11 1553317	  21    1210.00    1270.00  2.899503396521947E-08  9.233964578141516E-11 1553317
  22    1270.00    1330.00  1.931803185400641E-08  6.507419933085405E-11 1410849	  22    1270.00    1330.00  1.705369193664999E-08  5.816054155754503E-11 1410849	  22    1270.00    1330.00  2.208170423363104E-08  7.325657308057727E-11 1410849
  23    1330.00    1390.00  1.488564671966360E-08  5.392925397336318E-11 1285376	  23    1330.00    1390.00  1.308542089006044E-08  4.804552986085579E-11 1285376	  23    1330.00    1390.00  1.710056331764635E-08  6.094136615091741E-11 1285376
  24    1390.00    1450.00  1.150988170118708E-08  4.380364949403142E-11 1173201	  24    1390.00    1450.00  1.007610587327708E-08  3.882316588930688E-11 1173201	  24    1390.00    1450.00  1.328844911178787E-08  4.979901410778665E-11 1173201
  25    1450.00    1510.00  8.820556748957685E-09  3.486069349766321E-11 1074257	  25    1450.00    1510.00  7.691376764514329E-09  3.075345693805168E-11 1074257	  25    1450.00    1510.00  1.023250950354593E-08  3.985141024936860E-11 1074257
  26    1510.00    1570.00  6.931255876238741E-09  2.913198002284878E-11 984220	  26    1510.00    1570.00  6.019767947992530E-09  2.556383443375522E-11 984220	  26    1510.00    1570.00  8.079421857576928E-09  3.351222651823090E-11 984220
  27    1570.00    1630.00  5.422691630422203E-09  2.435321410839087E-11 903327	  27    1570.00    1630.00  4.695198265376294E-09  2.129709597962636E-11 903327	  27    1570.00    1630.00  6.344713742691416E-09  2.812642326408148E-11 903327
  28    1630.00    1690.00  4.301248139729721E-09  2.064507893633836E-11 832052	  28    1630.00    1690.00  3.711608822480926E-09  1.799167782310971E-11 832052	  28    1630.00    1690.00  5.052960825246169E-09  2.393818607270194E-11 832052
  29    1690.00    1750.00  3.362219691551280E-09  1.620131461748280E-11 768619	  29    1690.00    1750.00  2.891053470721300E-09  1.405432718689533E-11 768619	  29    1690.00    1750.00  3.967174025406540E-09  1.889684852820449E-11 768619
  30    1750.00    1810.00  2.700140515306901E-09  1.401354054335479E-11 709084	  30    1750.00    1810.00  2.316330915696506E-09  1.212929604470835E-11 709084	  30    1750.00    1810.00  3.195345145177466E-09  1.639053339885319E-11 709084
  31    1810.00    1870.00  2.137470269962787E-09  1.101060173733092E-11 655207	  31    1810.00    1870.00  1.827337586230563E-09  9.486372677439621E-12 655207	  31    1810.00    1870.00  2.539903391146612E-09  1.294633343691424E-11 655207
  32    1870.00    1930.00  1.726699496300247E-09  9.492227409363973E-12 606225	  32    1870.00    1930.00  1.472194514538464E-09  8.152260051804724E-12 606225	  32    1870.00    1930.00  2.058747566254216E-09  1.120758435445581E-11 606225
  33    1930.00    1990.00  1.387177071733970E-09  8.062965375367579E-12 562457	  33    1930.00    1990.00  1.180158935366726E-09  6.911758082290481E-12 562457	  33    1930.00    1990.00  1.658234130821875E-09  9.537833413519635E-12 562457
  34    1990.00    2050.00  1.124655100067712E-09  6.743708361823767E-12 522578	  34    1990.00    2050.00  9.542962920394731E-10  5.766695196505283E-12 522578	  34    1990.00    2050.00  1.348821476372581E-09  8.004214285283311E-12 522578
  35    2050.00    2110.00  9.235242384274029E-10  6.171744295119997E-12 485738	  35    2050.00    2110.00  7.819008471342296E-10  5.237383995116944E-12 485738	  35    2050.00    2110.00  1.110564757424556E-09  7.390356279664565E-12 485738
  36    2110.00    2170.00  7.525533117175469E-10  5.010282283583681E-12 452119	  36    2110.00    2170.00  6.359310853582085E-10  4.241399582323533E-12 452119	  36    2110.00    2170.00  9.072175109996128E-10  6.021038128078106E-12 452119
  37    2170.00    2230.00  6.209547555860032E-10  4.278206429058398E-12 421848	  37    2170.00    2230.00  5.234394560318422E-10  3.618660139089995E-12 421848	  37    2170.00    2230.00  7.507484724166957E-10  5.145514265970751E-12 421848
  38    2230.00    2290.00  5.131130564058519E-10  3.680594762804446E-12 393802	  38    2230.00    2290.00  4.317314486675207E-10  3.112624311597111E-12 393802	  38    2230.00    2290.00  6.217626625774982E-10  4.427541950060297E-12 393802
  39    2290.00    2350.00  4.232932693898252E-10  3.154420938110722E-12 366244	  39    2290.00    2350.00  3.552575925249392E-10  2.661513064865061E-12 366244	  39    2290.00    2350.00  5.144822092620189E-10  3.807441393839950E-12 366244
  40    2350.00    2410.00  3.507017030446501E-10  2.686193288396130E-12 341989	  40    2350.00    2410.00  2.939737015369695E-10  2.264879556603163E-12 341989	  40    2350.00    2410.00  4.269425220708262E-10  3.245325488896183E-12 341989
  41    2410.00    2470.00  2.983950350376131E-10  2.524342425580948E-12 320951	  41    2410.00    2470.00  2.494306384712329E-10  2.109428141552292E-12 320951	  41    2410.00    2470.00  3.644089969261288E-10  3.082843785693006E-12 320951
  42    2470.00    2530.00  2.438349745631486E-10  2.053903701931796E-12 299691	  42    2470.00    2530.00  2.034196252278391E-10  1.721645011683533E-12 299691	  42    2470.00    2530.00  2.984998448296066E-10  2.499067656387671E-12 299691
  43    2530.00    2590.00  2.042713901408177E-10  1.797889387789474E-12 281616	  43    2530.00    2590.00  1.700141926613840E-10  1.501164035004367E-12 281616	  43    2530.00    2590.00  2.507728945335533E-10  2.197358764010791E-12 281616
  44    2590.00    2650.00  1.712647393233494E-10  1.546149475619283E-12 263464	  44    2590.00    2650.00  1.423851391186845E-10  1.289188996725199E-12 263464	  44    2590.00    2650.00  2.105470017238946E-10  1.894028369358088E-12 263464
  45    2650.00    2710.00  1.459688566789307E-10  1.486745261225279E-12 246595	  45    2650.00    2710.00  1.212045451751268E-10  1.242987019584855E-12 246595	  45    2650.00    2710.00  1.796964899843963E-10  1.815949134844240E-12 246595
  46    2710.00    2770.00  1.234911360996017E-10  1.245865833885799E-12 232374	  46    2710.00    2770.00  1.022565760542674E-10  1.034531190110741E-12 232374	  46    2710.00    2770.00  1.525032354728559E-10  1.532966593349169E-12 232374
  47    2770.00    2830.00  1.019753871986837E-10  1.037680375502619E-12 217894	  47    2770.00    2830.00  8.434099150891545E-11  8.650940286943149E-13 217894	  47    2770.00    2830.00  1.261232745505306E-10  1.271671948782470E-12 217894
  48    2830.00    2890.00  8.731419722665882E-11  9.483275927741717E-13 204514	  48    2830.00    2890.00  7.209699151847786E-11  7.874856159981247E-13 204514	  48    2830.00    2890.00  1.082028232952720E-10  1.167697964406560E-12 204514
  49    2890.00    2950.00  7.387258861876830E-11  8.172768712864166E-13 192534	  49    2890.00    2950.00  6.086868916627521E-11  6.790322205306184E-13 192534	  49    2890.00    2950.00  9.176690966897196E-11  1.005747501063178E-12 192534
  50    2950.00    3010.00  6.288222017936407E-11  7.539822248276835E-13 180219	  50    2950.00    3010.00  5.170269479597841E-11  6.273830935807729E-13 180219	  50    2950.00    3010.00  7.830698274759220E-11  9.262892305474987E-13 180219
  51    3010.00    3070.00  5.567853283800677E-11  7.451928101053601E-13 170335	  51    3010.00    3070.00  4.570763163937769E-11  6.173922776507742E-13 170335	  51    3010.00    3070.00  6.945191522812356E-11  9.195065760058242E-13 170335
  52    3070.00    3130.00  4.637021573876525E-11  6.039739528585135E-13 159914	  52    3070.00    3130.00  3.798139260773406E-11  4.970357666569655E-13 159914	  52    3070.00    3130.00  5.798969490314188E-11  7.514929252845055E-13 159914
  53    3130.00    3190.00  3.911907455644704E-11  5.253538792791254E-13 150725	  53    3130.00    3190.00  3.198250163689089E-11  4.318170461752207E-13 150725	  53    3130.00    3190.00  4.903505955243763E-11  6.546639016043020E-13 150725
  54    3190.00    3250.00  3.446375431873443E-11  4.750810155398189E-13 142360	  54    3190.00    3250.00  2.814299005772033E-11  3.915295666380040E-13 142360	  54    3190.00    3250.00  4.325420789945291E-11  5.899229334373170E-13 142360
  55    3250.00    3310.00  2.933858727015878E-11  4.499928184171447E-13 134001	  55    3250.00    3310.00  2.389854333070437E-11  3.689688999121722E-13 134001	  55    3250.00    3310.00  3.692717080590028E-11  5.618333105175421E-13 134001
  56    3310.00    3370.00  2.488062177522492E-11  3.935656048524963E-13 126220	  56    3310.00    3370.00  2.026183108659190E-11  3.239561697529262E-13 126220	  56    3310.00    3370.00  3.132924846203257E-11  4.892182687010634E-13 126220
  57    3370.00    3430.00  2.209218623171906E-11  3.632469158127547E-13 118522	  57    3370.00    3430.00  1.794889534305159E-11  2.983420585731831E-13 118522	  57    3370.00    3430.00  2.789259476381186E-11  4.528906515801749E-13 118522
  58    3430.00    3490.00  1.848578882550787E-11  3.312844951592853E-13 112155	  58    3430.00    3490.00  1.501337696546162E-11  2.733590384240531E-13 112155	  58    3430.00    3490.00  2.335088516944872E-11  4.110331297387300E-13 112155
  59    3490.00    3550.00  1.618101235319253E-11  3.217734036290893E-13 106090	  59    3490.00    3550.00  1.311819686502134E-11  2.644337254587452E-13 106090	  59    3490.00    3550.00  2.048089844080853E-11  4.004790625855582E-13 106090
  60    3550.00    3610.00  1.397974886827446E-11  2.534569385658263E-13 100372	  60    3550.00    3610.00  1.131575822336049E-11  2.074472407425670E-13 100372	  60    3550.00    3610.00  1.772983201662975E-11  3.174057249558078E-13 100372
  61    3610.00    3670.00  1.168408480093368E-11  2.088352636413899E-13 94414	  61    3610.00    3670.00  9.433063044449454E-12  1.708117601228175E-13 94414	  61    3610.00    3670.00  1.485971512957765E-11  2.615328008738606E-13 94414
  62    3670.00    3730.00  1.061627277443210E-11  2.267886717858857E-13 89113	  62    3670.00    3730.00  8.551338518093651E-12  1.836914185995866E-13 89113	  62    3670.00    3730.00  1.353477349461146E-11  2.869071829727408E-13 89113
  63    3730.00    3790.00  9.015036037369503E-12  1.841458204531251E-13 84554	  63    3730.00    3790.00  7.256068755786943E-12  1.498680878993618E-13 84554	  63    3730.00    3790.00  1.150576762432963E-11  2.318738211747562E-13 84554
  64    3790.00    3850.00  7.830097998595273E-12  1.618184991890135E-13 80076	  64    3790.00    3850.00  6.291679550069125E-12  1.313482845974355E-13 80076	  64    3790.00    3850.00  1.001573532939987E-11  2.043092209881122E-13 80076
  65    3850.00    3910.00  6.586527736810203E-12  1.377019803341849E-13 75590	  65    3850.00    3910.00  5.281224149144228E-12  1.107160804168738E-13 75590	  65    3850.00    3910.00  8.444268472180571E-12  1.759473122576925E-13 75590
  66    3910.00    3970.00  6.091244471348447E-12  1.516490276354365E-13 71470	  66    3910.00    3970.00  4.890702217399868E-12  1.222109259164641E-13 71470	  66    3910.00    3970.00  7.798487485013551E-12  1.931407569832466E-13 71470
  67    3970.00    4030.00  5.204879486767186E-12  1.408130934694963E-13 67625	  67    3970.00    4030.00  4.163545113808193E-12  1.140808700059413E-13 67625	  67    3970.00    4030.00  6.692452805667818E-12  1.779599429897914E-13 67625
  68    4030.00    4090.00  4.529136223637340E-12  1.148981112330854E-13 64212	  68    4030.00    4090.00  3.625213685541023E-12  9.257132618079010E-14 64212	  68    4030.00    4090.00  5.818766736461365E-12  1.463680752714537E-13 64212
  69    4090.00    4150.00  4.001247598853301E-12  9.812450096849726E-14 60576	  69    4090.00    4150.00  3.194875432416691E-12  7.916607394938090E-14 60576	  69    4090.00    4150.00  5.156535208138810E-12  1.247465759499893E-13 60576
  70    4150.00    4210.00  3.637751912983799E-12  1.066840638389766E-13 57036	  70    4150.00    4210.00  2.894936118611023E-12  8.514233392994091E-14 57036	  70    4150.00    4210.00  4.704854866310617E-12  1.374677353689454E-13 57036
  71    4210.00    4270.00  2.956035073441335E-12  7.756856764083905E-14 54451	  71    4210.00    4270.00  2.353468679804438E-12  6.203453772558627E-14 54451	  71    4210.00    4270.00  3.822669090347868E-12  9.952435622075871E-14 54451
  72    4270.00    4330.00  2.702667095597382E-12  7.353770748468779E-14 51185	  72    4270.00    4330.00  2.149016442623498E-12  5.877507348945474E-14 51185	  72    4270.00    4330.00  3.499021137634223E-12  9.443818127277844E-14 51185
  73    4330.00    4390.00  2.375338912958670E-12  7.314408880966303E-14 48705	  73    4330.00    4390.00  1.886324425196943E-12  5.772605266617687E-14 48705	  73    4330.00    4390.00  3.080893316410160E-12  9.531907019784293E-14 48705
  74    4390.00    4450.00  2.113402439161432E-12  5.935402782597286E-14 45795	  74    4390.00    4450.00  1.675529611560630E-12  4.737891379730518E-14 45795	  74    4390.00    4450.00  2.746286182781528E-12  7.651322203970354E-14 45795
  75    4450.00    4510.00  1.998298260296469E-12  6.853856577974310E-14 43528	  75    4450.00    4510.00  1.582720607612715E-12  5.406980332417075E-14 43528	  75    4450.00    4510.00  2.599641693605744E-12  8.940378348846854E-14 43528
  76    4510.00    4570.00  1.624699588356619E-12  5.230461281022311E-14 40750	  76    4510.00    4570.00  1.284022694830072E-12  4.133202124667311E-14 40750	  76    4510.00    4570.00  2.119342324347228E-12  6.799998791701721E-14 40750
  77    4570.00    4630.00  1.407493106409114E-12  4.411683266135380E-14 38509	  77    4570.00    4630.00  1.113188543017086E-12  3.507950706830922E-14 38509	  77    4570.00    4630.00  1.834255116536962E-12  5.702198578395493E-14 38509
