# title = Transverse Mass of W-Z
# xlabel = $M_{\text{T},\text{W}\text{Z}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}\text{Z}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  3.788928896145319E-10  1.457927261457834E-11 6006	   1       0.00      20.00  3.537747182616819E-10  1.383781978582691E-11 6006	   1       0.00      20.00  4.059102238873102E-10  1.532607136585671E-11 6006
   2      20.00      40.00  3.295726293859564E-09  5.101659250655816E-11 43484	   2      20.00      40.00  3.078605956142704E-09  4.828381543582528E-11 43484	   2      20.00      40.00  3.527910070550767E-09  5.377444651026067E-11 43484
   3      40.00      60.00  1.054214233071163E-08  8.729815328787790E-11 128647	   3      40.00      60.00  9.858891798857873E-09  8.257642012746230E-11 128647	   3      40.00      60.00  1.127006127508130E-08  9.208633660811632E-11 128647
   4      60.00      80.00  2.775391081605617E-08  1.453731338736294E-10 304659	   4      60.00      80.00  2.601101225309148E-08  1.378707939710810E-10 304659	   4      60.00      80.00  2.959616796795154E-08  1.529023270321045E-10 304659
   5      80.00     100.00  7.519722907203310E-08  2.560603713466130E-10 736487	   5      80.00     100.00  7.073053714751843E-08  2.434432623419875E-10 736487	   5      80.00     100.00  7.984938187455811E-08  2.685510800991302E-10 736487
   6     100.00     120.00  2.326699454451910E-07  5.103373745436270E-10 1951640	   6     100.00     120.00  2.199286334580525E-07  4.869614264907906E-10 1951640	   6     100.00     120.00  2.456372685704466E-07  5.328564076357621E-10 1951640
   7     120.00     140.00  6.775893487653448E-07  9.508104205370794E-10 4647625	   7     120.00     140.00  6.427795851378979E-07  9.095286248399975E-10 4647625	   7     120.00     140.00  7.123241268729150E-07  9.899532152150982E-10 4647625
   8     140.00     160.00  1.644346630862215E-06  1.719912170477700E-09 8604973	   8     140.00     160.00  1.562550941935231E-06  1.646693077209010E-09 8604973	   8     140.00     160.00  1.725079977848598E-06  1.789022684032565E-09 8604973
   9     160.00     180.00  2.940036894392591E-06  2.651304806680508E-09 11682150	   9     160.00     180.00  2.792844063374191E-06  2.533154487054349E-09 11682150	   9     160.00     180.00  3.085524933631608E-06  2.764296114920121E-09 11682150
  10     180.00     200.00  2.445373007285890E-06  2.546237516424675E-09 8505611	  10     180.00     200.00  2.315756751050029E-06  2.434438726743696E-09 8505611	  10     180.00     200.00  2.575641646695422E-06  2.652431594786431E-09 8505611
