# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  8.162858107616718E-02  2.016662476684085E-04 52841674
   2       0.08       0.16  8.455339533461360E-02  2.144179765316655E-04 55961191
   3       0.16       0.24  9.022498561279736E-02  2.020531327406388E-04 53087606
   4       0.24       0.31  9.813535186573934E-02  2.355719705310179E-04 48448752
   5       0.31       0.39  1.049923523411696E-01  2.465646888062640E-04 43879029
   6       0.39       0.47  1.105347441062914E-01  3.121427201212978E-04 39768515
   7       0.47       0.55  1.139997474744815E-01  2.822108995795326E-04 36240452
   8       0.55       0.63  1.159438268284148E-01  2.807494619541362E-04 33168385
   9       0.63       0.71  1.174350359528707E-01  2.913718376247391E-04 30536754
  10       0.71       0.79  1.181093955271909E-01  3.048139626500012E-04 28227028
  11       0.79       0.86  1.171240724944333E-01  2.887063906653894E-04 26211361
  12       0.86       0.94  1.155705927319718E-01  2.986488011168908E-04 24424675
  13       0.94       1.02  1.142535326431701E-01  3.100490493629579E-04 22848313
  14       1.02       1.10  1.121142117779138E-01  3.143691435749259E-04 21451833
  15       1.10       1.18  1.096990345355320E-01  3.040066112356516E-04 20203598
  16       1.18       1.26  1.077493542235176E-01  3.107775742467120E-04 19090265
  17       1.26       1.33  1.047799343029804E-01  2.906515320439577E-04 18094912
  18       1.33       1.41  1.023049557145928E-01  2.943748523464545E-04 17195950
  19       1.41       1.49  9.982277769577214E-02  3.009399407018701E-04 16403631
  20       1.49       1.57  9.771217357129108E-02  3.687811719891702E-04 15699557
  21       1.57       1.65  9.485283139773465E-02  3.487263936882639E-04 15058344
  22       1.65       1.73  9.277679088631334E-02  3.008387832807332E-04 14515218
  23       1.73       1.81  8.986940818985126E-02  2.910146156080708E-04 14031556
  24       1.81       1.89  8.741211696269399E-02  2.889896608081326E-04 13618068
  25       1.89       1.96  8.534919259443556E-02  2.821267500858886E-04 13268116
  26       1.96       2.04  8.317919977003202E-02  2.616020242155575E-04 12970720
  27       2.04       2.12  8.183252960002309E-02  2.582985079052706E-04 12735732
  28       2.12       2.20  7.987773526823515E-02  3.461219834559597E-04 12561590
  29       2.20       2.28  7.761519609631982E-02  2.527353597354447E-04 12445019
  30       2.28       2.36  7.617693968597948E-02  2.321046418041450E-04 12387007
  31       2.36       2.44  7.488532970910187E-02  3.415463359492864E-04 12399193
  32       2.44       2.51  7.412164606668092E-02  2.773042947870742E-04 12467923
  33       2.51       2.59  7.228665920941076E-02  2.374672606258446E-04 12603004
  34       2.59       2.67  7.116206137089838E-02  2.486553369970504E-04 12814264
  35       2.67       2.75  7.070376225257000E-02  2.512171201499379E-04 13109874
  36       2.75       2.83  6.982174847060940E-02  2.899569830920583E-04 13486672
  37       2.83       2.91  6.906714524139947E-02  2.324242193208414E-04 13981176
  38       2.91       2.98  6.872913954467072E-02  2.519362296704303E-04 14583796
  39       2.98       3.06  6.806390837288508E-02  2.100043677940862E-04 15344091
  40       3.06       3.14  6.844854938774295E-02  2.333295894295886E-04 16333153
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807612332E-02  4.4045131042502386E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
