# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  5.985887911048297E-05  1.638010196790237E-07 3794654
   2       0.08       0.16  6.106204706841330E-05  1.680982485180955E-07 4040928
   3       0.16       0.24  6.371185498061011E-05  1.690719023528494E-07 3990258
   4       0.24       0.31  6.856956219512193E-05  1.777129767140286E-07 3781739
   5       0.31       0.39  7.473083719946264E-05  1.859127050696946E-07 3544074
   6       0.39       0.47  8.102319038436763E-05  1.943654539832460E-07 3306215
   7       0.47       0.55  8.826087055565443E-05  2.119127442641481E-07 3084440
   8       0.55       0.63  9.395498849520031E-05  2.252814657937733E-07 2885020
   9       0.63       0.71  9.940614683084431E-05  2.418890816318138E-07 2702835
  10       0.71       0.79  1.039755055133179E-04  2.558985961248275E-07 2542507
  11       0.79       0.86  1.078584262281090E-04  2.672662159753433E-07 2396422
  12       0.86       0.94  1.102708087871951E-04  2.758905644528825E-07 2261614
  13       0.94       1.02  1.127596066801955E-04  2.818811489566853E-07 2143567
  14       1.02       1.10  1.147981790038634E-04  2.924446095682028E-07 2036767
  15       1.10       1.18  1.152288326974988E-04  2.980988341621832E-07 1941156
  16       1.18       1.26  1.160020640566748E-04  2.960789335161487E-07 1857159
  17       1.26       1.33  1.162478658583298E-04  3.096082431971463E-07 1777285
  18       1.33       1.41  1.158973579721574E-04  2.951956262121754E-07 1710646
  19       1.41       1.49  1.153749217392049E-04  3.262712429248838E-07 1647642
  20       1.49       1.57  1.149001394888255E-04  3.224435459761655E-07 1597067
  21       1.57       1.65  1.133667274468905E-04  3.048962181042673E-07 1548298
  22       1.65       1.73  1.122059345234986E-04  2.925745000880016E-07 1510492
  23       1.73       1.81  1.103196861926952E-04  2.837593975932751E-07 1476311
  24       1.81       1.89  1.088979282444644E-04  2.835320030054144E-07 1449157
  25       1.89       1.96  1.073102244617574E-04  2.716886840797744E-07 1428702
  26       1.96       2.04  1.059419072374945E-04  2.698845898379007E-07 1414881
  27       2.04       2.12  1.041052923412947E-04  2.670438092639452E-07 1406000
  28       2.12       2.20  1.027288550694481E-04  2.610200263565505E-07 1402357
  29       2.20       2.28  1.008746118856498E-04  2.544865117251508E-07 1408140
  30       2.28       2.36  9.978244435299567E-05  2.613636296653703E-07 1420758
  31       2.36       2.44  9.845762924219494E-05  2.446599027837200E-07 1440376
  32       2.44       2.51  9.701632549361941E-05  2.499763012009163E-07 1464074
  33       2.51       2.59  9.616605586282527E-05  2.453101495047929E-07 1501114
  34       2.59       2.67  9.474240032423070E-05  2.389308050183700E-07 1547265
  35       2.67       2.75  9.434487933148026E-05  2.497815745210773E-07 1600497
  36       2.75       2.83  9.311665362582036E-05  2.310765756072118E-07 1670945
  37       2.83       2.91  9.315553252284177E-05  2.409112263161207E-07 1755501
  38       2.91       2.98  9.265749438786449E-05  2.307941729566027E-07 1856075
  39       2.98       3.06  9.173994670728308E-05  2.273480620778613E-07 1983573
  40       3.06       3.14  9.211017507466827E-05  2.297105432291197E-07 2152486
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  3.0244595423252347E-10  2.7632361968034647E-10 3
#-------------------------------------------------------------------------------------
# Sum:                       3.0967724085577658E-04  1.2711621468017108E-07 84479000
#=====================================================================================
