# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  3.685668976621217E-02  1.416644084957842E-04 11345243
   2      -0.90      -0.80  3.952932154088458E-02  1.564015508606643E-04 10895452
   3      -0.80      -0.70  4.271102240514741E-02  1.756390363476629E-04 11113991
   4      -0.70      -0.60  4.639106070288337E-02  1.636594460266399E-04 11632498
   5      -0.60      -0.50  5.054268376438753E-02  1.482964555850123E-04 12391405
   6      -0.50      -0.40  5.574816811486614E-02  2.060304798624525E-04 13343015
   7      -0.40      -0.30  6.101092891027488E-02  1.743329424989057E-04 14468983
   8      -0.30      -0.20  6.781496175939573E-02  1.939435180462824E-04 15805523
   9      -0.20      -0.10  7.572660462098968E-02  2.133438019826914E-04 17394028
  10      -0.10       0.00  8.461657861510163E-02  2.430882431404119E-04 19269140
  11       0.00       0.10  9.547617011050354E-02  2.501272834361039E-04 21522789
  12       0.10       0.20  1.079435989165501E-01  2.708756548086329E-04 24289924
  13       0.20       0.30  1.238807061256375E-01  2.721841618783316E-04 27734112
  14       0.30       0.40  1.439390823911659E-01  2.895738034114085E-04 32158301
  15       0.40       0.50  1.684148774350525E-01  3.638313367686953E-04 38058057
  16       0.50       0.60  2.025405208698925E-01  3.881272359589908E-04 46314420
  17       0.60       0.70  2.486764239012883E-01  4.261547659758986E-04 58725623
  18       0.70       0.80  3.177214847338896E-01  4.584766322407454E-04 79669800
  19       0.80       0.90  4.316050033392605E-01  5.353004564965555E-04 123429600
  20       0.90       1.00  4.835586919085151E-01  5.844239677110531E-04 304936096
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807612488E-02  4.4041882184044301E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
