# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  5.857515753735586E-05  1.555360540945322E-07 1524895
   2      -0.90      -0.80  6.223254226374687E-05  1.506058899137130E-07 1416248
   3      -0.80      -0.70  6.660241201624329E-05  1.571583028332842E-07 1414852
   4      -0.70      -0.60  7.177122712806913E-05  1.647436386397460E-07 1453022
   5      -0.60      -0.50  7.725911340988116E-05  1.879597461676014E-07 1523850
   6      -0.50      -0.40  8.331303748775461E-05  1.843531491707450E-07 1610813
   7      -0.40      -0.30  9.119849352711036E-05  2.009620276012719E-07 1723006
   8      -0.30      -0.20  9.892180414481505E-05  2.158865248622212E-07 1850455
   9      -0.20      -0.10  1.082157860253201E-04  2.226994499032852E-07 2001354
  10      -0.10       0.00  1.189802826722962E-04  2.443397847773755E-07 2184420
  11       0.00       0.10  1.314881812360795E-04  2.663355882895883E-07 2402245
  12       0.10       0.20  1.459877079127531E-04  2.895677969289081E-07 2664909
  13       0.20       0.30  1.614156505987289E-04  2.940206438931847E-07 2989774
  14       0.30       0.40  1.812174334986536E-04  3.231673629018785E-07 3400819
  15       0.40       0.50  2.042539992125343E-04  3.399671928340378E-07 3946772
  16       0.50       0.60  2.328093261886964E-04  3.719200585994860E-07 4703144
  17       0.60       0.70  2.673355060879913E-04  3.876847779693221E-07 5807708
  18       0.70       0.80  3.104123560952297E-04  4.141987414457968E-07 7627566
  19       0.80       0.90  3.592509025646343E-04  4.607097558414695E-07 11218805
  20       0.90       1.00  2.655314889498206E-04  3.427377894615066E-07 23014343
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.0967724085577148E-04  1.2710121425046865E-07 84479000
#=====================================================================================
