# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70  2.548583716174585E-03  1.214735719166895E-05 5988550
  14       2.70       2.90  6.358742793026049E-03  1.982813125049758E-05 12655304
  15       2.90       3.10  1.146733159861993E-02  2.899059040483186E-05 19019758
  16       3.10       3.30  1.869625446430268E-02  3.823378886227512E-05 26015737
  17       3.30       3.50  2.928407198398970E-02  5.258314929278380E-05 33932895
  18       3.50       3.70  4.453516845900251E-02  7.377996266127674E-05 43102839
  19       3.70       3.90  6.572629837304528E-02  9.512472705860186E-05 54022241
  20       3.90       4.10  9.108989150824554E-02  1.282657433194078E-04 66059863
  21       4.10       4.30  1.003345331672324E-01  1.333431551598311E-04 66970715
  22       4.30       4.50  1.035581049319648E-01  1.496351096047935E-04 64526065
  23       4.50       4.70  1.042850892038132E-01  1.521287004835461E-04 61441000
  24       4.70       4.90  1.031083678320230E-01  1.654471669721750E-04 57680272
  25       4.90       5.10  9.941461383511975E-02  1.629043244416990E-04 53395621
  26       5.10       5.30  9.395297482894673E-02  1.743132219406197E-04 48732406
  27       5.30       5.50  8.751401984895509E-02  1.883408544373695E-04 43864683
  28       5.50       5.70  7.935497616500981E-02  1.765555055616460E-04 38936728
  29       5.70       5.90  7.118073250837831E-02  1.738406113585425E-04 34129659
  30       5.90       6.10  6.279223831280668E-02  1.853705931999152E-04 29552162
  31       6.10       6.30  5.421364313229748E-02  1.734534646124314E-04 25320656
  32       6.30       6.50  4.577961821140938E-02  1.382299572266026E-04 21464367
  33       6.50       6.70  3.871502741985754E-02  1.604115534676446E-04 18047993
  34       6.70       6.90  3.161452866607573E-02  1.357490541914841E-04 15015785
  35       6.90       7.10  2.544687283962108E-02  1.234748866270346E-04 12365442
  36       7.10       7.30  1.990036788661332E-02  1.071555898560689E-04 10078875
  37       7.30       7.50  1.554175422207012E-02  1.068022939566323E-04 8113432
  38       7.50       7.70  1.158117069268306E-02  1.131765945605632E-04 6437042
  39       7.70       7.90  8.439100355844883E-03  1.057755775182187E-04 5036994
  40       7.90       8.10  5.935113942063570E-03  8.075589076014053E-05 3860839
  41       8.10       8.30  3.894606116379914E-03  4.067897667498536E-05 2900057
  42       8.30       8.50  2.591477088734039E-03  3.568661856814734E-05 2120470
  43       8.50       8.70  1.622968169436158E-03  3.776486850387390E-05 1498258
  44       8.70       8.90  9.551390243165680E-04  2.131055431202506E-05 1007698
  45       8.90       9.10  5.499481020791345E-04  3.953447839973791E-05 633526
  46       9.10       9.30  2.472344560826060E-04  1.622510115883512E-05 354853
  47       9.30       9.50  9.466885138449055E-05  5.731007075557883E-06 157796
  48       9.50       9.70  2.443790356691582E-05  3.521522811920422E-06 50270
  49       9.70       9.90  2.618695696474233E-06  8.981842305609393E-07 7148
  50       9.90      10.10  6.590868230642406E-10  6.590868220401000E-10 1
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807612377E-02  4.4043990074204782E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
