# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  8.834252199778955E-03  1.451790156919301E-05 246141614
   2       0.30       0.50  4.868171383990290E-02  4.662347706924020E-05 334901524
   3       0.50       0.70  9.194097015058873E-02  7.292463173269463E-05 333628728
   4       0.70       0.90  1.192997096621230E-01  8.942296366496136E-05 312140252
   5       0.90       1.10  1.312219800856073E-01  9.924541374621081E-05 284494448
   6       1.10       1.30  1.319986633966556E-01  9.696087705572298E-05 255209237
   7       1.30       1.50  1.263286595697092E-01  9.923164612898747E-05 226786331
   8       1.50       1.70  1.170731725135513E-01  9.277923274116312E-05 200853713
   9       1.70       1.90  1.069098350653631E-01  8.547450614447312E-05 178638249
  10       1.90       2.10  9.762002253115101E-02  7.996574624370376E-05 160827131
  11       2.10       2.30  8.938914416635289E-02  7.787315395120257E-05 147818752
  12       2.30       2.50  8.274435782183856E-02  7.247194647489976E-05 139742371
  13       2.50       2.70  7.744306207052155E-02  6.784876443109089E-05 136872522
  14       2.70       2.90  7.380562607394656E-02  6.718499921693128E-05 139690006
  15       2.90       3.10  7.136832590610007E-02  6.358495900486972E-05 149503872
  16       3.10       3.30  3.860200672491904E-02  4.479258153304622E-05 96446135
  17       3.30       3.50  8.499889310336458E-03  2.008750366510329E-05 30122503
  18       3.50       3.70  2.296845612601145E-03  7.723571263906778E-06 11389716
  19       3.70       3.90  5.856912327131855E-04  3.323003523333066E-06 4002850
  20       3.90       4.10  1.159811407353667E-04  1.539521418303566E-06 1104122
  21       4.10       4.30  1.035303318815273E-05  3.136309098676345E-07 145898
  22       4.30       4.50  8.961413798470880E-08  1.340707319246564E-08 1963
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 4.9490441228333011E-09  8.6070813067441603E-11 351903
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.1721161818679486E-03  1.1544689148001268E-06 71479000
#=====================================================================================
