# title = Invariant Mass visible System
# xlabel = $M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     480.00     520.00  0.000000000000000E+00  0.000000000000000E+00 0
  14     520.00     560.00  3.702046680690481E-10  1.461966657279550E-11 2636
  15     560.00     600.00  1.544211045589156E-08  9.673551556827283E-11 198548
  16     600.00     640.00  6.629831960404463E-08  2.078342383471315E-10 691639
  17     640.00     680.00  1.345143862506665E-07  3.374829189449338E-10 1043438
  18     680.00     720.00  1.976742351711336E-07  4.176864683610275E-10 1268535
  19     720.00     760.00  2.488431876995089E-07  5.068188610370227E-10 1414683
  20     760.00     800.00  2.867251643432678E-07  5.783798174395284E-10 1500713
