# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  1.743602540342336E-04  2.553478193605583E-07 27272666
  14     540.00     580.00  1.818144318911578E-04  2.761654312416779E-07 26653374
  15     580.00     620.00  1.867854739307960E-04  2.980860557581700E-07 25947644
  16     620.00     660.00  1.899579612878967E-04  2.964371448829137E-07 25198023
  17     660.00     700.00  1.922267933812876E-04  3.341804570241579E-07 24410067
  18     700.00     740.00  1.919770278480981E-04  3.302906793523778E-07 23591073
  19     740.00     780.00  1.919846406652412E-04  3.435415921535781E-07 22779465
  20     780.00     820.00  1.913515864133963E-04  3.807938119674371E-07 21980805
  21     820.00     860.00  1.884492865829680E-04  3.576488043242226E-07 21191335
  22     860.00     900.00  1.860404793533719E-04  3.851544237181963E-07 20423246
  23     900.00     940.00  1.829362279333530E-04  4.041069771534880E-07 19697454
  24     940.00     980.00  1.787561267011766E-04  3.924995795215502E-07 18972610
  25     980.00    1020.00  1.752705113838209E-04  4.119393838045247E-07 18283552
  26    1020.00    1060.00  1.714339957052275E-04  4.307029493448501E-07 17617643
  27    1060.00    1100.00  1.664287873142598E-04  4.098734634184409E-07 16977635
  28    1100.00    1140.00  1.624731207442392E-04  4.237932616222190E-07 16359773
