# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.042891490798892E-02  3.672213217710239E-05 60231396
   2      -2.25      -2.00  2.838025435028807E-02  4.675163518753290E-05 82664352
   3      -2.00      -1.75  3.748027288322577E-02  5.126551104507113E-05 107955909
   4      -1.75      -1.50  4.727227859309008E-02  5.855751845700895E-05 133207431
   5      -1.50      -1.25  5.678371033028676E-02  5.911127450825457E-05 157136150
   6      -1.25      -1.00  6.533160858191847E-02  6.380302881736445E-05 179007458
   7      -1.00      -0.75  7.243343971769028E-02  6.312009438216291E-05 198266983
   8      -0.75      -0.50  7.763139683342327E-02  6.104480020748626E-05 214519627
   9      -0.50      -0.25  8.129088686689319E-02  6.041990521092041E-05 227379796
  10      -0.25       0.00  8.281340439577521E-02  5.808287082206520E-05 236343866
  11       0.00       0.25  8.293485100580072E-02  5.878470187935124E-05 241046117
  12       0.25       0.50  8.129915978746387E-02  5.991129553268303E-05 240908293
  13       0.50       0.75  7.767313993828008E-02  5.899997050184377E-05 235682303
  14       0.75       1.00  7.239643643143034E-02  5.938040419509060E-05 225010095
  15       1.00       1.25  6.536824461047362E-02  5.803004318653710E-05 208879683
  16       1.25       1.50  5.681021980086187E-02  5.601969956678245E-05 187390641
  17       1.50       1.75  4.728351443876332E-02  5.288165580032933E-05 161356980
  18       1.75       2.00  3.749226287482606E-02  4.693972202987446E-05 132118839
  19       2.00       2.25  2.824109645104929E-02  3.988223764086998E-05 102216379
  20       2.25       2.50  2.048064167979610E-02  3.415640865176118E-05 75585702
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.1721161818678229E-03  1.1544684081583487E-06 71479000
#=====================================================================================
