# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.131489116555569E-02  1.034013960697875E-04 15789854
   2      -2.25      -2.00  2.899331592442479E-02  9.175428354661600E-05 21693527
   3      -2.00      -1.75  3.824436986694951E-02  1.178330421186585E-04 28356385
   4      -1.75      -1.50  4.802669896658242E-02  1.289630569785898E-04 35007847
   5      -1.50      -1.25  5.742737064014984E-02  1.317411069737120E-04 41293529
   6      -1.25      -1.00  6.606864443753736E-02  1.394145302836402E-04 47054022
   7      -1.00      -0.75  7.310952790511357E-02  1.377806345149018E-04 52117293
   8      -0.75      -0.50  7.835076480473252E-02  1.497458135565775E-04 56357260
   9      -0.50      -0.25  8.187952329458228E-02  1.322673653571226E-04 59692646
  10      -0.25       0.00  8.341882346360573E-02  1.402293800942165E-04 62023717
  11       0.00       0.25  8.378124507915975E-02  1.345211716735917E-04 63203977
  12       0.25       0.50  8.182085990321547E-02  1.262256993764505E-04 63124341
  13       0.50       0.75  7.817152430151407E-02  1.324680926766031E-04 61728472
  14       0.75       1.00  7.307933580319276E-02  1.335686571237393E-04 58926318
  15       1.00       1.25  6.605593689827753E-02  1.326249261765482E-04 54654844
  16       1.25       1.50  5.758496367626030E-02  1.217667518692426E-04 49046460
  17       1.50       1.75  4.815856915274623E-02  1.252155479608512E-04 42241529
  18       1.75       2.00  3.815304806686687E-02  1.095512247053854E-04 34604251
  19       2.00       2.25  2.909776088868649E-02  9.757440126358432E-05 26778070
  20       2.25       2.50  2.114528253359407E-02  7.605610043623575E-05 19803658
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807612062E-02  4.4043495255957459E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
