# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  5.178815081672072E-05  1.304619309316723E-07 4063353
   2      -2.25      -2.00  6.646114879652119E-05  1.400467263161731E-07 4669833
   3      -2.00      -1.75  8.117422206617794E-05  1.538622425519641E-07 5226348
   4      -1.75      -1.50  9.411599139093307E-05  1.608675245884116E-07 5695602
   5      -1.50      -1.25  1.046607548194387E-04  1.610500962971781E-07 6054821
   6      -1.25      -1.00  1.107549848599856E-04  1.642751616636106E-07 6274336
   7      -1.00      -0.75  1.124390304719977E-04  1.509835537868820E-07 6339511
   8      -0.75      -0.50  1.092058192414920E-04  1.423111669789256E-07 6253637
   9      -0.50      -0.25  1.019332623836832E-04  1.318923909021955E-07 6025099
  10      -0.25       0.00  9.171478079275717E-05  1.228131652138730E-07 5671095
  11       0.00       0.25  7.890962399638458E-05  1.074554932544440E-07 5213295
  12       0.25       0.50  6.530706884435858E-05  9.664331271140978E-08 4689199
  13       0.50       0.75  5.166627132338859E-05  8.475495487437448E-08 4120575
  14       0.75       1.00  3.924487811996913E-05  7.336787996937574E-08 3538464
  15       1.00       1.25  2.865153418314991E-05  6.266236981173258E-08 2964035
  16       1.25       1.50  1.998520533626502E-05  5.279197829585620E-08 2418097
  17       1.50       1.75  1.340037361476461E-05  4.132998992550518E-08 1917592
  18       1.75       2.00  8.607770163184918E-06  3.191984663497478E-08 1472228
  19       2.00       2.25  5.425434160262368E-06  2.511290446132920E-08 1092205
  20       2.25       2.50  3.262658041672650E-06  1.765312052263250E-08 779675
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.0967724085577685E-04  1.2710029343337445E-07 84479000
#=====================================================================================
