# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.857442286267357E-04  7.368281818760413E-06 193815
   2      -4.75      -4.50  7.068267475263731E-04  1.583489210087184E-05 718585
   3      -4.50      -4.25  1.569433334574682E-03  2.301534942022530E-05 1494481
   4      -4.25      -4.00  2.834662738362911E-03  3.554693132531387E-05 2556451
   5      -4.00      -3.75  4.673734185463956E-03  4.218345929948545E-05 3933417
   6      -3.75      -3.50  7.104293327796829E-03  5.496244356178437E-05 5635257
   7      -3.50      -3.25  1.016680226788510E-02  6.582318708923059E-05 7659159
   8      -3.25      -3.00  1.399657838700261E-02  7.959028737509234E-05 9995155
   9      -3.00      -2.75  1.854431400841280E-02  8.982296512629920E-05 12631035
  10      -2.75      -2.50  2.317151030687978E-02  8.957749531164298E-05 15553658
  11      -2.50      -2.25  2.901782297634639E-02  1.112724030217255E-04 18789949
  12      -2.25      -2.00  3.452851690033706E-02  1.159578474959890E-04 22349796
  13      -2.00      -1.75  4.035590721382316E-02  1.205122913949914E-04 26295538
  14      -1.75      -1.50  4.557027455005200E-02  1.143290034241843E-04 30691300
  15      -1.50      -1.25  5.055512634353422E-02  1.117033500429618E-04 35597284
  16      -1.25      -1.00  5.427202671519439E-02  9.861568300914591E-05 41026859
  17      -1.00      -0.75  5.760668528804862E-02  1.005042123242391E-04 46998856
  18      -0.75      -0.50  5.955809000662057E-02  9.323967450219802E-05 53454903
  19      -0.50      -0.25  6.069607564038011E-02  1.029485771342791E-04 60381188
  20      -0.25       0.00  6.142611035619223E-02  8.472208410775474E-05 67640737
  21       0.00       0.25  6.159355858328493E-02  8.720120908822065E-05 67132997
  22       0.25       0.50  6.086897398379432E-02  9.132212688398436E-05 59002985
  23       0.50       0.75  5.943218994463152E-02  9.213706719700579E-05 51276999
  24       0.75       1.00  5.739401369931944E-02  1.008366181070934E-04 44240461
  25       1.00       1.25  5.446966231448128E-02  1.095121531911140E-04 37859483
  26       1.25       1.50  5.057835751484096E-02  1.214096434610384E-04 32203294
  27       1.50       1.75  4.579604349039759E-02  1.171686744116672E-04 27260963
  28       1.75       2.00  4.054952865300430E-02  1.351062239116166E-04 23006018
  29       2.00       2.25  3.456280401001437E-02  1.244806959130920E-04 19333891
  30       2.25       2.50  2.886781887063144E-02  1.213965580437283E-04 16129336
  31       2.50       2.75  2.339775467808472E-02  1.052050085912451E-04 13325446
  32       2.75       3.00  1.847316989491207E-02  8.281289141783228E-05 10841530
  33       3.00       3.25  1.395715455080426E-02  7.638943636482344E-05 8622748
  34       3.25       3.50  1.026156526674621E-02  7.194999532786601E-05 6657234
  35       3.50       3.75  7.130857031918019E-03  7.861541798011323E-05 4962465
  36       3.75       4.00  4.730883840231754E-03  5.310117035474347E-05 3515502
  37       4.00       4.25  2.793545414950300E-03  3.252522410484292E-05 2316656
  38       4.25       4.50  1.563386060802928E-03  2.508414051535828E-05 1369166
  39       4.50       4.75  7.413571027415001E-04  2.725039973524037E-05 664115
  40       4.75       5.00  1.792963440952074E-04  7.257020327986971E-06 179288
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5867923807612221E-02  4.4043936024842188E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
