# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.303793028324041E-07  6.908594885774694E-09 30977
   2      -4.75      -4.50  9.598112760664084E-07  1.496656897127192E-08 116437
   3      -4.50      -4.25  2.267662948437228E-06  2.239812527482963E-08 247558
   4      -4.25      -4.00  4.300315755610484E-06  3.292022112078898E-08 431986
   5      -4.00      -3.75  7.415734788205117E-06  4.469352176959132E-08 679849
   6      -3.75      -3.50  1.188365320112395E-05  5.834898600270670E-08 990236
   7      -3.50      -3.25  1.778598798751794E-05  7.587843318141389E-08 1364720
   8      -3.25      -3.00  2.530226735224802E-05  9.236608091523667E-08 1806107
   9      -3.00      -2.75  3.457976079392782E-05  1.017327895307709E-07 2303172
  10      -2.75      -2.50  4.533419205606556E-05  1.230594433697015E-07 2840826
  11      -2.50      -2.25  5.738320170368319E-05  1.293174015760073E-07 3412823
  12      -2.25      -2.00  7.002343555663467E-05  1.364075080323364E-07 3995872
  13      -2.00      -1.75  8.227312647432742E-05  1.510091257533104E-07 4557874
  14      -1.75      -1.50  9.273703874769637E-05  1.495891493005031E-07 5075922
  15      -1.50      -1.25  1.005721845214340E-04  1.515023803480690E-07 5511893
  16      -1.25      -1.00  1.038395180542700E-04  1.464758083052962E-07 5835371
  17      -1.00      -0.75  1.025598862516185E-04  1.377635136304497E-07 6015597
  18      -0.75      -0.50  9.630930322790903E-05  1.257054867033792E-07 6034952
  19      -0.50      -0.25  8.516005246510037E-05  1.095964717716889E-07 5893319
  20      -0.25       0.00  7.112547380145767E-05  9.148556836733328E-08 5596574
  21       0.00       0.25  5.657945951596319E-05  7.610313913924994E-08 4994299
  22       0.25       0.50  4.319951060444623E-05  6.221759141326013E-08 4139552
  23       0.50       0.75  3.207625368781088E-05  5.134049846993345E-08 3309528
  24       0.75       1.00  2.364838932524401E-05  4.522204184478343E-08 2556340
  25       1.00       1.25  1.734998829175472E-05  4.138654719291113E-08 1915090
  26       1.25       1.50  1.285041962024138E-05  4.017647070458669E-08 1395556
  27       1.50       1.75  9.641339357252151E-06  3.991187298243939E-08 996630
  28       1.75       2.00  7.394621847809622E-06  4.025408270343681E-08 705646
  29       2.00       2.25  5.859705368307182E-06  4.076423512131060E-08 501936
  30       2.25       2.50  4.706831974572348E-06  4.193486757311077E-08 359256
  31       2.50       2.75  3.722664159737073E-06  4.013234004565021E-08 259854
  32       2.75       3.00  2.950473668488056E-06  3.832420764612799E-08 189498
  33       3.00       3.25  2.273829155788705E-06  3.898511743707631E-08 138829
  34       3.25       3.50  1.634878143841163E-06  3.066142579886627E-08 100032
  35       3.50       3.75  1.164192447020570E-06  2.598127552724199E-08 70419
  36       3.75       4.00  7.749761201033585E-07  2.021412505078053E-08 47283
  37       4.00       4.25  4.486936872818754E-07  1.612808688574250E-08 30024
  38       4.25       4.50  2.317059040120501E-07  9.352293230102250E-09 17070
  39       4.50       4.75  1.241012903200218E-07  8.158583413837997E-09 8032
  40       4.75       5.00  3.394298694422476E-08  5.020165248583850E-09 2061
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.0967724085577609E-04  1.2710439094747788E-07 84479000
#=====================================================================================
