# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  7.919655023599211E-08  2.032962207627007E-09 210905
   4     190.00     250.00  1.210443624747758E-05  3.055787025842117E-08 16625329
   5     250.00     310.00  1.198561522809666E-04  1.211259680592852E-07 100432233
   6     310.00     370.00  3.046791486612819E-04  2.320817395709241E-07 189717886
   7     370.00     430.00  4.443807452590759E-04  2.883653858451018E-07 236691564
   8     430.00     490.00  5.051777527306466E-04  3.375275211323444E-07 245910284
   9     490.00     550.00  4.979128784829511E-04  3.437132552590899E-07 232069490
  10     550.00     610.00  4.546917708375845E-04  3.355162197505440E-07 210885519
  11     610.00     670.00  3.977800506496608E-04  3.113644329471538E-07 188890535
  12     670.00     730.00  3.390841123728695E-04  2.891691104133284E-07 168237293
  13     730.00     790.00  2.847730839486325E-04  2.788154051713884E-07 149629860
  14     790.00     850.00  2.368615669564787E-04  2.396622191176162E-07 133339762
  15     850.00     910.00  1.961127024590924E-04  2.147659929319017E-07 119198768
  16     910.00     970.00  1.614438269634990E-04  1.926291430853577E-07 106942162
  17     970.00    1030.00  1.336137057324301E-04  1.743843129287481E-07 96347579
  18    1030.00    1090.00  1.099870938475412E-04  1.526897984662892E-07 87073200
  19    1090.00    1150.00  9.094151622477175E-05  1.459258120156344E-07 78963847
  20    1150.00    1210.00  7.531992159803306E-05  1.228774709402651E-07 71844127
  21    1210.00    1270.00  6.236251981895414E-05  1.090835284974273E-07 65571991
