# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  1.117302953157746E-10  4.590501722505750E-12 6759
   4     190.00     250.00  1.847259211500972E-08  8.226748512749926E-11 497710
   5     250.00     310.00  1.853036113380876E-07  3.352157825607341E-10 2812899
   6     310.00     370.00  4.681656148330445E-07  6.305454251238534E-10 5189837
   7     370.00     430.00  6.762375702127818E-07  8.101567029959061E-10 6445524
   8     430.00     490.00  7.438625276267816E-07  8.765244072114224E-10 6648039
   9     490.00     550.00  6.839801632413223E-07  8.684817461508999E-10 6194041
  10     550.00     610.00  5.673394374649799E-07  7.402774357073435E-10 5554450
  11     610.00     670.00  4.468136527879320E-07  6.314522937574028E-10 4913634
  12     670.00     730.00  3.412757485117241E-07  5.238577776255086E-10 4330084
  13     730.00     790.00  2.578668247471865E-07  4.501008029435061E-10 3809075
  14     790.00     850.00  1.919769054687961E-07  3.547920422775017E-10 3362893
  15     850.00     910.00  1.424351958156985E-07  2.885503979198778E-10 2975124
  16     910.00     970.00  1.065705588400203E-07  2.331177693991449E-10 2644453
  17     970.00    1030.00  7.908071877956098E-08  1.897361184757344E-10 2357972
  18    1030.00    1090.00  5.921063470101772E-08  1.519488936902322E-10 2113155
  19    1090.00    1150.00  4.442251580570200E-08  1.222379273440157E-10 1903372
  20    1150.00    1210.00  3.353509897775130E-08  9.942137456784779E-11 1715811
  21    1210.00    1270.00  2.550399939614188E-08  8.247691296071128E-11 1553317
