# title = Transverse Mass of W-Z
# xlabel = $M_{\text{T},\text{W}\text{Z}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}\text{Z}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  4.277090655680537E-07  7.161921786641330E-09 404934
   2      20.00      40.00  3.315004862504264E-06  2.612669606925559E-08 2795742
   3      40.00      60.00  1.047798749377800E-05  4.031308221169143E-08 7907107
   4      60.00      80.00  2.649597722571609E-05  6.495498779876288E-08 17435496
   5      80.00     100.00  6.731559048310047E-05  1.197582717197575E-07 38158552
   6     100.00     120.00  1.912263674803960E-04  2.273651242242615E-07 90289879
   7     120.00     140.00  5.183386321983254E-04  4.241793428697305E-07 190346486
   8     140.00     160.00  1.209164813974598E-03  7.307014459367964E-07 326455387
   9     160.00     180.00  2.165899978648756E-03  1.095305090179694E-06 431753446
  10     180.00     200.00  1.924648868701489E-03  1.104332800820502E-06 317888421
  11     200.00     220.00  1.458251445980540E-03  9.905892488408590E-07 236253545
  12     220.00     240.00  1.130256062981324E-03  9.460996754870841E-07 187983188
  13     240.00     260.00  8.917569883466196E-04  8.153533716163597E-07 154808779
  14     260.00     280.00  7.151105394855153E-04  7.671601192928662E-07 130365698
  15     280.00     300.00  5.792327811273298E-04  6.778557320228305E-07 111535458
  16     300.00     320.00  4.759569133482473E-04  6.503114111010696E-07 96607961
  17     320.00     340.00  3.922221095119358E-04  5.573049985095731E-07 84522083
  18     340.00     360.00  3.297078108150797E-04  5.314852214325055E-07 74559005
  19     360.00     380.00  2.772915375775012E-04  4.807497724597407E-07 66221062
  20     380.00     400.00  2.350092207094134E-04  4.453240191343278E-07 59179644
  21     400.00     420.00  1.997292225936117E-04  3.981289775818605E-07 53158550
  22     420.00     440.00  1.712111334018324E-04  3.635857307982287E-07 47977017
  23     440.00     460.00  1.482270041975186E-04  3.398356986630911E-07 43474219
  24     460.00     480.00  1.284476347887004E-04  3.269216928814871E-07 39532873
  25     480.00     500.00  1.112083422426680E-04  2.920317673933412E-07 36078815
  26     500.00     520.00  9.744598689132945E-05  2.799504384321974E-07 33031562
  27     520.00     540.00  8.462637167271065E-05  2.492539865516109E-07 30318402
  28     540.00     560.00  7.450250841149160E-05  2.329072098802819E-07 27901728
  29     560.00     580.00  6.550960687666494E-05  2.189212264312944E-07 25752928
  30     580.00     600.00  5.759795108123427E-05  1.959395835487036E-07 23801967
  31     600.00     620.00  5.100676616749837E-05  1.862523692094245E-07 22066730
  32     620.00     640.00  4.499596611143810E-05  1.742480375478287E-07 20482109
  33     640.00     660.00  3.996139137837851E-05  1.611487149422640E-07 19047133
  34     660.00     680.00  3.575349105171841E-05  1.567836999377001E-07 17750716
  35     680.00     700.00  3.193827260988645E-05  1.480990907033558E-07 16572380
  36     700.00     720.00  2.824307198112676E-05  1.315853972109787E-07 15486408
  37     720.00     740.00  2.554545830141796E-05  1.260112204039797E-07 14492270
  38     740.00     760.00  2.290142382299877E-05  1.201303031061417E-07 13586642
  39     760.00     780.00  2.029545228809749E-05  1.060317843424817E-07 12751335
  40     780.00     800.00  1.831673025018999E-05  1.002626414310329E-07 11991404
  41     800.00     820.00  1.659050669279490E-05  9.419303530440749E-08 11277599
  42     820.00     840.00  1.495400426593234E-05  8.812503346158391E-08 10630600
  43     840.00     860.00  1.352983337293060E-05  8.502047335326896E-08 10023493
  44     860.00     880.00  1.230921423515856E-05  7.893631740841267E-08 9464938
  45     880.00     900.00  1.093239971538764E-05  7.076894275721875E-08 8938091
  46     900.00     920.00  9.935116973019787E-06  7.086975080411688E-08 8451888
  47     920.00     940.00  8.962410594479616E-06  6.491362574233456E-08 8007109
  48     940.00     960.00  8.190425509414624E-06  5.961731258824955E-08 7587603
  49     960.00     980.00  7.460534992013239E-06  5.687185543103076E-08 7192109
  50     980.00    1000.00  6.728808252243282E-06  5.078134767867312E-08 6827764
  51    1000.00    1020.00  6.153972204161243E-06  5.076438256258539E-08 6479675
  52    1020.00    1040.00  5.657859848827914E-06  4.917977238825505E-08 6165264
  53    1040.00    1060.00  5.182314828627782E-06  4.776792107231749E-08 5858374
  54    1060.00    1080.00  4.719785306026269E-06  4.562702684145224E-08 5583906
  55    1080.00    1100.00  4.306012582237709E-06  4.002128870799880E-08 5310034
  56    1100.00    1120.00  3.980631324104611E-06  3.940660517754493E-08 5060651
  57    1120.00    1140.00  3.614007998575545E-06  3.516177754178606E-08 4828885
