# title = W boson Transverse Momentum
# xlabel = $p_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  5.535267016279908E-04  5.869601785618661E-07 163467016
   2      20.00      40.00  1.392025252796610E-03  9.607458826329489E-07 280079025
   3      40.00      60.00  1.699033438653761E-03  1.063589979240151E-06 300621506
   4      60.00      80.00  1.609272481850146E-03  1.050585748752832E-06 281221581
   5      80.00     100.00  1.430302559477943E-03  9.717730079859910E-07 254624371
   6     100.00     120.00  1.227754660316353E-03  9.166291062372550E-07 225731405
   7     120.00     140.00  1.033911277532532E-03  8.431483487498302E-07 197424746
   8     140.00     160.00  8.626748561117266E-04  7.667917164406950E-07 171563801
   9     160.00     180.00  7.144604222390235E-04  7.096045736174439E-07 148850255
  10     180.00     200.00  5.928492758090326E-04  6.588210191477434E-07 129331351
  11     200.00     220.00  4.911198102717724E-04  5.735852568099681E-07 112782485
  12     220.00     240.00  4.082734603842442E-04  5.191593786242407E-07 98722449
  13     240.00     260.00  3.405240304986599E-04  4.692589460321614E-07 86913840
  14     260.00     280.00  2.841238435099392E-04  4.200813698748194E-07 76842609
  15     280.00     300.00  2.374807488115068E-04  3.782952683769688E-07 68247438
  16     300.00     320.00  1.986997087424031E-04  3.496710053569973E-07 60923463
  17     320.00     340.00  1.681811579376102E-04  3.216194685485997E-07 54618001
  18     340.00     360.00  1.414738973184589E-04  2.918542607995833E-07 49160868
  19     360.00     380.00  1.198892811348627E-04  2.662132203282337E-07 44414101
  20     380.00     400.00  1.019391049369187E-04  2.441412193279222E-07 40294618
  21     400.00     420.00  8.639746138751353E-05  2.173737568405887E-07 36646153
  22     420.00     440.00  7.365061639332905E-05  2.001370351154144E-07 33441945
  23     440.00     460.00  6.280849041781207E-05  1.800638113238705E-07 30618450
  24     460.00     480.00  5.385526453218900E-05  1.654339046242826E-07 28101572
  25     480.00     500.00  4.645848711937878E-05  1.529327771330797E-07 25851240
  26     500.00     520.00  4.015940997438657E-05  1.490467243919620E-07 23830937
