# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.617878556106466E+00  4.977328877064756E-04 1532006243
   2      -0.90      -0.80  3.725817371638368E-01  1.698360703007373E-04 497789059
   3      -0.80      -0.70  1.915015586306521E-01  1.089270926179666E-04 301066161
   4      -0.70      -0.60  1.186639748157949E-01  8.308459209208142E-05 209797880
   5      -0.60      -0.50  8.060463829094358E-02  6.333256306584831E-05 156460214
   6      -0.50      -0.40  5.756001105492593E-02  5.672399034011865E-05 119805608
   7      -0.40      -0.30  4.255333609271467E-02  4.436411280463319E-05 94142075
   8      -0.30      -0.20  3.280899772109909E-02  3.873942701908509E-05 77778746
   9      -0.20      -0.10  2.590578340476027E-02  3.453607521751038E-05 66091733
  10      -0.10       0.00  2.071072634010431E-02  3.019727056534978E-05 57245679
  11       0.00       0.10  1.666869534443043E-02  2.459136000592113E-05 50270376
  12       0.10       0.20  1.343444602194989E-02  2.140310948319440E-05 44613485
  13       0.20       0.30  1.078015417964725E-02  1.824024804672866E-05 39872149
  14       0.30       0.40  8.556978747729036E-03  1.646455866687023E-05 35759057
  15       0.40       0.50  6.575873919273798E-03  1.349373086485121E-05 32061218
  16       0.50       0.60  4.858511514526213E-03  1.076772420467642E-05 28557424
  17       0.60       0.70  3.306438269492098E-03  7.849429156067876E-06 24965618
  18       0.70       0.80  1.894512650688891E-03  5.674687531253353E-06 20753998
  19       0.80       0.90  6.978597930747479E-04  2.435301859497565E-06 14544743
  20       0.90       1.00  5.052253990146820E-05  4.339727121476132E-07 3326534
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.1025142358041017E-03  1.1175989928623800E-06 71479000
#=====================================================================================
