# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  3.385248874611898E-02  5.059938035825966E-05 45663399
   2      -0.90      -0.80  3.632405757450424E-02  4.999113200588523E-05 43637920
   3      -0.80      -0.70  3.948250557243971E-02  5.979550746637928E-05 44380761
   4      -0.70      -0.60  4.273113466323449E-02  5.950943034925675E-05 46308646
   5      -0.60      -0.50  4.675177736066163E-02  6.699636176155906E-05 49233170
   6      -0.50      -0.40  5.128321217884881E-02  6.784703818419234E-05 52878884
   7      -0.40      -0.30  5.661798330632394E-02  7.456013069750168E-05 57227679
   8      -0.30      -0.20  6.255941428037304E-02  7.615656770355925E-05 62369829
   9      -0.20      -0.10  6.946150411709719E-02  8.222189370115064E-05 68438840
  10      -0.10       0.00  7.789700323718464E-02  8.782317685844140E-05 75683794
  11       0.00       0.10  8.755764473046494E-02  9.231124550821478E-05 84343160
  12       0.10       0.20  9.938248241853592E-02  1.023691664042512E-04 94967369
  13       0.20       0.30  1.137896626361530E-01  1.091434733669520E-04 108178110
  14       0.30       0.40  1.316978763449607E-01  1.222248727459216E-04 125078985
  15       0.40       0.50  1.543255398302945E-01  1.330335204876188E-04 147529768
  16       0.50       0.60  1.847274023029183E-01  1.504495830449945E-04 178861246
  17       0.60       0.70  2.267744696603122E-01  1.670135910127189E-04 225827111
  18       0.70       0.80  2.896790486231173E-01  1.909946281040581E-04 304718824
  19       0.80       0.90  3.918603022081711E-01  2.312227472511746E-04 467951099
  20       0.90       1.00  4.308378028102935E-01  2.443443371975083E-04 1123629406
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.1025142358053880E-03  1.1179898881108386E-06 71479000
#=====================================================================================
