# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  7.696951040997579E-03  2.311202270086474E-05 69528950
   2       0.30       0.50  4.356365876367926E-02  8.530623179370523E-05 91260523
   3       0.50       0.70  8.367037760936462E-02  1.481500878438024E-04 89088778
   4       0.70       0.90  1.092769210627342E-01  1.639361530519821E-04 82254927
   5       0.90       1.10  1.213401178863568E-01  1.828617424717542E-04 74322020
   6       1.10       1.30  1.230922267093824E-01  1.886721633113905E-04 66274405
   7       1.30       1.50  1.179439925106591E-01  1.922990278278360E-04 58638815
   8       1.50       1.70  1.097133185092413E-01  1.904185290235725E-04 51776273
   9       1.70       1.90  1.007200008711704E-01  1.866853005675837E-04 45918582
  10       1.90       2.10  9.164646680677513E-02  1.677027880460862E-04 41236507
  11       2.10       2.30  8.442240267396953E-02  1.761989560844607E-04 37788258
  12       2.30       2.50  7.826572432903137E-02  1.775466348270067E-04 35632328
  13       2.50       2.70  7.341583399585254E-02  1.472183673324553E-04 34782091
  14       2.70       2.90  6.958837813884852E-02  1.481785328214461E-04 35393064
  15       2.90       3.10  6.736330339482322E-02  1.333052829070381E-04 37759996
  16       3.10       3.30  3.667290801525474E-02  1.024027506454731E-04 24270505
  17       3.30       3.50  8.009557838311440E-03  4.478621906356715E-05 7524593
  18       3.50       3.70  2.240005444975324E-03  2.745903550959735E-05 2832393
  19       3.70       3.90  5.678359601406749E-04  7.560383989600113E-06 989658
  20       3.90       4.10  1.087397921061356E-04  2.491235366925371E-06 270336
  21       4.10       4.30  1.012578764256057E-05  5.314730515527033E-07 35844
  22       4.30       4.50  1.078993113033856E-07  4.049238763928864E-08 482
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 1.0517386610180992E-06  3.8876947290756094E-08 58520
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.3601487353232229E-02  3.9876623113530956E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
