# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  3.867336371159791E-04  5.974521062313600E-07 57586187
   2      40.00      80.00  1.180048392325171E-03  1.152070757267678E-06 156319958
   3      80.00     120.00  1.371119329825717E-03  1.470791033206020E-06 150441847
   4     120.00     160.00  1.067049013473158E-03  1.286010182087224E-06 104053085
   5     160.00     200.00  7.519609023844395E-04  1.061655558158510E-06 74925888
   6     200.00     240.00  5.209453338456472E-04  9.439657808096732E-07 56343609
   7     240.00     280.00  3.627252563644212E-04  7.346801044928075E-07 43767266
   8     280.00     320.00  2.572558229209799E-04  6.600793981782361E-07 34875107
   9     320.00     360.00  1.841929207824390E-04  6.685764450840315E-07 28301901
  10     360.00     400.00  1.345295685283792E-04  4.954904711096189E-07 23344553
  11     400.00     440.00  9.842810726788174E-05  4.093946492281033E-07 19488882
  12     440.00     480.00  7.307216809294238E-05  3.256127948639555E-07 16444868
  13     480.00     520.00  5.528758240327134E-05  2.953440570823903E-07 14011692
  14     520.00     560.00  4.260970896711165E-05  3.886367295061582E-07 12024905
  15     560.00     600.00  3.295227301695506E-05  3.194010039671229E-07 10382120
  16     600.00     640.00  2.519307714895038E-05  1.733132772466640E-07 9034288
  17     640.00     680.00  1.972193320884623E-05  1.726667446746146E-07 7900017
  18     680.00     720.00  1.565014025787173E-05  1.496675107397446E-07 6938855
  19     720.00     760.00  1.259245890485876E-05  1.738469778696737E-07 6123598
  20     760.00     800.00  9.732318643164823E-06  1.271250960519216E-07 5421178
  21     800.00     840.00  7.908965965556247E-06  9.907748308258068E-08 4824490
  22     840.00     880.00  6.431181244862812E-06  8.798233744512197E-08 4303510
  23     880.00     920.00  5.202907259764435E-06  8.200670028172721E-08 3852097
  24     920.00     960.00  4.130567901561985E-06  6.467645885988679E-08 3460785
  25     960.00    1000.00  3.470141412330908E-06  6.120077084948908E-08 3115396
  26    1000.00    1040.00  2.876742637135352E-06  5.709095744514315E-08 2811293
  27    1040.00    1080.00  2.365802930217440E-06  4.934173768656416E-08 2539334
  28    1080.00    1120.00  1.922262970810311E-06  4.146363502446372E-08 2306242
  29    1120.00    1160.00  1.627035023452188E-06  4.085157614305034E-08 2092346
  30    1160.00    1200.00  1.333037648916240E-06  3.348709480312618E-08 1903357
  31    1200.00    1240.00  1.174368822440072E-06  3.244473899774797E-08 1738139
  32    1240.00    1280.00  9.405061804647806E-07  2.930298090470846E-08 1586680
  33    1280.00    1320.00  7.814339781785341E-07  2.164226257551144E-08 1450128
  34    1320.00    1360.00  6.929851464094747E-07  2.211934075093743E-08 1331418
  35    1360.00    1400.00  6.003130149447798E-07  2.029501085985443E-08 1221259
  36    1400.00    1440.00  5.053929936975182E-07  1.808747459224635E-08 1120906
  37    1440.00    1480.00  3.835808294925252E-07  1.181177999548830E-08 1032436
  38    1480.00    1520.00  3.485941214198487E-07  1.352659202699667E-08 950100
  39    1520.00    1560.00  3.120742622695342E-07  1.407576807382812E-08 876753
  40    1560.00    1600.00  2.584079170339894E-07  1.067570034101989E-08 810352
  41    1600.00    1640.00  2.127733593911502E-07  8.585711367936940E-09 750130
  42    1640.00    1680.00  1.958722650717205E-07  9.862071676533376E-09 691739
  43    1680.00    1720.00  1.697666402840185E-07  8.424538583454026E-09 639831
  44    1720.00    1760.00  1.424557479398720E-07  1.131970597567876E-08 594518
  45    1760.00    1800.00  1.137172162610256E-07  5.404564574464116E-09 552731
  46    1800.00    1840.00  1.015567598090532E-07  7.781662758448282E-09 514381
  47    1840.00    1880.00  8.502952724550744E-08  4.011227615015117E-09 477674
  48    1880.00    1920.00  8.033832196557734E-08  4.625450640866712E-09 444338
  49    1920.00    1960.00  7.021716679979517E-08  4.530556232460161E-09 413705
  50    1960.00    2000.00  5.867196883637328E-08  3.875285199607922E-09 385047
  51    2000.00    2040.00  4.489547810567829E-08  3.032922169225925E-09 359284
  52    2040.00    2080.00  4.421114115322581E-08  3.471505233847125E-09 335149
  53    2080.00    2120.00  3.791229120606005E-08  3.009605592415996E-09 312580
  54    2120.00    2160.00  3.060122382907356E-08  2.612824572121222E-09 292846
  55    2160.00    2200.00  2.657755229592163E-08  2.076008835415148E-09 272996
  56    2200.00    2240.00  2.986118842532843E-08  3.578919711691682E-09 255287
  57    2240.00    2280.00  2.156067868327250E-08  1.708783645743642E-09 239766
  58    2280.00    2320.00  1.860158916073434E-08  1.567157254424862E-09 224648
  59    2320.00    2360.00  1.553710345964427E-08  1.197599863639417E-09 210288
  60    2360.00    2400.00  1.504936307247436E-08  1.481162560238350E-09 196701
  61    2400.00    2440.00  1.239433496527244E-08  9.522070774469211E-10 184995
  62    2440.00    2480.00  1.029339081983086E-08  8.103028122175083E-10 174012
  63    2480.00    2520.00  8.444021702768524E-09  6.479792866923215E-10 163656
  64    2520.00    2560.00  1.072345731022008E-08  2.080202262176679E-09 152835
  65    2560.00    2600.00  6.293875132471465E-09  5.101521234137793E-10 143776
  66    2600.00    2640.00  6.352450724668581E-09  6.818994151408965E-10 135429
  67    2640.00    2680.00  6.437706845662992E-09  7.853591513131539E-10 127167
  68    2680.00    2720.00  6.325757949731292E-09  7.885017630439670E-10 119430
  69    2720.00    2760.00  3.935400336673318E-09  5.784150540107430E-10 112528
  70    2760.00    2800.00  5.050097521388760E-09  7.552680271957025E-10 105884
  71    2800.00    2840.00  4.159425018293949E-09  7.325477293860315E-10 100007
  72    2840.00    2880.00  3.114554129755371E-09  3.925957305986348E-10 93973
  73    2880.00    2920.00  2.643995361117577E-09  3.768887474637685E-10 88249
  74    2920.00    2960.00  2.318082496780791E-09  3.208974799017276E-10 84049
  75    2960.00    3000.00  1.784982058741838E-09  2.722024141273378E-10 79046
  76    3000.00    3040.00  2.180849902428884E-09  5.500078489675281E-10 74526
  77    3040.00    3080.00  1.882818673528326E-09  3.568418709553556E-10 70533
  78    3080.00    3120.00  2.627965906577956E-09  6.855054863871731E-10 66481
  79    3120.00    3160.00  1.166770748767329E-09  2.270401403513285E-10 62765
  80    3160.00    3200.00  1.341853697432859E-09  1.928011269361126E-10 58955
  81    3200.00    3240.00  1.717605843544091E-09  5.569180214311601E-10 56523
  82    3240.00    3280.00  1.033654613159653E-09  2.500723707755671E-10 52706
  83    3280.00    3320.00  1.303346918322090E-09  3.223216161934655E-10 50256
  84    3320.00    3360.00  8.943220984478073E-10  2.288534443172477E-10 47321
  85    3360.00    3400.00  7.005410731107019E-10  1.602622311845099E-10 44801
  86    3400.00    3440.00  6.344676539697467E-10  1.367884651195469E-10 42199
  87    3440.00    3480.00  4.934125838157845E-10  9.340644089318640E-11 40331
  88    3480.00    3520.00  4.577092592002290E-10  8.388028238652901E-11 37935
  89    3520.00    3560.00  4.262454955772537E-10  8.814337569314588E-11 35957
  90    3560.00    3600.00  5.375167852891186E-10  1.484862647956474E-10 34125
  91    3600.00    3640.00  1.990879251983192E-10  3.661585290679299E-11 32055
  92    3640.00    3680.00  2.265552454289773E-10  3.384555931200532E-11 30413
  93    3680.00    3720.00  2.539082753860323E-10  6.042791803257091E-11 28966
  94    3720.00    3760.00  1.653558624535977E-10  2.474554820792254E-11 27537
  95    3760.00    3800.00  1.738801555597540E-10  3.302225617506727E-11 26123
  96    3800.00    3840.00  1.837071243430291E-10  4.476547718077906E-11 24770
  97    3840.00    3880.00  1.054562805792433E-10  1.396918138707434E-11 23556
  98    3880.00    3920.00  1.793997748286688E-10  6.243086744432555E-11 22331
  99    3920.00    3960.00  1.047360184326887E-10  2.500556623911204E-11 21238
 100    3960.00    4000.00  6.113720918381578E-11  7.750231588241552E-12 19898
 101    4000.00    4040.00  1.178424287904582E-10  2.793070124007656E-11 19018
 102    4040.00    4080.00  9.576823353993304E-11  2.214696759012616E-11 18020
 103    4080.00    4120.00  5.266324871214319E-11  9.476548887405754E-12 17109
 104    4120.00    4160.00  1.101628734373742E-10  2.636182444601462E-11 16340
 105    4160.00    4200.00  5.552961531692171E-11  1.323165342252345E-11 15361
 106    4200.00    4240.00  5.640067357224138E-11  1.800289649303271E-11 14491
 107    4240.00    4280.00  5.883120583231068E-11  1.592980761306711E-11 13843
 108    4280.00    4320.00  5.118057743312865E-11  1.241742886612912E-11 13126
 109    4320.00    4360.00  4.397209847658646E-11  1.298889614575206E-11 12769
 110    4360.00    4400.00  3.599464249102193E-11  7.487058976062951E-12 11993
 111    4400.00    4440.00  9.009559264292104E-11  3.552923428875071E-11 11152
 112    4440.00    4480.00  2.806655393884120E-11  9.154524703657045E-12 10557
 113    4480.00    4520.00  2.253489277069527E-11  4.542953445259841E-12 10139
