# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  3.939624740676475E-07  5.250529869140045E-10 5360156
   2      40.00      80.00  1.234564033070414E-06  1.010807800000704E-09 15001991
   3      80.00     120.00  1.528161561696758E-06  1.246035506099974E-09 14774302
   4     120.00     160.00  1.232269904551267E-06  1.238335065450076E-09 10338207
   5     160.00     200.00  8.698188668971462E-07  1.081941587089013E-09 7451564
   6     200.00     240.00  5.960300863146072E-07  9.504712790427033E-10 5557120
   7     240.00     280.00  4.089389806547042E-07  8.423523109322975E-10 4265731
   8     280.00     320.00  2.824241496315207E-07  7.043512412752743E-10 3346170
   9     320.00     360.00  1.970566923778324E-07  6.117487542897726E-10 2672074
  10     360.00     400.00  1.410918171720691E-07  5.267081432411261E-10 2174117
  11     400.00     440.00  1.016232404652271E-07  4.572966076098795E-10 1788407
  12     440.00     480.00  7.398703220304209E-08  3.931628179753414E-10 1487148
  13     480.00     520.00  5.461814227457278E-08  3.383855193891759E-10 1248554
  14     520.00     560.00  3.997705356585619E-08  2.878550211773338E-10 1059344
  15     560.00     600.00  2.984288053716685E-08  2.446055708201734E-10 904137
  16     600.00     640.00  2.303300253628420E-08  2.174093220532217E-10 777470
  17     640.00     680.00  1.760556407789234E-08  1.845202402433901E-10 671433
  18     680.00     720.00  1.371132257767141E-08  1.635549522553360E-10 583545
  19     720.00     760.00  1.046378507424623E-08  1.403168473261898E-10 511247
  20     760.00     800.00  7.974551008979412E-09  1.164753853297208E-10 447372
  21     800.00     840.00  6.311177843530524E-09  1.124720651229111E-10 394250
