# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  1.243551306441393E-07  9.011832597975460E-10 708918
   8     700.00     800.00  1.404868198806286E-05  2.380746888219212E-08 11194410
   9     800.00     900.00  4.971373359635708E-05  5.797941995794649E-08 21547549
  10     900.00    1000.00  8.224929518922798E-05  9.055942945216336E-08 27909246
  11    1000.00    1100.00  1.054244037689113E-04  1.133934781258635E-07 31285694
  12    1100.00    1200.00  1.201966259830296E-04  1.369426777286582E-07 32709976
  13    1200.00    1300.00  1.286637810721745E-04  1.634793916260957E-07 32930548
  14    1300.00    1400.00  1.323431413131776E-04  1.838182041415450E-07 32454516
  15    1400.00    1500.00  1.322260648623843E-04  1.894948807197677E-07 31559060
  16    1500.00    1600.00  1.308024701643811E-04  2.109045329195350E-07 30444703
  17    1600.00    1700.00  1.269728995761724E-04  2.283120861893593E-07 29190348
  18    1700.00    1800.00  1.224581563891774E-04  2.327778189728210E-07 27897081
  19    1800.00    1900.00  1.165059499707127E-04  2.354088925012202E-07 26604176
  20    1900.00    2000.00  1.101714845196704E-04  2.435541225201845E-07 25315538
  21    2000.00    2100.00  1.046010816742125E-04  2.721557292047928E-07 24082208
  22    2100.00    2200.00  9.784133292195894E-05  2.732190104249247E-07 22894994
  23    2200.00    2300.00  9.116553995726209E-05  2.520444307121268E-07 21763402
  24    2300.00    2400.00  8.463788241396201E-05  2.287282793429430E-07 20679415
  25    2400.00    2500.00  7.957224496718822E-05  2.411118946179159E-07 19666818
  26    2500.00    2600.00  7.385659336157506E-05  2.677075686027004E-07 18701227
  27    2600.00    2700.00  6.818257677545192E-05  2.471582275729733E-07 17791348
  28    2700.00    2800.00  6.295574255510590E-05  2.393981332424445E-07 16924483
  29    2800.00    2900.00  5.804736704414179E-05  2.352858430833518E-07 16120778
  30    2900.00    3000.00  5.353695631326202E-05  2.502544714305222E-07 15341772
