# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.093285276743508E-07  4.135733201043911E-09 43743
   7      -3.00      -2.75  9.478713744513721E-06  1.349387475694543E-07 539528
   8      -2.75      -2.50  1.309100140042203E-04  1.177929369304809E-06 1998670
   9      -2.50      -2.25  7.473829313375363E-04  3.924516763322022E-06 4986205
  10      -2.25      -2.00  2.679580219540909E-03  9.896730469989748E-06 10073472
  11      -2.00      -1.75  7.098737171345001E-03  2.047100769907738E-05 17479983
  12      -1.75      -1.50  1.527862386970547E-02  3.206681833295475E-05 26923918
  13      -1.50      -1.25  2.830908834973341E-02  5.122510877827703E-05 37804515
  14      -1.25      -1.00  4.679222113076997E-02  7.475256455840864E-05 49425363
  15      -1.00      -0.75  7.057907349438389E-02  1.105057599310161E-04 61109536
  16      -0.75      -0.50  9.744477240222896E-02  1.418845698920745E-04 72183970
  17      -0.50      -0.25  1.233817476517221E-01  1.895921842159084E-04 81735258
  18      -0.25       0.00  1.399903882967398E-01  2.258131912283654E-04 88211775
  19       0.00       0.25  1.396998343526779E-01  2.178974345400127E-04 87902323
  20       0.25       0.50  1.229181253713048E-01  1.929877385306667E-04 80791452
  21       0.50       0.75  9.720651152824916E-02  1.420155021207359E-04 70703540
  22       0.75       1.00  7.048955379013633E-02  1.081792336931254E-04 59315407
  23       1.00       1.25  4.664085984961648E-02  7.443000312753206E-05 47532582
  24       1.25       1.50  2.819256604312617E-02  5.135386573629014E-05 36028074
  25       1.50       1.75  1.526024160587613E-02  3.316017213138118E-05 25412359
  26       1.75       2.00  7.046972139336073E-03  1.909025877742218E-05 16299933
  27       2.00       2.25  2.678619887332960E-03  1.123254063708236E-05 9263517
  28       2.25       2.50  7.569612110750762E-04  4.526317484867260E-06 4497046
  29       2.50       2.75  1.283483351284667E-04  1.094826532653778E-06 1753780
  30       2.75       3.00  9.891719937278135E-06  3.832290806804020E-07 449688
  31       3.00       3.25  1.076057385816510E-07  3.899957460842202E-09 32363
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.3601487353232323E-02  3.9875338633023342E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
