# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.448323062651818E-02  8.715718637217699E-05 25708829
   2      -2.25      -2.00  3.117537045662733E-02  1.016354403102540E-04 30151625
   3      -2.00      -1.75  3.854969556378809E-02  1.075460711341306E-04 34772242
   4      -1.75      -1.50  4.556019260415614E-02  1.172137129301316E-04 39370408
   5      -1.50      -1.25  5.266777915643976E-02  1.239860838170783E-04 43745705
   6      -1.25      -1.00  5.904731838103481E-02  1.242338385490207E-04 47721787
   7      -1.00      -0.75  6.462153685615016E-02  1.163284991504243E-04 51179569
   8      -0.75      -0.50  6.911509205977541E-02  1.152454464007234E-04 53993100
   9      -0.50      -0.25  7.219496337947502E-02  1.111537078969942E-04 56063096
  10      -0.25       0.00  7.393968036833665E-02  1.121867897338121E-04 57357887
  11       0.00       0.25  7.377377322684665E-02  1.114562578179130E-04 57734129
  12       0.25       0.50  7.215777514060664E-02  1.126459627006139E-04 57226862
  13       0.50       0.75  6.937835971145918E-02  1.148258656826986E-04 55784569
  14       0.75       1.00  6.478206451872308E-02  1.114753309238307E-04 53391399
  15       1.00       1.25  5.915033212872767E-02  1.154530660475146E-04 50077967
  16       1.25       1.50  5.264327167698414E-02  1.226348215391135E-04 45945741
  17       1.50       1.75  4.586508034966785E-02  1.270154254994186E-04 41118359
  18       1.75       2.00  3.849083607425158E-02  1.181449746521296E-04 35803514
  19       2.00       2.25  3.121388321719090E-02  1.048956743459874E-04 30324876
  20       2.25       2.50  2.466047151656134E-02  9.746957344629072E-05 25026336
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.3601487353232330E-02  3.9876923125647289E-05 9526000
#=====================================================================================
# Number of generated events: 341028053
