# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  2.959477064104309E-05  1.492813117979462E-06 261776
   2      -8.75      -8.50  1.355760725804454E-04  3.019975165456717E-06 995300
   3      -8.50      -8.25  3.562104365078461E-04  5.155333426126884E-06 2097380
   4      -8.25      -8.00  7.275072588449434E-04  7.551179911939519E-06 3658013
   5      -8.00      -7.75  1.347324687200727E-03  1.098558269217001E-05 5775273
   6      -7.75      -7.50  2.263151307625031E-03  1.395143958143337E-05 8556891
   7      -7.50      -7.25  3.543651396654316E-03  1.698894864295051E-05 12123763
   8      -7.25      -7.00  5.222221268805761E-03  2.129428906763409E-05 16579440
   9      -7.00      -6.75  7.384239394711234E-03  2.513417298747593E-05 22039542
  10      -6.75      -6.50  9.954799586890127E-03  2.837077506254225E-05 28606230
  11      -6.50      -6.25  1.307564767019906E-02  3.214497195209079E-05 36338346
  12      -6.25      -6.00  1.635492929986153E-02  3.266500465332449E-05 45300667
  13      -6.00      -5.75  2.011514868432462E-02  3.568657675078939E-05 55463358
  14      -5.75      -5.50  2.421132823259868E-02  3.936211768988771E-05 66815822
  15      -5.50      -5.25  2.827310587668405E-02  4.278207599825443E-05 79059732
  16      -5.25      -5.00  3.211271263018703E-02  4.090669254499358E-05 91609955
  17      -5.00      -4.75  3.558418877079042E-02  4.198804901791529E-05 103978714
  18      -4.75      -4.50  3.844852648933279E-02  4.144985976264050E-05 115366488
  19      -4.50      -4.25  4.026957180364820E-02  4.329198494942407E-05 125134368
  20      -4.25      -4.00  4.126391906067840E-02  3.963516712792992E-05 132575443
  21      -4.00      -3.75  4.087131777314797E-02  3.601771684325385E-05 137258332
  22      -3.75      -3.50  3.938804661585453E-02  3.359713410450965E-05 138863769
  23      -3.50      -3.25  3.680958172335275E-02  3.209408162797614E-05 137443245
  24      -3.25      -3.00  3.336996363022872E-02  3.016954881491371E-05 133346166
  25      -3.00      -2.75  2.926327702683104E-02  2.557616878528998E-05 127178983
  26      -2.75      -2.50  2.497176968757884E-02  2.351811043215870E-05 119850413
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  47       2.50       2.75  2.495203985098282E-02  2.478639853609140E-05 119203356
  48       2.75       3.00  2.934734867024548E-02  2.903605017453175E-05 124597773
  49       3.00       3.25  3.342782557230656E-02  3.164688964619311E-05 128703415
  50       3.25       3.50  3.681367490424674E-02  3.429721681764416E-05 130930384
  51       3.50       3.75  3.945618488878783E-02  3.764341991759683E-05 130885379
  52       3.75       4.00  4.097934916608886E-02  4.031904146560932E-05 128368038
  53       4.00       4.25  4.122025643389419E-02  4.068607979959432E-05 123393071
  54       4.25       4.50  4.032745287781728E-02  4.195244233678234E-05 116166652
  55       4.50       4.75  3.837589564584301E-02  4.248438612153845E-05 107025813
  56       4.75       5.00  3.552149951907041E-02  4.616876685014542E-05 96494203
  57       5.00       5.25  3.208065182220898E-02  4.476773620245253E-05 85194908
  58       5.25       5.50  2.818878029212821E-02  4.126248712579774E-05 73740561
  59       5.50       5.75  2.421534609832487E-02  4.017706493841661E-05 62637343
  60       5.75       6.00  2.024042391373486E-02  3.997180880053718E-05 52389196
  61       6.00       6.25  1.643207406386866E-02  3.480003931360786E-05 43178741
  62       6.25       6.50  1.307199895258326E-02  3.240116506271260E-05 35063246
  63       6.50       6.75  9.982978685165473E-03  2.915143323092450E-05 27995582
  64       6.75       7.00  7.398545174094918E-03  2.677865696714862E-05 21964036
  65       7.00       7.25  5.221456337681328E-03  2.406265731219151E-05 16836122
  66       7.25       7.50  3.552293184181867E-03  1.861773052245099E-05 12564517
  67       7.50       7.75  2.273756553315789E-03  1.445026073186160E-05 9078583
  68       7.75       8.00  1.345705755294911E-03  1.527107429715491E-05 6275192
  69       8.00       8.25  7.394343225689278E-04  7.318277377483816E-06 4072226
  70       8.25       8.50  3.527453587848977E-04  4.844026705091955E-06 2393262
  71       8.50       8.75  1.425662912927308E-04  3.393621454749514E-06 1164194
  72       8.75       9.00  2.972955059407458E-05  1.235487063075060E-06 314798
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.1025142358064544E-03  1.1180885499475584E-06 71479000
#=====================================================================================
